"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"20903","Astigarraga","3.38","2.76","4.36","6.10","3.76","2.31","0.66","3.45","3.10","3.39","2.19","1.02","4.00","4.08","3.86"
"20015","Ataun","1.61","-1.53","1.13","0.06","0.66","-0.06","-0.06","1.03","3.44","1.59","2.81","1.12","0.00","-1.30","-0.71"
"48091","Atxondo","-0.29","-1.08","0.51","-2.05","-0.98","-0.28","-1.44","-0.14","0.62","0.42","0.70","0.49","-1.86","1.33","0.35"
"48070","Aulesti","0.00","0.61","0.93","-3.14","-1.76","0.15","-0.44","0.44","0.89","0.00","0.90","1.37","0.76","-0.46","6.48"
"01010","Ayala/Aiara","0.65","-0.07","-0.20","0.58","1.32","1.87","2.32","1.96","2.85","0.38","3.27","5.26","8.01","3.66","3.45"
"20017","Azkoitia","0.18","0.75","0.15","-0.25","0.66","0.58","0.75","1.58","2.82","1.37","1.42","1.42","0.55","0.30","0.16"
"20018","Azpeitia","-0.06","0.65","0.49","0.02","1.08","0.32","-0.49","1.54","0.73","0.89","0.33","0.19","-0.01","0.86","0.47"
"01049","Añana","1.27","-4.85","7.14","-7.23","-1.19","-4.00","-0.57","0.00","-2.76","-0.55","-1.62","0.00","0.00","-3.14","-23.60"
"48012","Bakio","0.58","-0.99","-0.49","0.92","2.44","2.91","6.79","2.44","3.15","3.55","4.45","4.82","5.40","4.33","1.68"
"20904","Baliarrain","-1.36","13.08","-0.76","3.15","4.10","1.67","9.09","10.00","9.89","-4.21","-1.04","-4.95","4.12","-3.00","0.00"
"48090","Balmaseda","-1.86","-0.37","-0.05","1.24","2.03","2.95","1.32","1.34","0.97","0.45","-0.24","-0.38","1.05","-0.34","2.88"
"48013","Barakaldo","-0.20","0.15","-0.42","0.13","0.31","0.75","0.87","1.16","0.95","0.81","0.40","0.31","0.25","-0.83","-0.12"
"48014","Barrika","-1.10","0.13","0.20","1.59","-0.40","1.95","2.62","2.26","0.85","2.18","2.84","4.21","3.55","3.60","-5.53"
"01013","Barrundia","-0.22","-1.09","-0.97","1.76","0.22","-0.44","4.00","4.04","2.81","2.89","2.05","3.18","7.24","8.47","1.41"
"48015","Basauri","-0.78","-0.77","-0.42","-0.41","-0.46","-0.67","-0.48","-0.72","-0.66","-0.86","-0.97","-1.29","-0.69","-1.20","1.21"
"01011","Baños de Ebro/Mañueta","-0.96","-4.31","0.62","1.89","-2.16","-1.52","-1.20","-6.72","0.00","-2.72","6.69","2.38","-2.61","1.17","1.49"
"20019","Beasain","-0.22","1.22","0.15","-0.42","0.97","0.27","0.91","0.35","4.47","1.97","0.76","1.16","0.94","0.56","-0.89"
"48092","Bedia","0.49","-1.26","1.47","3.34","1.75","0.41","0.42","-2.04","0.00","-0.20","0.10","0.51","-0.71","-0.30","2.17"
"20020","Beizama","0.61","-1.20","-1.76","-2.86","-3.85","-0.55","1.67","0.00","-1.10","7.06","-1.73","4.22","-1.19","5.66","48.60"
"20021","Belauntza","-2.82","-4.62","-3.35","-4.27","-2.09","-3.04","1.37","-8.46","4.25","-0.33","6.23","-2.36","0.68","0.00","-2.65"
"48016","Berango","0.16","0.52","-0.32","0.93","1.04","0.95","2.43","2.30","2.55","4.46","1.83","0.99","4.17","6.13","5.95"
"01014","Berantevilla","-3.85","-2.10","-0.42","-0.21","-2.83","-1.00","13.93","-2.01","0.22","0.90","-3.49","0.00","-1.29","-0.64","-7.89"
"20022","Berastegi","1.60","0.47","-1.03","0.47","0.09","0.95","1.74","0.19","2.79","0.00","0.80","0.10","1.22","-0.81","-0.20"
"20074","Bergara","-0.25","-0.34","0.46","0.37","0.90","-0.41","-0.48","-0.26","-0.52","-0.20","-0.17","-0.26","-0.84","-0.26","0.33"
"48017","Bermeo","-0.51","-0.64","-0.59","0.09","0.39","0.31","0.53","-0.02","0.68","-0.49","-0.14","0.18","-0.03","-0.11","-0.08"
"01016","Bernedo","-5.13","-3.49","-3.88","-0.18","0.53","-1.74","0.00","-2.21","1.20","2.11","0.53","5.20","-1.10","1.87","-1.66"
"48018","Berriatua","-0.49","-1.29","-1.04","-0.40","-0.24","-2.10","-1.91","2.11","4.06","4.67","3.25","5.85","5.28","3.65","0.00"
"48019","Berriz","-1.49","-0.15","-0.91","-0.54","-0.33","-0.23","-0.12","1.22","1.47","1.78","3.00","1.61","0.52","2.75","0.32"
"20023","Berrobi","-1.37","2.64","0.71","-0.70","-1.73","0.35","-4.00","1.87","0.34","-0.17","5.00","-1.93","1.06","-1.57","0.70"
"20024","Bidania-Goiatz","-2.09","0.38","-0.19","-2.23","0.75","0.38","4.12","3.66","1.86","4.09","1.53","4.10","1.62","0.93","-0.23"
"48020","Bilbao","-0.01","-0.41","-0.80","-0.65","-0.30","-0.14","-0.47","0.43","0.05","-0.28","0.28","0.24","-0.35","-0.11","-0.63"
"48021","Busturia","-1.66","-0.35","-1.40","-1.60","-1.75","0.79","0.92","1.75","-0.87","0.93","0.12","1.66","1.20","-1.83","-2.53"
"01017","Campezo/Kanpezu","-0.94","-1.38","-3.82","-0.79","1.16","-0.27","0.72","0.90","0.18","2.88","-0.74","-0.18","2.07","-1.67","0.93"
"20029","Deba","0.31","0.24","0.48","-0.28","0.35","0.67","-0.44","0.07","0.69","1.02","0.74","0.29","-0.30","1.07","1.30"
"48901","Derio","2.19","1.38","1.92","3.57","3.10","1.60","1.22","1.03","1.19","1.64","1.53","2.34","-0.41","1.46","1.57"
"48026","Dima","2.39","0.56","0.85","2.86","0.66","3.27","0.61","3.08","2.18","7.27","1.05","1.33","4.54","1.03","0.28"
"20069","Donostia / San Sebastián","-0.02","-0.02","-0.20","0.05","0.12","0.37","0.08","0.60","0.63","-0.12","0.21","0.16","0.46","0.06","-1.72"
"48027","Durango","0.46","0.32","0.40","0.26","1.39","-0.12","0.11","1.32","1.40","1.61","2.00","1.45","1.54","1.53","1.37"
"48028","Ea","0.12","-2.43","0.12","-2.48","-1.12","-0.11","-0.88","1.46","2.53","3.08","5.90","0.76","-0.63","-3.05","3.40"
"20030","Eibar","-0.12","-0.09","0.00","-0.25","0.41","0.07","-0.15","-0.28","0.34","-0.46","-0.91","-0.79","-0.62","-1.16","-1.22"
"48031","Elantxobe","-2.86","-1.79","-0.51","-2.24","-4.96","-3.64","-0.45","0.68","-2.01","0.68","-2.63","-1.51","0.65","1.55","2.26"
"01021","Elburgo/Burgelu","0.66","-2.56","1.13","-1.91","0.96","5.77","8.87","2.85","0.38","9.17","1.05","4.86","4.14","2.59","1.44"
"01022","Elciego","-4.38","-0.28","0.86","0.77","-0.77","-0.57","0.48","2.05","2.40","7.40","-0.96","1.62","-1.80","-0.74","2.15"
"20031","Elduain","-0.82","2.09","0.00","3.46","-0.43","-1.28","-1.26","0.85","3.96","5.58","1.42","-1.85","0.93","0.00","3.38"
"20033","Elgeta","-0.27","-0.45","-1.58","1.70","1.27","2.50","0.94","1.81","-0.10","2.94","-0.58","2.50","2.77","1.67","0.52"
"20032","Elgoibar","0.04","0.88","-0.26","0.70","0.69","0.32","0.93","1.53","1.45","1.90","1.44","0.13","-1.06","0.22","1.26"
"48032","Elorrio","0.44","0.43","-0.74","0.15","0.47","-0.04","0.35","0.87","1.04","-0.35","0.31","-0.07","-0.99","-0.08","0.27"
"01023","Elvillar/Bilar","0.57","0.57","-1.68","-2.99","1.94","-1.63","-0.54","3.36","0.28","1.71","-4.37","-1.88","-0.53","2.18","0.00"
"48902","Erandio","0.02","-0.32","-0.60","0.54","0.26","-0.13","0.13","1.15","0.11","1.30","1.35","1.01","1.00","0.69","1.67"
"48033","Ereño","1.19","3.28","-2.01","-4.23","-1.14","1.94","0.00","1.98","-2.69","1.17","-1.91","2.34","1.99","-4.20","3.15"
"48034","Ermua","-0.12","-0.38","-0.85","-0.19","0.02","0.48","-0.34","-0.15","0.09","-0.42","-0.72","-0.89","-0.82","-1.09","1.65"
"20067","Errenteria","0.27","0.12","0.13","-0.37","0.27","0.50","0.65","0.68","0.44","1.28","-0.05","-0.70","-0.67","-0.78","1.67"
"20066","Errezil","1.01","-0.17","-1.98","-1.78","1.65","-1.46","-1.91","0.64","-1.42","3.60","0.66","0.00","-0.16","-1.78","10.14"
"01046","Erriberagoitia/Ribera Alta","-3.62","2.93","-0.92","-4.05","1.15","4.13","3.02","3.26","3.22","13.46","2.73","1.03","1.93","5.37","3.45"
"48079","Errigoiti","1.18","-2.50","-2.26","-0.93","-3.59","5.29","3.12","-0.97","1.37","2.00","0.20","3.31","-3.01","1.84","1.03"
"20034","Eskoriatza","-0.12","-0.12","0.64","0.25","0.27","-0.30","-0.20","-0.20","2.85","0.82","0.82","0.10","-0.31","-0.51","1.21"
"48029","Etxebarri","1.25","1.18","1.72","2.27","2.01","4.82","5.41","7.44","4.71","3.36","2.34","2.54","1.71","3.72","5.42"
"48030","Etxebarria","-1.52","-0.38","-1.86","0.00","-0.37","-1.58","-1.20","-0.12","1.09","1.35","0.12","2.79","-0.13","-0.75","-0.25"
"20035","Ezkio-Itsaso","-0.97","1.64","1.16","-3.68","2.63","0.16","3.23","1.90","1.40","3.83","-4.02","0.35","1.60","-2.09","6.70"
"48906","Forua","-1.37","-0.94","-2.25","0.93","-1.02","-3.26","-0.39","3.04","2.18","-1.03","-1.81","-1.68","0.80","0.50","1.01"
"48035","Fruiz","-1.28","-1.44","1.46","1.86","14.50","4.22","6.38","3.68","0.99","0.50","6.07","4.41","1.68","0.56","2.31"
"20038","Gabiria","-0.81","-1.21","0.20","1.64","-1.01","0.20","3.80","5.80","3.23","1.17","2.14","0.24","-5.20","3.76","0.47"
"20037","Gaintza","-0.82","1.67","0.84","-1.65","-6.92","1.56","-3.03","0.00","-2.94","3.03","8.20","-2.40","-3.10","-5.15","-0.73"
"48036","Galdakao","-0.10","-0.02","0.45","0.31","0.28","-0.70","0.10","-0.03","0.17","-0.65","-0.74","-0.03","-0.54","0.66","0.29"
"48037","Galdames","-0.12","-0.25","-0.85","-2.49","-0.71","1.31","0.12","2.95","-1.93","1.97","-1.33","1.98","0.75","-0.50","0.88"
"48038","Gamiz-Fika","1.56","0.15","-0.45","-0.07","1.35","0.30","0.68","2.73","0.00","-0.47","1.98","0.80","2.20","2.16","-2.12"
"48039","Garai","-1.28","-0.95","-4.24","-3.51","0.88","4.95","1.57","-0.93","3.88","10.75","-1.41","-0.70","3.64","6.18","2.78"
"48040","Gatika","0.18","2.35","0.25","-0.74","2.46","0.89","0.71","2.57","3.83","3.17","3.96","1.87","3.47","0.39","-0.39"
"48041","Gautegiz Arteaga","-0.82","-1.15","-3.02","-1.65","3.53","1.15","-0.69","0.57","-0.11","-1.25","1.50","-1.25","1.50","1.29","1.54"
"20907","Gaztelu","-2.44","-4.09","0.59","1.19","-1.18","2.41","5.06","-4.82","-2.35","11.84","0.66","0.00","0.67","2.04","-20.54"
"48046","Gernika-Lumo","0.63","-0.20","-0.39","0.30","2.25","0.90","0.31","-0.07","0.52","1.33","0.66","1.82","0.76","0.01","1.23"
"20039","Getaria","1.26","2.09","1.49","0.26","0.49","-0.34","1.79","1.66","2.30","0.08","-0.82","1.43","0.64","1.96","-0.53"
"48044","Getxo","-0.37","-0.88","-0.37","-0.23","-0.08","-0.23","-0.61","-0.60","-0.59","-0.71","-0.44","-0.38","-0.74","-0.48","0.98"
"48047","Gizaburuaga","-2.35","0.47","-1.40","5.39","-0.49","1.99","2.55","7.69","4.60","-2.79","21.77","4.26","0.71","-4.76","6.52"
"48042","Gordexola","-0.70","0.00","-0.41","-0.92","-1.31","0.92","-0.06","2.17","3.84","3.27","1.15","1.75","0.72","0.26","4.65"
"48043","Gorliz","-0.02","0.11","1.02","1.36","0.31","0.22","1.91","2.14","2.14","2.52","3.42","2.78","2.11","2.17","1.49"
"48045","Güeñes","1.22","0.66","0.20","0.60","1.30","-1.13","1.95","1.18","1.14","0.60","0.78","0.96","1.69","1.62","3.71"
"01056","Harana/Valle de Arana","-2.07","-6.56","-0.38","-6.47","-3.14","-3.04","-2.95","-1.93","-0.64","-4.86","-2.66","2.74","-2.08","-0.30","0.90"
"20040","Hernani","0.57","-0.01","1.28","0.36","-0.06","0.06","-0.02","0.31","0.58","0.93","0.62","0.19","0.24","0.46","1.26"
"20041","Hernialde","-3.02","-5.43","-0.57","-2.49","0.56","3.16","0.58","0.87","2.69","0.00","2.45","6.89","3.74","2.44","1.41"
"20036","Hondarribia","0.03","0.30","0.59","1.68","0.12","0.21","0.04","0.88","0.55","0.95","0.83","1.35","1.51","0.81","-0.21"
"20042","Ibarra","-0.96","0.52","-0.28","-0.02","-0.49","-1.27","0.23","0.86","0.59","-0.60","-0.16","-1.51","-0.05","1.11","1.31"
"48048","Ibarrangelu","0.16","0.16","1.11","-1.40","0.79","3.58","-0.32","0.82","3.04","3.31","0.70","5.36","0.19","-0.18","-0.18"
"20043","Idiazabal","-0.17","0.09","0.30","0.35","0.48","0.84","-0.13","2.35","1.14","0.97","0.19","1.79","3.41","1.73","0.05"
"48094","Igorre","-1.11","-0.14","0.43","-0.14","-0.89","0.80","0.02","1.83","2.34","-0.02","0.05","1.17","0.60","1.32","0.92"
"20044","Ikaztegieta","0.21","4.74","0.00","-1.07","-0.21","0.00","1.08","1.31","0.88","0.44","14.97","1.81","0.26","1.58","2.70"
"20045","Irun","0.21","0.47","0.13","0.02","0.16","0.11","-0.02","0.06","0.82","0.26","1.27","1.03","1.49","0.73","2.10"
"20046","Irura","5.62","1.14","0.36","1.52","1.30","2.66","4.09","6.84","11.65","6.45","7.19","3.15","3.75","9.47","22.58"
"01027","Iruraiz-Gauna","0.98","-0.39","-1.16","-4.44","1.31","4.50","3.65","1.44","0.62","1.90","-0.84","2.80","1.53","0.22","3.86"
"01901","Iruña Oka/Iruña de Oca","3.09","2.06","0.26","0.91","3.57","-0.24","2.98","3.74","7.58","6.16","8.21","7.60","4.34","1.01","-26.44"
"48049","Ispaster","2.71","-0.85","-0.98","1.56","3.68","1.65","0.91","0.00","5.25","1.78","-0.16","0.65","0.33","0.66","12.99"
"20047","Itsasondo","-2.52","1.35","-0.45","-1.18","2.11","0.30","1.85","2.85","3.44","3.21","4.60","1.99","-1.77","-2.93","-0.34"
"48910","Iurreta","-0.77","-0.74","-1.95","-0.72","0.44","1.44","-0.65","-0.44","0.26","-1.46","-3.13","-0.47","-2.41","-0.55","0.60"
"48050","Izurtza","-6.30","-7.30","-1.79","1.09","0.00","2.22","4.65","-0.77","6.12","-2.39","-0.79","-4.53","0.76","-0.75","-0.38"
"48022","Karrantza Harana/Valle de Carranza","-0.73","-1.61","0.68","-1.10","0.43","0.29","-0.85","-0.74","0.53","-0.78","-0.42","-1.18","-0.86","-0.58","1.35"
"48907","Kortezubi","-3.85","1.30","3.60","5.20","-1.63","2.63","1.70","0.73","1.49","2.81","1.29","4.03","0.27","-2.62","4.96"
"01019","Kripan","2.20","-3.19","-5.05","2.06","-1.52","1.03","0.52","5.43","0.00","-2.13","-2.59","1.58","-0.52","2.69","-2.11"
"01020","Kuartango","1.66","1.69","-0.28","-0.28","1.99","-1.13","-0.56","0.00","-0.28","-1.65","2.25","-2.20","-0.82","-1.34","0.00"
"01028","Labastida/Bastida","-0.75","-1.21","0.88","-2.12","2.59","-0.07","-1.54","-0.60","1.90","2.86","3.09","4.27","2.46","1.09","-26.73"
"01030","Lagrán","3.07","1.24","-5.29","-5.56","-2.17","3.37","-4.30","-2.11","-2.06","1.57","-0.52","-1.54","2.09","-2.55","-0.51"
"01031","Laguardia","-2.76","0.13","-0.65","-1.29","0.13","2.25","0.13","0.27","1.48","-0.07","0.13","0.20","1.16","1.11","3.28"
"01032","Lanciego/Lantziego","0.29","-0.29","-0.58","0.00","0.44","-2.01","2.81","-0.88","-0.58","2.08","1.97","2.64","-0.77","-2.41","-12.52"
"48051","Lanestosa","-1.85","1.88","-1.48","2.27","-0.38","-2.57","-5.23","0.35","-2.72","5.38","0.00","-2.11","-0.35","-1.72","1.04"
"01902","Lantarón","-0.56","-4.08","-0.64","0.86","0.00","-2.93","-2.55","4.69","-2.70","0.73","-0.93","3.32","0.65","-4.62","-12.49"
"01033","Lapuebla de Labarca","-0.93","-0.12","3.99","-2.36","-2.19","0.12","-1.25","-3.63","3.17","4.75","-1.41","0.71","-1.97","-1.37","2.93"
"48052","Larrabetzu","0.20","1.14","0.35","2.13","2.23","0.73","2.29","1.85","5.63","4.75","0.97","1.79","0.68","1.71","3.47"
"20048","Larraul","-1.61","-4.23","0.39","4.86","1.23","-3.56","1.61","4.18","14.90","17.51","0.00","0.57","4.14","12.67","3.45"
"20902","Lasarte-Oria","0.33","0.06","0.32","0.57","0.18","0.18","0.42","0.50","0.58","0.06","-0.36","-0.50","0.60","1.23","-0.47"
"01036","Laudio/Llodio","-0.48","-0.69","-0.44","0.06","0.02","0.40","0.58","0.21","-0.66","-0.44","-0.83","-0.47","-0.79","-0.81","0.19"
"48053","Laukiz","3.06","1.42","-1.66","-0.09","0.97","2.61","2.50","2.46","5.92","1.84","-0.71","1.13","-1.91","-1.29","1.21"
"20049","Lazkao","1.52","-0.16","-0.38","0.94","0.52","1.10","-0.11","1.31","1.58","1.56","0.20","0.97","0.00","1.22","-0.14"
"20050","Leaburu","-1.09","-1.34","3.04","-5.73","0.26","-3.04","2.33","-0.52","1.04","2.40","3.02","-1.36","-1.60","1.90","-0.81"
"20051","Legazpi","-0.42","-1.01","-0.35","-0.01","-0.52","-0.39","0.03","0.07","1.02","0.13","-0.63","-0.09","-0.65","-0.63","-0.23"
"20052","Legorreta","0.14","-1.84","-1.54","0.54","-2.82","2.01","0.13","3.18","0.63","1.77","2.84","0.88","-0.58","0.07","1.48"
"01058","Legutio","1.81","0.76","-2.63","-0.74","3.77","3.28","0.06","2.43","1.07","4.61","1.20","2.74","1.18","1.69","4.34"
"20068","Leintz-Gatzaga","-2.49","-1.23","-5.43","0.78","-5.88","3.82","-1.50","1.14","5.20","-2.72","2.80","0.81","0.40","1.65","-3.57"
"48054","Leioa","0.46","0.10","0.16","0.04","0.56","0.63","0.61","1.11","1.82","0.40","0.84","0.18","-0.30","1.73","-1.66"
"48057","Lekeitio","-0.65","-1.04","-0.94","-0.61","0.13","-0.39","-0.52","-0.17","1.24","1.25","0.19","-0.10","-0.73","-0.62","0.78"
"48055","Lemoa","0.51","-0.20","1.06","0.70","3.14","3.72","2.15","1.41","4.92","5.36","-0.49","1.36","0.94","2.22","4.16"
"48056","Lemoiz","0.33","2.79","3.96","4.99","3.93","1.86","-0.49","-0.29","4.04","4.32","2.70","1.87","2.25","0.11","0.11"
"01034","Leza","-1.85","4.35","-2.82","-2.29","2.35","-9.75","4.89","-0.44","-1.74","3.60","-3.48","4.55","4.76","0.48","5.56"
"48081","Lezama","-0.50","-1.07","-0.65","-1.13","-1.63","0.64","1.46","0.90","1.33","2.51","2.84","2.88","1.88","1.16","1.27"
"20053","Lezo","-0.50","-0.28","-0.78","0.45","-0.02","0.67","-0.25","-0.32","0.94","0.35","0.58","-0.15","-1.55","1.43","1.02"
"20054","Lizartza","-3.53","-2.50","0.47","-1.85","0.78","-2.57","3.12","2.07","2.95","1.33","-1.79","2.00","0.67","1.19","1.37"
"48903","Loiu","-1.34","0.17","-3.86","-0.56","0.28","-1.19","10.09","6.66","-1.51","-0.91","-0.23","0.55","3.01","-6.29","13.03"
"48058","Mallabia","-3.46","0.33","-0.08","1.17","0.84","0.51","0.34","0.60","0.77","2.38","0.27","2.44","-1.25","0.72","-7.80"
"48060","Markina-Xemein","0.02","-0.26","0.00","0.26","0.04","0.34","0.06","2.98","2.74","2.21","-5.14","1.49","0.83","0.32","-0.21"
"48061","Maruri-Jatabe","-0.10","1.06","-0.32","-1.35","4.91","2.23","-0.22","5.03","0.94","0.47","4.46","4.53","5.46","7.65","-0.44"
"48059","Mañaria","-0.76","3.94","-1.93","1.97","-1.17","-1.16","4.64","4.64","0.21","3.05","0.22","1.55","-0.44","-0.44","0.44"
"20901","Mendaro","0.25","1.40","0.86","0.97","1.71","1.63","-0.47","3.70","6.92","1.84","0.60","5.80","4.75","4.77","-4.11"
"48062","Mendata","2.36","0.53","2.99","-2.65","-0.79","-2.31","2.09","2.96","-0.54","-0.27","8.09","0.87","0.29","0.59","0.29"
"48063","Mendexa","-0.65","1.76","3.41","0.23","0.23","1.62","-1.37","5.56","0.73","2.75","5.82","4.13","4.31","-0.29","-1.69"
"48064","Meñaka","0.95","-1.48","0.00","-1.19","3.86","3.42","3.54","2.11","2.79","1.89","8.56","3.73","5.23","3.08","0.78"
"01039","Moreda de Álava / Moreda Araba","-1.72","-1.27","-0.84","-3.25","-1.20","0.00","-4.60","-2.25","-2.91","0.36","-2.14","1.45","-1.43","-2.44","9.96"
"48066","Morga","-0.71","0.96","-2.58","5.17","-1.22","-1.91","2.44","2.51","1.01","-2.23","-0.25","-3.34","-0.71","3.69","1.75"
"48068","Mundaka","-0.90","-0.05","-1.87","-0.57","0.05","0.05","0.26","3.76","0.22","-1.06","1.46","0.27","0.54","-0.33","-0.54"
"48069","Mungia","0.97","0.45","0.19","0.65","1.05","1.27","1.96","2.28","2.90","1.97","1.49","3.02","1.13","2.15","1.29"
"48007","Munitibar-Arbatzegi Gerrikaitz-","0.00","-1.71","2.40","4.57","2.58","2.89","0.48","4.56","3.67","0.26","0.80","-2.08","0.79","-3.05","-4.60"
"48908","Murueta","-0.32","-0.32","0.00","2.98","-1.95","0.00","-0.65","0.32","1.31","0.99","7.47","-2.77","9.47","6.02","-3.86"
