"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"48071","Muskiz","-0.25","-0.14","-0.10","1.05","1.80","1.05","1.59","1.79","2.10","1.52","2.35","1.29","0.37","4.62","0.40"
"20057","Mutiloa","-3.76","1.53","3.97","-0.40","2.85","-0.81","5.53","0.00","7.80","9.00","19.05","7.69","-1.89","0.63","0.00"
"20056","Mutriku","0.30","0.38","1.30","2.43","1.43","0.16","0.84","0.12","1.22","2.46","0.90","0.00","-0.36","-0.83","-1.29"
"48067","Muxika","-0.97","0.49","-0.96","-0.75","-0.61","0.75","-0.48","1.73","5.08","3.53","2.78","0.39","-0.92","-2.25","0.91"
"48909","Nabarniz","9.28","-0.84","3.02","2.20","-3.81","0.85","1.30","2.67","-2.17","3.14","-2.62","-0.87","2.21","-0.44","2.71"
"01041","Navaridas","-2.16","7.94","-4.04","1.36","3.29","0.95","0.96","-4.57","0.46","3.32","0.48","0.96","0.48","-5.91","-1.35"
"20063","Oiartzun","0.27","1.79","-0.25","-0.23","0.12","0.59","0.54","0.49","0.41","-0.23","1.02","1.01","2.40","1.18","-1.11"
"01042","Okondo","1.30","-0.17","0.78","-0.69","0.17","3.49","2.67","1.02","1.13","3.10","1.67","1.10","4.15","5.59","6.41"
"20058","Olaberria","0.97","-2.61","1.59","0.11","0.43","-1.16","-2.07","0.10","3.31","1.74","0.22","0.00","2.00","-2.07","-1.92"
"48073","Ondarroa","-0.38","-0.56","-1.29","-1.71","-0.16","-0.05","-0.73","-0.73","-0.94","-2.21","-1.67","-2.15","-1.22","-0.62","0.92"
"20076","Ordizia","0.29","0.44","0.37","-0.51","0.06","0.54","0.27","-0.27","4.49","1.64","1.81","1.11","-0.40","-0.65","-1.31"
"20905","Orendain","3.63","0.00","0.52","6.08","-2.69","-2.62","4.37","1.67","2.86","2.94","3.03","1.85","0.62","11.03","3.57"
"20060","Orexa","-0.79","2.44","0.82","-0.81","0.82","-0.81","1.65","0.00","5.22","19.79","7.87","4.71","2.41","2.47","12.50"
"20061","Orio","0.79","1.95","3.08","2.64","2.13","2.39","2.41","1.15","2.69","3.07","1.19","1.20","-0.43","2.22","2.88"
"20062","Ormaiztegi","0.92","-0.08","-0.53","0.69","-1.29","0.08","-0.30","1.15","0.54","2.60","1.52","0.56","4.02","2.84","-1.02"
"48075","Orozko","-0.19","0.04","-0.11","2.51","4.00","1.91","-0.17","1.13","1.62","0.34","1.48","1.63","2.77","2.46","2.62"
"48083","Ortuella","-0.53","0.06","0.15","-0.23","0.05","-0.27","-1.00","0.19","-0.85","-0.48","0.75","-1.04","-1.36","-0.24","0.07"
"48072","Otxandio","1.81","-1.93","0.46","-0.84","1.96","0.63","3.00","0.98","3.21","6.78","4.43","1.92","1.46","0.20","0.59"
"01043","Oyón-Oion","0.18","0.67","0.58","-0.79","0.64","1.17","3.05","1.58","2.89","2.90","3.61","5.56","4.45","3.05","0.97"
"20059","Oñati","0.64","-0.05","0.71","0.46","1.07","0.69","0.56","0.74","0.56","0.12","0.30","-0.17","-0.20","-0.28","1.45"
"20064","Pasaia","1.22","0.52","0.50","-0.23","-0.38","-0.20","-0.08","-0.04","-0.59","-0.43","0.27","0.24","-0.41","-1.18","-1.08"
"01044","Peñacerrada-Urizaharra","-0.37","0.37","0.00","-3.93","-2.44","-3.04","2.07","7.01","7.11","-2.69","1.17","-2.28","-0.75","5.58","-48.78"
"48077","Plentzia","-0.78","-0.14","-0.07","0.76","0.07","0.44","-0.23","3.76","1.59","0.29","3.04","1.39","3.51","2.17","1.10"
"48078","Portugalete","-0.73","-0.85","-0.25","-1.10","0.03","-0.24","-0.52","-0.21","-0.37","-1.49","-1.35","-1.13","-1.12","-1.21","-0.09"
"01047","Ribera Baja/Erribera Beitia","-0.44","0.07","1.80","0.15","1.37","0.84","8.76","2.13","3.81","2.91","5.98","7.25","12.85","17.58","-16.03"
"01051","Salvatierra/Agurain","-0.02","0.69","-0.86","0.34","1.92","0.35","1.37","3.74","5.01","4.51","2.40","0.54","1.29","-0.02","0.97"
"01052","Samaniego","3.06","1.38","-11.04","-1.51","-1.49","2.13","3.13","-3.04","5.11","1.62","-0.65","-2.82","0.63","1.93","-11.40"
"01053","San Millán/Donemiliaga","-0.69","-0.55","-2.29","3.34","-0.83","0.00","1.97","-0.56","-3.90","3.91","-0.69","2.12","3.07","-1.58","-1.83"
"48082","Santurtzi","-0.52","-0.79","-0.78","-0.23","0.11","-0.05","0.26","-0.06","-0.19","-0.48","0.35","0.25","-0.26","-0.63","1.01"
"20070","Segura","-0.27","-0.27","0.48","-0.27","-0.74","2.27","4.60","1.02","4.40","5.52","1.63","-0.32","0.00","-0.32","0.08"
"48084","Sestao","-0.75","-0.83","-1.27","-0.62","-0.44","-0.91","-0.85","-0.55","-0.27","-1.06","-1.03","-1.35","-2.41","-1.95","2.05"
"48904","Sondika","-0.35","-1.18","0.86","0.04","0.33","0.40","-0.46","1.16","1.17","0.98","2.07","1.37","2.41","2.96","2.34"
"48085","Sopela","1.48","1.15","0.65","0.50","1.73","1.33","1.36","0.96","0.98","2.21","3.42","2.32","2.89","0.99","3.23"
"48086","Sopuerta","-0.15","1.40","-0.47","-1.11","0.62","1.41","1.92","3.17","0.46","2.33","2.30","1.58","2.11","0.36","-1.60"
"20065","Soraluze-Placencia de las Armas","-0.08","-1.10","-0.67","0.93","-0.35","-0.17","0.30","-0.97","-0.81","-0.88","-1.21","-0.24","0.00","-0.45","-0.10"
"48076","Sukarrieta","-1.34","5.07","-1.39","0.84","0.85","0.57","0.57","1.45","-2.27","-0.28","-0.28","-1.39","9.09","2.48","-0.92"
"20071","Tolosa","0.32","0.93","0.53","1.41","1.88","0.76","0.28","0.84","0.03","0.06","0.27","0.17","-0.77","-0.43","-0.71"
"48087","Trucios-Turtzioz","-0.58","-2.29","-1.87","-0.56","0.19","-0.92","1.88","-2.56","-0.36","4.58","0.00","-1.13","1.73","-1.33","-16.98"
"48088","Ubide","-0.56","-0.56","2.27","-4.35","0.00","10.18","3.73","1.90","1.94","-1.27","-1.26","-1.24","-5.85","1.79","3.70"
"48065","Ugao-Miraballes","-0.22","0.91","-0.22","0.86","0.00","0.22","0.52","0.37","-0.07","-0.45","-0.62","-0.47","-0.49","0.05","0.91"
"48089","Urduliz","1.87","3.56","4.24","3.83","1.68","4.35","2.52","1.15","1.01","4.08","-3.15","2.05","0.47","0.48","0.13"
"48074","Urduña/Orduña","-0.55","-0.71","-0.71","0.21","-0.52","0.02","0.90","0.55","1.52","0.93","0.96","0.47","1.18","0.48","2.37"
"01054","Urkabustaiz","3.00","1.72","-1.69","-3.70","1.89","4.25","6.27","3.19","1.58","8.87","4.90","4.28","4.47","1.89","2.62"
"20072","Urnieta","0.13","0.66","-0.26","-0.06","0.83","0.36","0.16","1.15","1.12","1.73","0.84","0.69","-0.29","1.59","2.32"
"20077","Urretxu","-1.49","0.26","0.54","-1.07","-0.04","-0.39","0.65","1.47","0.75","-0.25","0.82","0.84","0.03","0.92","2.67"
"20073","Usurbil","0.23","0.24","0.93","0.34","0.46","0.81","1.59","2.18","1.31","-0.09","1.10","2.70","0.69","1.60","-0.31"
"01055","Valdegovía/Gaubea","0.20","-2.41","-0.57","-2.16","-2.82","-0.72","0.73","-4.36","3.24","3.35","0.56","2.29","3.56","1.71","-9.32"
"48080","Valle de Trápaga-Trapagaran","-0.52","-0.30","0.24","-0.73","-0.29","-0.76","-0.29","-0.40","-0.39","-0.46","-0.57","-0.20","-0.64","-0.09","0.36"
"20075","Villabona","0.49","-0.44","0.10","0.17","0.15","0.70","0.67","0.40","0.17","0.16","-0.07","0.05","1.99","0.82","-1.93"
"01057","Villabuena de Álava/Eskuernaga","-4.58","-1.92","0.65","-2.82","-1.85","2.85","-0.63","0.32","0.96","-3.38","0.93","0.31","-4.46","-1.47","-10.97"
"01059","Vitoria-Gasteiz","0.29","0.76","0.29","-0.35","1.11","0.55","1.10","1.37","1.30","0.84","0.48","1.25","0.20","0.90","-0.99"
"01060","Yécora/Iekora","1.13","3.10","-2.64","-7.02","-0.70","0.35","-6.23","2.01","2.05","2.45","2.51","4.89","4.31","-2.67","27.80"
"48095","Zaldibar","0.78","0.03","0.66","-0.65","0.79","-0.10","0.90","2.83","1.49","0.42","0.03","-0.66","0.70","-0.55","0.45"
"20078","Zaldibia","-0.13","1.22","1.96","0.39","0.33","0.86","-1.38","1.40","2.80","1.18","-2.10","-0.27","-1.99","0.20","-0.13"
"01061","Zalduondo","-4.08","5.95","-0.54","0.54","-6.09","2.07","4.32","0.54","-0.54","5.11","4.14","4.32","10.96","2.82","2.16"
"48096","Zalla","-0.44","-0.05","-0.35","0.82","2.23","1.00","-0.12","0.10","1.33","0.76","0.46","0.68","0.39","1.14","1.81"
"01062","Zambrana","-1.97","-2.64","-1.18","-1.86","6.70","5.22","1.59","5.31","-0.56","-0.55","-1.36","1.66","2.56","-6.13","-50.40"
"48905","Zamudio","0.71","-0.58","-0.28","-0.27","1.02","0.50","0.91","-0.74","0.03","1.07","0.50","0.86","1.55","1.84","1.43"
"48097","Zaratamo","-0.74","-2.36","0.12","-0.78","-0.18","-2.52","-1.50","-0.34","3.20","2.18","1.66","-1.40","-0.24","-1.37","-1.06"
"20079","Zarautz","0.56","0.43","0.57","0.49","-0.21","0.17","0.14","0.68","0.71","-0.04","1.21","0.68","1.04","1.00","2.51"
"48024","Zeanuri","-0.48","-0.87","-1.63","-1.68","1.16","-0.38","-2.11","0.99","2.65","3.30","3.24","4.16","0.96","-0.69","-1.12"
"48025","Zeberio","0.56","-0.37","0.09","0.84","1.13","0.28","0.57","-1.68","0.00","2.10","2.24","0.20","0.89","2.42","9.73"
"20025","Zegama","-0.20","-0.65","-1.29","-0.39","0.00","1.50","2.55","2.61","3.34","4.38","3.45","-0.31","0.54","-0.54","0.85"
"20026","Zerain","0.00","-3.04","0.00","-0.75","3.11","3.21","2.47","-0.41","-1.61","1.64","0.41","-2.41","-1.19","0.40","1.62"
"20027","Zestoa","0.54","1.59","0.16","-0.30","0.16","3.13","1.87","1.55","0.47","2.99","2.83","3.74","0.75","-1.38","-13.65"
"48913","Zierbena","-0.27","-0.33","1.28","1.23","1.46","3.00","1.16","2.29","4.00","1.25","0.00","1.42","1.69","3.07","1.68"
"01018","Zigoitia","-2.15","1.26","-0.68","0.46","1.04","2.07","2.73","3.78","5.02","7.53","2.10","3.53","0.00","1.14","2.49"
"48915","Ziortza-Bolibar","-0.46","0.00","1.17","2.63","1.95","0.49","3.03","0.25","0.00","3.13","-5.14","1.49","0.83","0.32","-0.21"
"20028","Zizurkil","-0.43","0.43","0.10","2.89","4.04","1.12","-1.11","0.11","0.14","-2.48","1.17","-0.95","-1.04","-0.52","-1.89"
"01063","Zuia","-1.43","-1.81","0.00","-0.49","0.62","0.96","0.46","0.46","0.30","1.85","1.48","3.42","5.77","7.26","2.62"
"20081","Zumaia","0.43","0.66","1.12","0.47","1.27","1.33","0.56","2.04","1.37","1.57","1.12","0.39","0.57","1.12","1.64"
"20080","Zumarraga","-0.03","-0.29","-1.43","0.70","0.17","-0.30","-0.66","0.51","-0.06","-0.19","0.08","-0.44","-0.57","-0.90","0.24"
