"Udalerri kodea","Udalerria","2011","2010","2009","2008"
"48001","Abadiño","30.05","30.05","30.05","30.00"
"20001","Abaltzisketa","0.00","0.00","0.00","0.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","0.00","0.00","0.00","0.00"
"20002","Aduna","20.41","20.41","20.41","20.51"
"20016","Aia","18.79","18.79","18.79","18.75"
"20003","Aizarnazabal","5.67","5.70","5.70","5.71"
"48911","Ajangiz","32.06","32.06","32.06","32.19"
"20004","Albiztur","0.00","0.00","0.00","0.00"
"20005","Alegia","20.85","20.85","21.29","21.36"
"01001","Alegría-Dulantzi","0.89","0.89","0.89","0.89"
"20006","Alkiza","0.00","0.00","0.00","0.00"
"48912","Alonsotegi","14.93","14.93","14.93","15.19"
"20906","Altzaga","0.00","0.00","0.00","0.00"
"20007","Altzo","0.00","0.00","0.00","0.00"
"20008","Amezketa","0.00","0.00","0.00","0.00"
"48003","Amorebieta-Etxano","8.40","8.40","8.40","8.48"
"48004","Amoroto","0.00","0.00","0.00","0.00"
"01002","Amurrio","8.84","8.84","8.84","8.85"
"20009","Andoain","11.74","11.74","11.74","11.78"
"20010","Anoeta","29.32","29.32","31.07","31.86"
"20011","Antzuola","2.27","2.26","1.96","1.96"
"48005","Arakaldo","17.34","17.34","17.34","17.66"
"20012","Arama","2.77","2.71","2.71","2.72"
"01003","Aramaio","0.00","0.00","0.00","0.00"
"48006","Arantzazu","5.37","5.37","5.37","5.38"
"48093","Areatza","10.37","10.37","10.37","10.15"
"20013","Aretxabaleta","3.35","3.36","3.36","3.44"
"01006","Armiñón","31.05","31.05","31.05","31.01"
"01037","Arraia-Maeztu","0.00","0.00","0.00","0.00"
"48009","Arrankudiaga","23.76","22.96","22.01","22.05"
"20055","Arrasate/Mondragón","8.74","8.28","8.28","8.40"
"48914","Arratzu","0.74","0.74","0.74","0.74"
"01008","Arratzua-Ubarrundia","9.85","9.85","9.85","9.98"
"48010","Arrieta","0.00","0.00","0.00","0.00"
"48011","Arrigorriaga","14.41","14.41","15.89","15.94"
"48023","Artea","6.61","6.61","6.52","6.61"
"48008","Artzentales","0.00","0.00","0.00","0.00"
"01004","Artziniega","5.45","5.45","5.45","5.52"
"01009","Asparrena","0.00","0.00","0.00","0.00"
"20014","Asteasu","1.65","1.65","1.65","1.79"
"20903","Astigarraga","19.98","24.44","24.44","26.14"
"20015","Ataun","8.50","8.44","8.44","8.48"
"48091","Atxondo","14.94","14.94","14.94","14.94"
"48070","Aulesti","6.46","6.46","6.46","6.37"
"01010","Ayala/Aiara","6.12","6.12","6.12","6.13"
"20017","Azkoitia","12.65","12.62","12.62","11.45"
"20018","Azpeitia","20.49","20.49","20.49","20.49"
"01049","Añana","0.00","0.00","0.00","0.00"
"48012","Bakio","13.10","13.10","13.10","13.29"
"20904","Baliarrain","0.00","0.00","0.00","0.00"
"48090","Balmaseda","18.98","18.98","18.98","20.30"
"48013","Barakaldo","21.59","21.59","21.59","21.62"
"48014","Barrika","2.54","2.54","2.52","2.46"
"01013","Barrundia","4.73","4.73","4.73","4.78"
"48015","Basauri","22.61","22.61","22.86","22.95"
"01011","Baños de Ebro/Mañueta","0.00","0.00","0.00","0.00"
"20019","Beasain","7.88","8.01","8.07","8.08"
"48092","Bedia","5.46","5.46","5.40","5.38"
"20020","Beizama","0.00","0.00","0.00","0.00"
"20021","Belauntza","0.32","0.32","0.35","0.35"
"48016","Berango","1.68","1.68","1.68","1.68"
"01014","Berantevilla","26.47","26.47","26.47","27.65"
"20022","Berastegi","0.00","0.00","0.00","0.00"
"20074","Bergara","12.65","12.65","11.50","11.52"
"48017","Bermeo","0.88","0.88","0.88","0.90"
"01016","Bernedo","0.00","0.00","0.00","0.00"
"48018","Berriatua","15.94","15.94","15.91","16.04"
"48019","Berriz","1.33","1.33","1.35","1.35"
"20023","Berrobi","0.36","0.36","0.36","0.36"
"20024","Bidania-Goiatz","0.00","0.00","0.00","0.00"
"48020","Bilbao","11.72","11.72","11.65","11.58"
"48021","Busturia","2.35","2.35","2.36","2.17"
"01017","Campezo/Kanpezu","11.50","11.50","11.50","11.50"
"20029","Deba","3.08","3.08","3.08","2.98"
