"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48001","Abadiño","6.17","6.45","8.60","9.28","9.72","6.74","6.06","7.92","6.39","2.97","2.46","2.73","2.84"
"20001","Abaltzisketa","1.83","0.92","1.82","1.80","4.59","3.70","0.92","4.67","2.83","1.92","1.92","2.91","1.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","11.54","13.38","13.99","14.86","15.93","13.24","11.07","11.14","7.59","4.95","4.75","6.41","5.68"
"20002","Aduna","4.79","5.39","6.13","5.95","6.63","4.27","4.94","3.87","2.11","1.48","2.99","0.75","1.49"
"20016","Aia","5.48","5.76","6.82","7.33","6.97","5.39","6.91","6.91","3.98","3.37","2.78","2.80","1.47"
"20003","Aizarnazabal","8.24","7.12","9.89","10.53","15.44","11.31","10.49","11.45","3.83","5.62","3.33","3.88","2.26"
"48911","Ajangiz","5.56","5.56","3.77","4.27","3.95","5.70","1.26","7.24","5.52","1.40","0.68","2.70","2.82"
"20004","Albiztur","5.15","3.09","6.00","5.94","4.85","1.90","3.88","2.86","1.90","1.87","2.91","1.98","0.00"
"20005","Alegia","7.53","10.04","12.12","11.03","11.63","10.83","11.84","9.44","4.91","4.14","4.85","4.52","3.23"
"01001","Alegría-Dulantzi","8.66","9.29","9.70","9.01","10.88","8.37","6.89","5.69","2.78","1.49","1.24","2.13","2.18"
"20006","Alkiza","5.45","6.36","5.98","8.13","6.20","5.47","3.31","4.88","4.76","2.40","1.69","1.67","1.87"
"48912","Alonsotegi","13.08","15.14","15.48","16.90","16.05","14.11","11.65","7.98","7.85","5.34","5.85","6.46","6.32"
"20906","Altzaga","8.70","6.52","8.51","4.00","3.92","3.92","1.82","1.82","5.36","1.82","0.00","1.69","1.64"
"20007","Altzo","3.57","5.00","6.52","7.46","10.79","9.59","10.56","7.64","6.16","2.70","4.96","4.51","3.79"
"20008","Amezketa","3.49","6.03","7.01","6.46","5.15","3.57","4.08","4.28","4.56","1.66","1.50","2.05","1.46"
"48003","Amorebieta-Etxano","7.03","7.59","9.42","9.51","9.92","7.77","7.67","9.19","5.59","2.76","2.51","3.55","3.24"
"48004","Amoroto","4.20","4.90","5.07","7.14","6.38","4.93","2.67","5.44","4.96","1.46","2.88","6.82","4.07"
"01002","Amurrio","10.58","10.73","12.28","11.48","10.99","9.29","7.65","8.32","5.64","3.36","3.84","5.25","4.66"
"20009","Andoain","7.60","8.09","9.81","10.34","10.93","9.45","9.68","8.63","6.38","4.29","4.03","4.14","3.74"
"20010","Anoeta","5.59","6.73","8.35","7.53","10.64","7.74","7.92","6.73","5.26","4.27","4.49","5.38","3.79"
"20011","Antzuola","3.52","3.96","6.25","5.90","6.06","4.29","5.73","5.11","4.04","1.18","1.31","1.72","1.32"
"48005","Arakaldo","13.21","7.55","7.69","8.51","4.35","11.11","0.00","8.11","0.00","0.00","9.09","6.06","3.03"
"20012","Arama","0.00","4.84","7.69","3.03","11.11","6.67","6.45","1.39","3.12","3.28","1.75","0.00","0.00"
"01003","Aramaio","2.39","3.19","3.14","4.11","4.45","2.36","3.56","3.51","5.05","1.36","1.92","2.12","2.04"
"48006","Arantzazu","4.35","3.48","8.55","4.84","4.96","5.08","6.90","6.42","5.61","1.92","4.81","4.81","2.88"
"48093","Areatza","7.98","10.47","11.08","11.54","10.94","10.33","8.42","7.38","5.98","3.49","3.11","3.12","2.59"
"20013","Aretxabaleta","5.32","5.90","7.98","7.51","7.06","5.74","6.60","8.41","6.47","3.98","2.76","2.70","1.70"
"01006","Armiñón","9.88","8.64","7.23","7.14","6.02","5.06","6.41","3.95","1.45","5.88","1.43","0.00","1.72"
"01037","Arraia-Maeztu","4.44","4.84","6.94","12.30","9.54","6.74","7.06","7.30","3.28","4.07","5.26","3.27","2.84"
"48009","Arrankudiaga","6.27","3.76","6.29","6.23","9.09","7.26","10.14","7.61","5.50","3.86","4.00","3.44","3.88"
"20055","Arrasate/Mondragón","8.84","9.91","10.96","10.34","9.58","8.50","8.51","10.40","8.06","3.99","3.45","3.81","3.52"
"48914","Arratzu","2.29","4.58","2.27","2.94","4.29","1.41","2.19","6.94","4.83","2.17","1.48","2.19","2.26"
"01008","Arratzua-Ubarrundia","2.45","4.63","5.21","6.01","7.12","5.31","6.04","5.67","4.26","2.92","2.38","2.66","2.48"
"48010","Arrieta","7.14","5.71","4.29","7.69","7.11","4.55","7.94","7.57","3.21","1.67","1.69","2.92","1.20"
"48011","Arrigorriaga","8.50","10.47","12.11","12.95","13.53","10.68","10.43","9.67","6.39","3.95","3.55","5.20","5.07"
"48023","Artea","8.05","7.63","8.63","9.16","11.36","10.91","5.90","6.11","5.22","3.82","3.72","2.49","1.22"
"48008","Artzentales","9.77","10.90","9.62","12.79","11.94","7.12","6.94","8.10","5.05","4.91","4.42","6.05","6.97"
"01004","Artziniega","7.60","8.60","8.16","7.17","8.33","9.57","8.79","7.98","5.75","3.42","4.34","4.78","6.55"
"01009","Asparrena","9.54","10.07","11.46","11.23","12.78","9.08","7.81","6.19","3.40","1.41","2.53","3.29","4.37"
"20014","Asteasu","5.43","4.63","4.30","7.46","8.67","7.05","5.37","5.28","2.86","3.19","1.51","1.52","1.35"
"20903","Astigarraga","5.96","6.79","7.47","7.33","8.25","6.27","5.39","5.09","4.29","2.29","2.60","2.92","1.69"
"20015","Ataun","4.85","4.85","5.94","5.71","6.54","5.25","5.66","4.81","2.51","0.91","1.48","0.94","0.57"
"48091","Atxondo","4.14","4.14","9.29","7.80","9.86","7.38","7.98","8.95","4.62","2.21","2.76","2.75","1.69"
"48070","Aulesti","1.54","4.10","4.04","7.37","10.99","4.46","3.92","4.90","3.40","0.48","1.94","2.31","1.41"
"01010","Ayala/Aiara","4.90","6.36","7.98","7.20","7.11","6.25","5.22","4.92","3.58","2.11","2.88","3.80","4.01"
