"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"48001","Abadiño","1.42","1.42","1.42","1.42","1.41","1.41","1.41","1.41","1.42","1.42","1.42"
"20001","Abaltzisketa","0.47","0.47","0.47","0.49","0.49","0.50","0.50","0.78","0.78","0.78","0.78"
"48002","Abanto y Ciérvana-Abanto Zierbena","3.86","4.16","4.16","4.66","4.66","4.19","4.76","4.79","4.83","4.83","4.02"
"20002","Aduna","0.54","0.54","0.57","0.57","0.57","0.58","0.58","0.58","0.58","1.15","1.15"
"20016","Aia","0.54","0.53","0.49","0.49","0.49","0.48","0.48","0.48","0.48","0.87","0.87"
"20003","Aizarnazabal","0.33","0.33","0.33","0.33","0.33","0.32","1.58","1.58","1.58","1.58","1.58"
"48911","Ajangiz","0.82","0.82","0.82","0.82","0.82","0.79","0.80","0.80","0.80","0.80","0.80"
"20004","Albiztur","0.30","0.31","0.31","0.31","0.31","0.30","0.31","1.01","1.01","1.01","1.01"
"20005","Alegia","2.07","2.07","2.06","2.05","2.05","2.03","2.00","2.24","2.24","2.24","2.24"
"01001","Alegría-Dulantzi","1.16","1.16","1.16","1.16","1.16","1.15","1.16","1.16","1.13","1.41","1.42"
"20006","Alkiza","0.23","0.23","0.23","0.23","0.23","0.23","0.22","0.31","0.31","0.31","0.31"
"48912","Alonsotegi","2.30","2.30","2.30","2.30","2.30","2.79","2.08","2.08","2.01","2.02","2.02"
"20906","Altzaga","0.76","0.76","0.76","0.78","0.78","0.74","1.68","1.68","1.68","1.68","1.68"
"20007","Altzo","0.40","0.42","0.43","0.42","0.42","0.42","0.42","0.84","0.84","0.84","0.84"
"20008","Amezketa","0.32","0.32","0.32","0.31","0.31","0.32","0.32","0.32","0.32","0.32","0.23"
"48003","Amorebieta-Etxano","1.34","1.34","1.34","1.34","1.34","1.34","1.35","1.35","1.38","1.36","1.38"
"48004","Amoroto","0.41","0.41","0.40","0.40","0.40","0.40","0.40","0.40","0.39","0.39","0.39"
"01002","Amurrio","0.80","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.79","0.79","0.79"
"20009","Andoain","2.34","2.34","2.34","2.34","2.34","0.97","1.07","1.07","1.07","1.07","1.07"
"20010","Anoeta","1.84","1.84","1.85","1.85","1.85","1.85","1.85","1.40","1.40","1.40","1.40"
"20011","Antzuola","0.39","0.39","0.39","0.39","0.39","0.39","0.60","0.52","0.52","0.52","0.52"
"48005","Arakaldo","2.77","2.77","2.77","2.77","2.77","2.79","2.90","2.90","2.90","2.90","2.90"
"20012","Arama","2.90","2.90","2.90","2.90","2.90","3.01","3.16","3.16","3.10","3.10","3.10"
"01003","Aramaio","0.75","0.75","0.68","0.68","0.20","0.21","0.21","0.21","0.23","0.23","0.23"
"48006","Arantzazu","2.09","2.09","2.09","2.09","2.09","1.95","1.95","1.95","1.89","1.89","1.93"
"48093","Areatza","0.31","0.31","0.31","0.31","0.31","0.31","0.31","0.31","0.27","0.27","0.25"
"20013","Aretxabaleta","0.66","0.66","0.66","0.66","0.71","0.66","0.65","0.65","0.65","0.65","0.65"
"01006","Armiñón","3.61","3.61","3.61","3.61","3.61","4.41","4.41","4.41","4.50","4.50","4.50"
"01037","Arraia-Maeztu","0.34","0.34","0.34","0.34","0.35","0.35","0.35","0.35","0.35","0.35","0.35"
"48009","Arrankudiaga","0.94","0.94","0.94","0.94","0.94","0.94","0.94","0.81","0.75","0.75","0.75"
"20055","Arrasate/Mondragón","1.61","1.61","1.61","1.12","0.77","0.82","0.74","0.74","0.63","0.63","0.63"
"48914","Arratzu","0.37","0.37","0.37","0.37","0.37","0.37","0.38","0.38","0.38","0.38","0.38"
"01008","Arratzua-Ubarrundia","2.59","2.59","2.59","2.59","1.18","1.18","1.18","1.18","1.12","1.13","1.13"
"48010","Arrieta","0.82","0.59","0.59","0.59","0.59","0.59","0.59","0.59","0.63","0.63","0.63"
"48011","Arrigorriaga","5.65","5.65","5.65","5.72","5.72","5.71","5.78","5.67","5.60","5.60","6.10"
"48023","Artea","0.76","0.76","0.76","0.76","0.76","0.76","0.76","0.76","0.79","0.79","0.79"
"48008","Artzentales","0.85","0.85","0.85","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.37"
"01004","Artziniega","0.41","0.41","0.41","0.41","0.41","0.32","0.32","0.32","0.32","0.32","0.32"
"01009","Asparrena","0.62","0.62","0.62","0.62","0.62","0.62","0.62","0.62","0.60","0.60","0.60"
"20014","Asteasu","0.58","0.58","0.58","0.58","0.58","0.58","0.58","0.58","0.64","0.49","0.49"
"20903","Astigarraga","3.17","3.18","3.16","3.16","3.16","3.18","2.47","2.47","1.67","1.67","1.67"
"20015","Ataun","0.21","0.21","0.21","0.21","0.21","0.21","0.26","0.26","0.26","0.26","0.26"
"48091","Atxondo","0.60","0.60","0.60","0.60","0.60","0.60","0.60","0.60","0.67","0.67","0.67"
"48070","Aulesti","0.65","0.65","0.65","0.36","0.36","0.36","0.36","0.36","0.40","0.40","0.40"
