"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","78.34","73.68","69.74","72.75","78.44","76.25","75.19","81.25","85.16","83.87","82.07","82.76","83.63"
"20001","Abaltzisketa","41.00","50.19","42.64","46.51","57.65","60.00","62.02","68.92","71.94","60.57","56.61","55.74","57.45"
"48002","Abanto y Ciérvana-Abanto Zierbena","44.41","44.30","44.45","45.75","47.99","49.02","50.65","55.24","65.98","63.32","59.81","58.04","55.33"
"20002","Aduna","229.97","217.37","228.81","215.41","231.53","219.05","232.46","226.40","265.57","262.46","243.18","260.47","275.52"
"20016","Aia","32.05","31.80","31.05","33.68","38.63","24.03","25.00","26.75","29.25","30.94","29.44","36.44","36.37"
"20003","Aizarnazabal","68.44","62.96","63.14","65.24","69.66","88.01","94.33","104.11","104.42","104.63","108.89","101.46","104.36"
"48911","Ajangiz","230.95","209.97","207.87","210.21","229.97","212.63","162.08","162.92","18.23","32.11","32.72","26.20","12.12"
"20004","Albiztur","44.19","31.78","45.83","48.09","51.34","58.08","56.92","59.47","63.33","63.57","58.82","55.60","52.94"
"20005","Alegia","24.50","23.01","25.62","25.28","25.57","26.12","24.64","26.08","26.93","23.01","24.08","23.92","23.40"
"01001","Alegría-Dulantzi","31.86","31.36","32.71","32.93","34.51","36.31","38.83","43.83","45.32","42.64","40.12","40.04","37.44"
"20006","Alkiza","15.44","14.34","15.85","14.14","13.84","14.34","13.98","13.89","22.86","22.26","21.51","22.76","21.40"
"48912","Alonsotegi","29.82","31.26","29.32","30.36","30.53","31.12","38.14","41.05","42.74","42.73","42.91","41.40","43.43"
"20906","Altzaga","25.60","22.40","24.39","21.95","22.31","17.07","19.83","16.13","25.41","25.60","22.40","20.77","20.00"
"20007","Altzo","61.08","62.34","62.34","65.92","66.77","61.36","63.70","65.70","69.87","71.80","69.79","82.47","83.15"
"20008","Amezketa","44.54","41.88","40.92","42.17","40.59","37.96","35.98","35.93","38.42","39.21","33.94","33.97","33.18"
"48003","Amorebieta-Etxano","62.13","56.39","62.25","62.47","64.17","63.76","62.20","63.59","55.24","53.10","53.28","50.46","48.01"
"48004","Amoroto","67.06","67.06","66.09","68.05","73.96","71.59","65.71","52.63","42.18","47.25","61.98","63.04","68.81"
"01002","Amurrio","47.08","48.21","47.84","49.38","52.45","53.09","51.68","51.48","52.06","50.08","48.23","47.40","47.27"
"20009","Andoain","38.45","38.04","39.00","38.54","41.23","40.97","41.94","44.00","44.98","44.56","43.41","41.79","40.56"
"20010","Anoeta","47.19","44.57","45.69","47.39","50.34","48.17","49.01","49.74","48.76","48.31","48.91","40.80","37.75"
"20011","Antzuola","48.18","49.09","47.35","46.32","47.68","46.86","46.24","47.42","43.82","41.89","38.57","38.42","38.25"
"48005","Arakaldo","34.45","75.63","92.59","117.00","132.65","140.59","171.11","189.87","191.25","185.54","182.72","194.94","175.90"
"20012","Arama","84.71","89.41","84.88","91.86","100.00","95.68","83.91","86.14","89.87","86.36","88.36","77.14","76.81"
"01003","Aramaio","20.56","22.41","18.76","19.89","19.71","17.51","17.45","17.37","17.04","16.00","16.25","16.16","16.26"
"48006","Arantzazu","23.95","18.77","21.15","18.89","19.14","16.23","16.25","18.15","20.45","20.52","22.26","20.46","21.86"
"48093","Areatza","16.87","15.96","14.86","15.53","19.80","21.80","21.31","21.01","22.65","20.54","21.20","20.16","19.64"
"20013","Aretxabaleta","36.45","36.66","37.11","38.04","39.75","38.59","39.29","43.23","48.59","47.21","41.16","41.49","38.12"
"01006","Armiñón","64.47","62.94","64.04","66.50","70.98","71.94","72.77","82.68","87.86","82.18","89.94","99.35","110.81"
"01037","Arraia-Maeztu","26.35","27.50","25.16","26.44","32.77","33.95","37.64","37.27","40.46","37.27","36.89","37.48","33.82"
"48009","Arrankudiaga","65.59","63.23","62.21","78.35","85.73","81.97","85.23","96.25","102.90","117.21","121.90","119.35","120.58"
"20055","Arrasate/Mondragón","81.96","82.68","84.78","83.26","82.97","81.77","80.90","78.52","63.35","60.69","56.23","55.06","51.77"
"48914","Arratzu","23.28","22.41","23.82","22.39","20.53","32.15","11.50","3.57",NA,NA,"0.00","0.00","0.00"
"01008","Arratzua-Ubarrundia","32.58","33.65","33.53","33.94","33.05","28.16","27.63","28.57","32.38","30.87","29.44","27.90","25.04"
"48010","Arrieta","14.52","14.72","15.88","17.20","17.71","17.54","17.27","14.13","14.35","14.05","17.13","16.30","19.14"
"48011","Arrigorriaga","33.19","32.56","31.94","32.74","36.04","36.78","38.05","39.98","54.35","52.81","50.87","48.84","47.24"
"48023","Artea","73.99","85.67","84.11","92.06","87.75","70.51","51.09","45.60","30.67","26.73","24.32","26.88","25.38"
"48008","Artzentales","15.11","14.49","15.54","12.66","17.37","15.59","13.62","18.41","19.43","18.14","15.55","14.69","15.74"
"01004","Artziniega","27.15","26.21","24.28","25.18","26.32","27.50","27.88","27.90","30.01","32.90","32.56","33.39","33.85"
"01009","Asparrena","62.14","59.75","63.35","62.69","65.24","72.13","68.27","66.24","43.35","44.09","43.36","39.44","36.45"
"20014","Asteasu","93.31","89.88","89.91","89.28","93.16","93.11","96.50","102.46","100.75","79.56","78.25","75.57","73.74"
"20903","Astigarraga","79.66","76.78","77.17","79.01","85.99","97.40","94.23","98.46","97.13","96.28","95.41","103.62","99.80"
"20015","Ataun","30.21","28.57","25.95","26.99","25.62","45.80","47.35","47.79","54.42","52.99","47.81","40.01","35.05"
"48091","Atxondo","66.50","65.16","62.90","64.36","64.96","65.15","66.18","65.40","73.58","74.43","77.23","76.00","76.99"
"48070","Aulesti","13.35","13.35","12.77","13.69","14.81","17.27","13.47","12.44","12.10","11.62","12.73","13.06","11.81"
"01010","Ayala/Aiara","47.22","46.32","58.75","60.25","61.69","59.94","55.69","56.58","56.43","54.14","51.39","51.82","54.75"
"20017","Azkoitia","38.51","37.45","34.28","34.42","35.75","35.48","35.70","41.06","42.43","41.55","37.90","38.17","37.09"
"20018","Azpeitia","47.67","45.58","45.72","49.97","55.25","52.19","53.99","55.80","59.74","58.88","56.43","53.95","53.71"
"01049","Añana","19.18","15.07","16.34","14.69","17.11","14.94","11.32","10.69","19.63","15.38","14.71","16.28","18.13"
"48012","Bakio","23.55","22.52","22.26","21.04","20.87","20.54","20.78","24.35","26.50","24.63","25.39","25.13","24.58"
"20904","Baliarrain","28.57","19.64","26.26","25.49","29.13","33.98","29.70","33.70","44.71","43.59","33.33","33.33","35.87"
"48090","Balmaseda","20.73","21.14","20.44","20.66","21.58","21.70","20.51","20.61","23.27","22.44","22.27","20.96","20.34"
"48013","Barakaldo","32.87","32.13","30.68","30.73","30.82","31.42","31.71","31.22","32.27","31.44","31.28","29.81","28.64"
"48014","Barrika","20.93","20.85","21.93","19.87","20.40","19.43","20.61","20.88","24.92","23.72","25.80","25.60","25.07"
"01013","Barrundia","26.50","26.23","22.75","22.97","25.44","26.60","25.26","26.06","27.53","27.99","26.11","25.48","22.41"
"48015","Basauri","36.41","35.67","36.02","37.64","40.47","40.94","41.73","41.65","43.22","40.17","37.97","36.66","35.45"
"01011","Baños de Ebro/Mañueta","46.69","47.06","41.90","55.91","137.50","125.45","150.88","74.04","61.17","67.65","68.79","49.15","119.58"
"20019","Beasain","69.70","65.16","65.71","64.68","66.04","65.26","65.34","64.70","63.59","62.77","58.95","59.07","56.66"
"48092","Bedia","224.06","213.00","204.63","136.54","147.23","136.53","136.94","156.28","161.31","168.87","160.87","168.63","161.28"
"20020","Beizama","33.82","34.56","31.39","27.14","24.49","21.85","19.08","19.59","28.29","26.75","21.77","21.71","19.86"
"20021","Belauntza","188.37","191.16","186.22","184.21","191.53","188.80","168.00","207.97","193.17","189.34","170.11","160.08","163.91"
"48016","Berango","24.51","23.70","24.38","25.06","23.92","23.52","24.35","25.06","30.73","30.90","31.63","30.09","30.08"
"01014","Berantevilla","293.45","297.98","298.28","290.95","182.04","183.05","179.21","220.41","204.29","209.37","207.65","211.55","188.33"
"20022","Berastegi","31.82","31.48","31.98","32.49","33.02","32.98","32.71","33.37","36.68","36.71","36.21","35.63","35.14"
"20074","Bergara","37.57","38.53","38.25","38.77","40.52","40.57","41.34","44.03","47.38","46.81","45.29","45.29","45.65"
"48017","Bermeo","26.22","25.82","25.79","26.13","27.19","29.56","31.42","28.05","34.49","34.16","33.01","31.50","31.53"
"01016","Bernedo","61.62","61.41","60.33","56.85","58.23","65.19","68.24","64.94","58.06","48.21","42.80","42.86","40.67"
"48018","Berriatua","106.89","96.22","95.97","95.55","99.34","94.80","91.43","90.73","74.25","71.06","73.66","65.54","76.66"
"48019","Berriz","48.31","47.01","51.63","52.63","53.43","53.85","53.50","59.19","58.99","60.68","61.31","62.96","57.09"
"20023","Berrobi","16.77","16.35","15.89","16.07","16.74","16.16","17.49","15.64","19.15","18.15","16.36","17.99","15.16"
"20024","Bidania-Goiatz","24.64","25.36","28.77","28.24","28.67","31.63","27.42","31.35","35.82","34.33","33.07","32.90","33.33"
