"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"48001","Abadiño","3.69","3.07","3.33","3.32","3.84","3.95","3.86","4.05","3.32","2.90","2.79"
"20001","Abaltzisketa","4.04","2.89","2.47","1.68","2.43","2.70","1.93","1.15","1.69","1.49","1.67"
"48002","Abanto y Ciérvana-Abanto Zierbena","4.38","3.66","3.66","3.58","3.56","3.77","3.98","3.67","3.22","3.02","3.40"
"20002","Aduna","1.97","2.50","1.53","2.65","1.73","1.76","1.50","1.60","1.78","1.54","1.53"
"20016","Aia","3.30","1.93","2.21","2.06","2.19","3.05","2.48","2.00","2.03","1.62","1.71"
"20003","Aizarnazabal","1.40","3.57","2.38","1.84","2.70","2.29","2.66","2.33","1.68","2.78","2.18"
"48911","Ajangiz","1.49","1.42","1.37","1.63","1.56","1.88","1.76","1.55","1.64","1.67","1.47"
"20004","Albiztur","2.50","2.86","2.50","2.50","1.91","7.62","4.00","2.90","2.07","2.21","1.64"
"20005","Alegia","2.94","2.35","1.86","2.83","3.95","1.91","1.98","2.95","2.51","2.37","2.71"
"01001","Alegría-Dulantzi","2.44","2.31","2.11","2.63","2.31","2.34","1.90","1.87","1.90","2.14","1.89"
"20006","Alkiza","3.20","2.43","2.00","2.09","1.33","4.67","2.57","2.62","2.00","1.59","1.43"
"48912","Alonsotegi","3.43","5.23","3.67","3.86","4.35","4.03","3.02","2.69","2.80","2.58","2.65"
"20906","Altzaga","1.00","7.00","2.14","2.50","3.50","0.00","2.00","2.00","5.00","2.25","1.50"
"20007","Altzo","2.35","2.11","1.75","1.88","2.24","2.07","1.93","1.96","1.77","1.88","2.40"
"20008","Amezketa","1.72","2.25","1.64","1.80","1.61","2.24","1.52","1.71","1.45","1.81","2.09"
"48003","Amorebieta-Etxano","4.08","3.69","3.70","3.54","3.49","4.12","3.43","3.18","3.05","3.11","3.18"
"48004","Amoroto","2.14","1.57","2.57","1.94","1.50","2.17","3.00","2.39","6.09","1.98","1.87"
