"Udalerri kodea","Udalerria","2006"
"01039","Moreda de Álava / Moreda Araba","27.98"
"48066","Morga","41.42"
"48068","Mundaka","33.25"
"48069","Mungia","28.98"
"48007","Munitibar-Arbatzegi Gerrikaitz-","29.31"
"48908","Murueta","41.91"
"48071","Muskiz","22.65"
"20057","Mutiloa","20.01"
"20056","Mutriku","26.67"
"48067","Muxika","41.96"
"48909","Nabarniz","33.33"
"01041","Navaridas","22.25"
"20063","Oiartzun","24.94"
"01042","Okondo","19.19"
"20058","Olaberria","19.77"
"48073","Ondarroa","31.24"
"20076","Ordizia","16.61"
"20905","Orendain","22.39"
"20060","Orexa","35.80"
"20061","Orio","34.95"
"20062","Ormaiztegi","21.88"
"48075","Orozko","23.29"
"48083","Ortuella","19.34"
"48072","Otxandio","20.69"
"01043","Oyón-Oion","29.55"
"20059","Oñati","35.76"
"20064","Pasaia","49.65"
"01044","Peñacerrada-Urizaharra","11.57"
"48077","Plentzia","38.54"
"48078","Portugalete","30.78"
"01047","Ribera Baja/Erribera Beitia","17.23"
"01051","Salvatierra/Agurain","11.81"
"01052","Samaniego","27.21"
"01053","San Millán/Donemiliaga","22.03"
"48082","Santurtzi","28.28"
"20070","Segura","16.80"
"48084","Sestao","41.76"
"48904","Sondika","63.78"
"48085","Sopela","20.33"
"48086","Sopuerta","38.81"
"20065","Soraluze-Placencia de las Armas","31.09"
"48076","Sukarrieta","38.08"
"20071","Tolosa","17.81"
"48087","Trucios-Turtzioz","40.16"
"48088","Ubide","25.04"
"48065","Ugao-Miraballes","26.40"
"48089","Urduliz","35.78"
"48074","Urduña/Orduña","20.88"
"01054","Urkabustaiz","18.49"
"20072","Urnieta","40.20"
"20077","Urretxu","34.39"
"20073","Usurbil","29.38"
"01055","Valdegovía/Gaubea","17.52"
"48080","Valle de Trápaga-Trapagaran","19.25"
"20075","Villabona","20.87"
"01057","Villabuena de Álava/Eskuernaga","26.79"
"01059","Vitoria-Gasteiz","0.00"
"01060","Yécora/Iekora","31.05"
"48095","Zaldibar","14.93"
"20078","Zaldibia","20.75"
"01061","Zalduondo","21.51"
"48096","Zalla","33.12"
"01062","Zambrana","15.07"
"48905","Zamudio","37.50"
"48097","Zaratamo","36.14"
"20079","Zarautz","18.14"
"48024","Zeanuri","26.17"
"48025","Zeberio","27.62"
"20025","Zegama","16.07"
"20026","Zerain","19.98"
"20027","Zestoa","28.55"
"48913","Zierbena","17.91"
"01018","Zigoitia","13.34"
"48915","Ziortza-Bolibar","36.47"
"20028","Zizurkil","27.92"
"01063","Zuia","13.03"
"20081","Zumaia","23.36"
"20080","Zumarraga","32.81"
