"Udalerri kodea","Udalerria","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","0.51","0.51","0.52","0.52","0.52","0.51","0.51","0.51","0.49","0.49","0.48","0.47"
"20001","Abaltzisketa","0.47","0.46","0.46","0.47","0.46","0.45","0.45","0.47","0.46","0.44","0.44","0.45"
"48002","Abanto y Ciérvana-Abanto Zierbena","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.50","0.48","0.47","0.47","0.46"
"20002","Aduna","0.77","0.83","0.80","0.71","0.72","0.76","0.86","0.73","0.70","0.68","0.69","0.66"
"20016","Aia","0.41","0.40","0.41","0.41","0.39","0.40","0.42","0.42","0.42","0.42","0.42","0.42"
"20003","Aizarnazabal","0.49","0.48","0.48","0.50","0.52","0.55","0.54","0.55","0.53","0.50","0.53","0.53"
"48911","Ajangiz","0.44","0.44","0.40","0.38","0.39","0.38","0.34","0.33","0.30","0.29","0.29","0.28"
"20004","Albiztur","0.54","0.56","0.55","0.53","0.50","0.50","0.48","0.49","0.48","0.47","0.49","0.50"
"20005","Alegia","0.42","0.40","0.41","0.41","0.41","0.41","0.42","0.41","0.40","0.41","0.41","0.41"
"01001","Alegría-Dulantzi","0.49","0.50","0.50","0.50","0.49","0.48","0.49","0.50","0.49","0.48","0.49","0.49"
"20006","Alkiza","0.48","0.46","0.46","0.48","0.49","0.49","0.49","0.50","0.47","0.51","0.52","0.53"
"48912","Alonsotegi","0.40","0.40","0.40","0.40","0.40","0.39","0.38","0.38","0.38","0.38","0.38","0.35"
"20906","Altzaga","0.36","0.37","0.38","0.37","0.38","0.34","0.29","0.28","0.22","0.21","0.17","0.20"
"20007","Altzo","0.55","0.52","0.51","0.52","0.52","0.53","0.53","0.52","0.54","0.53","0.54","0.57"
"20008","Amezketa","0.53","0.53","0.53","0.55","0.53","0.52","0.52","0.54","0.51","0.52","0.52","0.51"
"48003","Amorebieta-Etxano","0.46","0.46","0.46","0.46","0.46","0.45","0.45","0.44","0.43","0.43","0.43","0.42"
"48004","Amoroto","0.52","0.57","0.55","0.54","0.53","0.52","0.52","0.51","0.52","0.52","0.55","0.54"
"01002","Amurrio","0.47","0.47","0.48","0.48","0.47","0.46","0.46","0.45","0.44","0.43","0.43","0.41"
"20009","Andoain","0.43","0.43","0.43","0.43","0.43","0.42","0.43","0.42","0.42","0.41","0.41","0.40"
"20010","Anoeta","0.50","0.46","0.47","0.47","0.45","0.43","0.45","0.45","0.45","0.45","0.45","0.44"
"20011","Antzuola","0.48","0.48","0.48","0.47","0.47","0.45","0.45","0.44","0.44","0.45","0.47","0.46"
"48005","Arakaldo","0.54","0.54","0.55","0.48","0.56","0.59","0.56","0.54","0.59","0.59","0.53","0.50"
"20012","Arama","0.41","0.40","0.43","0.41","0.38","0.43","0.47","0.47","0.50","0.51","0.54","0.49"
"01003","Aramaio","0.59","0.60","0.57","0.57","0.56","0.56","0.56","0.56","0.55","0.54","0.53","0.53"
"48006","Arantzazu","0.48","0.50","0.49","0.49","0.51","0.53","0.48","0.48","0.46","0.47","0.47","0.46"
"48093","Areatza","0.44","0.44","0.45","0.45","0.45","0.45","0.44","0.44","0.42","0.42","0.42","0.42"
"20013","Aretxabaleta","0.45","0.45","0.46","0.47","0.47","0.46","0.47","0.47","0.46","0.47","0.46","0.46"
"01006","Armiñón","0.61","0.68","0.63","0.60","0.56","0.58","0.58","0.55","0.56","0.49","0.47","0.38"
"01037","Arraia-Maeztu","0.59","0.57","0.57","0.55","0.55","0.54","0.52","0.50","0.46","0.47","0.45","0.42"
"48009","Arrankudiaga","0.54","0.55","0.54","0.55","0.55","0.56","0.57","0.58","0.54","0.54","0.53","0.50"
"20055","Arrasate/Mondragón","0.46","0.46","0.47","0.47","0.47","0.47","0.47","0.47","0.46","0.45","0.45","0.44"
"48914","Arratzu","0.48","0.46","0.46","0.45","0.46","0.44","0.42","0.41","0.36","0.36","0.32","0.29"
"01008","Arratzua-Ubarrundia","0.67","0.66","0.64","0.65","0.65","0.62","0.61","0.58","0.59","0.59","0.59","0.64"
"48010","Arrieta","0.59","0.58","0.58","0.58","0.55","0.54","0.53","0.52","0.53","0.54","0.53","0.53"
"48011","Arrigorriaga","0.42","0.43","0.43","0.43","0.43","0.42","0.42","0.41","0.40","0.39","0.38","0.37"
"48023","Artea","0.47","0.48","0.48","0.47","0.47","0.47","0.44","0.47","0.44","0.43","0.43","0.43"
"48008","Artzentales","0.61","0.58","0.56","0.59","0.58","0.57","0.59","0.59","0.56","0.53","0.52","0.50"
"01004","Artziniega","0.51","0.49","0.47","0.48","0.46","0.45","0.46","0.46","0.45","0.45","0.44","0.45"
"01009","Asparrena","0.48","0.48","0.47","0.48","0.47","0.48","0.48","0.46","0.45","0.43","0.41","0.42"
"20014","Asteasu","0.50","0.50","0.50","0.50","0.50","0.49","0.49","0.49","0.49","0.49","0.51","0.49"
"20903","Astigarraga","0.46","0.46","0.50","0.50","0.50","0.49","0.51","0.52","0.52","0.50","0.48","0.47"
"20015","Ataun","0.45","0.45","0.46","0.47","0.45","0.45","0.45","0.46","0.45","0.46","0.46","0.45"
"48091","Atxondo","0.54","0.55","0.54","0.52","0.52","0.51","0.51","0.50","0.49","0.48","0.47","0.45"
"48070","Aulesti","0.56","0.58","0.58","0.56","0.56","0.55","0.54","0.53","0.53","0.51","0.52","0.51"
"01010","Ayala/Aiara","0.56","0.56","0.56","0.55","0.55","0.55","0.55","0.54","0.52","0.53","0.54","0.55"
"20017","Azkoitia","0.43","0.42","0.43","0.43","0.43","0.43","0.43","0.44","0.42","0.42","0.42","0.40"
"20018","Azpeitia","0.45","0.46","0.46","0.46","0.46","0.45","0.46","0.45","0.44","0.44","0.43","0.42"
"01049","Añana","0.47","0.50","0.50","0.49","0.50","0.52","0.50","0.48","0.45","0.43","0.42","0.42"
"48012","Bakio","0.52","0.51","0.51","0.50","0.50","0.51","0.50","0.50","0.50","0.49","0.48","0.47"
"20904","Baliarrain","0.51","0.46","0.47","0.46","0.45","0.48","0.43","0.41","0.34","0.36","0.27","0.26"
"48090","Balmaseda","0.41","0.41","0.42","0.43","0.43","0.43","0.43","0.43","0.42","0.41","0.39","0.39"
"48013","Barakaldo","0.39","0.38","0.39","0.39","0.39","0.39","0.39","0.39","0.38","0.37","0.37","0.36"
"48014","Barrika","0.52","0.51","0.51","0.50","0.51","0.51","0.51","0.51","0.50","0.49","0.50","0.50"
"01013","Barrundia","0.56","0.53","0.52","0.52","0.51","0.51","0.50","0.48","0.48","0.49","0.49","0.49"
"48015","Basauri","0.40","0.41","0.41","0.41","0.41","0.41","0.42","0.41","0.40","0.39","0.38","0.37"
"01011","Baños de Ebro/Mañueta","0.49","0.48","0.48","0.47","0.46","0.46","0.44","0.43","0.38","0.40","0.43","0.40"
"20019","Beasain","0.45","0.45","0.45","0.44","0.44","0.44","0.43","0.44","0.44","0.43","0.43","0.42"
"48092","Bedia","0.80","0.84","0.90","0.97","0.95","0.95","0.83","0.77","0.64","0.65","0.64","0.61"
"20020","Beizama","0.58","0.64","0.63","0.59","0.62","0.63","0.60","0.65","0.72","0.71","0.70","0.67"
"20021","Belauntza","0.71","0.70","0.66","0.68","0.65","0.66","0.62","0.64","0.64","0.67","0.67","0.70"
"48016","Berango","0.49","0.49","0.49","0.49","0.49","0.50","0.49","0.49","0.49","0.48","0.46","0.46"
"01014","Berantevilla","0.79","0.78","0.79","0.74","0.72","0.80","0.78","0.79","0.81","0.78","0.80","0.76"
"20022","Berastegi","0.48","0.46","0.46","0.46","0.45","0.46","0.47","0.46","0.45","0.45","0.45","0.46"
"20074","Bergara","0.47","0.47","0.48","0.48","0.48","0.47","0.48","0.47","0.46","0.46","0.45","0.44"
"48017","Bermeo","0.39","0.38","0.39","0.39","0.39","0.39","0.39","0.39","0.38","0.37","0.36","0.35"
"01016","Bernedo","0.60","0.57","0.57","0.58","0.57","0.55","0.54","0.53","0.53","0.48","0.49","0.47"
"48018","Berriatua","0.55","0.54","0.54","0.54","0.52","0.51","0.52","0.52","0.54","0.53","0.53","0.53"
"48019","Berriz","0.48","0.47","0.47","0.47","0.47","0.46","0.46","0.46","0.45","0.45","0.45","0.43"
"20023","Berrobi","0.45","0.45","0.45","0.45","0.44","0.40","0.41","0.41","0.39","0.41","0.40","0.41"
"20024","Bidania-Goiatz","0.50","0.47","0.46","0.45","0.46","0.45","0.45","0.46","0.48","0.48","0.48","0.48"
"48020","Bilbao","0.39","0.39","0.39","0.39","0.39","0.39","0.39","0.40","0.39","0.39","0.39","0.38"
"48021","Busturia","0.49","0.50","0.50","0.50","0.49","0.49","0.49","0.49","0.47","0.46","0.46","0.45"
"01017","Campezo/Kanpezu","0.50","0.49","0.50","0.50","0.50","0.49","0.49","0.48","0.49","0.46","0.45","0.44"
"20029","Deba","0.47","0.47","0.47","0.48","0.48","0.47","0.47","0.47","0.45","0.45","0.45","0.43"
"48901","Derio","0.50","0.50","0.52","0.53","0.53","0.52","0.52","0.51","0.50","0.49","0.49","0.47"
"48026","Dima","0.50","0.50","0.52","0.50","0.50","0.49","0.49","0.47","0.49","0.48","0.47","0.47"
"20069","Donostia / San Sebastián","0.40","0.40","0.41","0.41","0.41","0.41","0.41","0.41","0.41","0.40","0.40","0.39"
"48027","Durango","0.41","0.41","0.41","0.41","0.41","0.40","0.41","0.41","0.40","0.40","0.39","0.39"
"48028","Ea","0.54","0.54","0.52","0.49","0.50","0.46","0.46","0.45","0.46","0.48","0.46","0.45"
"20030","Eibar","0.41","0.41","0.41","0.42","0.42","0.41","0.42","0.42","0.41","0.41","0.41","0.40"
"48031","Elantxobe","0.42","0.41","0.41","0.39","0.38","0.38","0.39","0.40","0.40","0.39","0.38","0.36"
"01021","Elburgo/Burgelu","0.68","0.66","0.62","0.62","0.63","0.66","0.66","0.62","0.64","0.59","0.57","0.55"
"01022","Elciego","0.48","0.47","0.46","0.43","0.42","0.42","0.43","0.44","0.44","0.43","0.43","0.40"
"20031","Elduain","0.61","0.56","0.60","0.60","0.59","0.59","0.58","0.61","0.63","0.62","0.58","0.62"
