"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"48001","Abadiño","5.17","5.43","6.73","6.60","6.20","6.88","6.70","5.86","5.53","4.69","3.86"
"20001","Abaltzisketa","9.83","15.85","17.50","17.44","14.49","22.52","26.36","20.61","19.62","14.72","13.90"
"48002","Abanto y Ciérvana-Abanto Zierbena","-0.32","1.39","4.00","6.18","6.55","7.53","8.18","8.15","9.03","9.04","14.15"
"20002","Aduna","27.72","33.52","37.72","34.02","36.14","38.23","36.19","29.35","22.08","20.13","18.33"
"20016","Aia","15.40","17.20","19.45","23.37","23.31","21.33","21.64","17.74","12.30","10.78","7.72"
"20003","Aizarnazabal","26.22","23.21","33.85","39.49","44.26","37.52","32.58","22.53","20.26","17.50","11.43"
"48911","Ajangiz","6.35","4.79","8.18","4.65","7.53","10.63","7.66","6.97","10.97","10.22","13.66"
"20004","Albiztur","12.63","7.38","10.47","9.90","9.72","13.45","8.25","7.96","9.03","4.86","-1.01"
"20005","Alegia","3.53","5.77","5.12","8.93","10.00","10.71","9.72","7.37","4.33","2.93","0.54"
"01001","Alegría-Dulantzi","30.47","40.72","52.42","68.13","79.54","88.63","93.72","97.14","95.95","83.08","77.39"
"20006","Alkiza","11.87","20.27","28.62","39.19","39.47","39.45","38.98","36.78","36.08","26.27","23.08"
"48912","Alonsotegi","2.59","4.04","8.26","6.36","6.95","4.33","2.46","2.16","0.07","-0.88","-3.77"
"20906","Altzaga","11.76","14.29","11.49","23.31","39.66","46.79","62.24","65.98","61.86","60.82","61.05"
"20007","Altzo","15.04","12.81","14.61","27.81","30.06","20.18","20.24","18.93","21.21","14.85","11.84"
"20008","Amezketa","-3.70","-2.79","-1.22","-1.12","-1.21","-2.41","0.51","-0.50","-2.29","-5.17","-3.08"
"48003","Amorebieta-Etxano","10.21","11.52","11.86","13.73","13.11","11.27","10.81","9.84","8.76","7.37","6.55"
"48004","Amoroto","7.32","5.94","12.70","6.35","8.00","12.53","13.42","12.09","9.19","10.54","5.88"
