"Udalerri kodea","Udalerria","2010","2005"
"01028","Labastida/Bastida","25.73","25.99"
"01030","Lagrán","70.11","70.22"
"01031","Laguardia","14.20","13.86"
"01032","Lanciego/Lantziego","6.03","4.34"
"48051","Lanestosa","36.67","35.83"
"01902","Lantarón","30.34","30.73"
"01033","Lapuebla de Labarca","5.67","4.00"
"48052","Larrabetzu","62.00","64.05"
"20048","Larraul","55.42","55.42"
"20902","Lasarte-Oria","26.10","25.08"
"01036","Laudio/Llodio","70.13","69.79"
"48053","Laukiz","38.64","37.41"
"20049","Lazkao","65.26","65.09"
"20050","Leaburu","56.18","56.18"
"20051","Legazpi","80.24","81.08"
"20052","Legorreta","73.26","72.91"
"01058","Legutio","46.64","46.75"
"20068","Leintz-Gatzaga","82.72","83.47"
"48054","Leioa","6.24","5.76"
"48057","Lekeitio","10.53","9.47"
"48055","Lemoa","63.10","64.11"
"48056","Lemoiz","79.64","77.61"
"01034","Leza","18.89","18.28"
"48081","Lezama","56.61","57.82"
"20053","Lezo","40.24","39.65"
"20054","Lizartza","72.56","71.92"
"48903","Loiu","31.31","30.59"
"48058","Mallabia","66.37","66.54"
"48060","Markina-Xemein","82.96","76.73"
"48061","Maruri-Jatabe","71.39","70.63"
"48059","Mañaria","68.64","70.34"
"20901","Mendaro","84.47","83.69"
"48062","Mendata","87.54","87.32"
"48063","Mendexa","60.56","60.69"
"48064","Meñaka","68.28","67.87"
"01039","Moreda de Álava / Moreda Araba","5.86","5.86"
"48066","Morga","65.33","62.89"
"48068","Mundaka","48.81","43.10"
"48069","Mungia","44.76","45.73"
"48007","Munitibar-Arbatzegi Gerrikaitz-","80.58","80.66"
"48908","Murueta","38.85","37.21"
"48071","Muskiz","39.32","38.05"
"20057","Mutiloa","69.32","69.89"
"20056","Mutriku","67.55","68.05"
"48067","Muxika","75.60","75.22"
"48909","Nabarniz","70.66","68.69"
"01041","Navaridas","4.38","4.49"
"20063","Oiartzun","55.83","55.45"
"01042","Okondo","76.02","77.32"
"20058","Olaberria","51.01","52.61"
"48073","Ondarroa","53.58","54.27"
"20076","Ordizia","53.86","55.61"
"20905","Orendain","62.06","67.78"
"20060","Orexa","78.79","78.28"
"20061","Orio","31.12","27.96"
"20062","Ormaiztegi","70.29","72.75"
"48075","Orozko","71.24","71.24"
"48083","Ortuella","11.82","11.95"
"48072","Otxandio","33.95","34.27"
"01043","Oyón-Oion","7.57","8.58"
"20059","Oñati","74.07","74.42"
"20064","Pasaia","20.91","15.45"
"01044","Peñacerrada-Urizaharra","58.86","59.51"
"48077","Plentzia","41.43","38.73"
"48078","Portugalete","5.00","0.00"
"01047","Ribera Baja/Erribera Beitia","13.14","13.39"
"01051","Salvatierra/Agurain","19.76","19.50"
"01052","Samaniego","16.98","15.85"
"01053","San Millán/Donemiliaga","40.12","40.43"
"48082","Santurtzi","9.71","7.65"
"20070","Segura","66.30","66.41"
"48084","Sestao","0.00","0.00"
"48904","Sondika","25.65","25.65"
"48085","Sopela","20.00","19.64"
"48086","Sopuerta","67.17","65.65"
