"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009"
"48001","Abadiño","41.17","39.41","37.38","38.68","39.83","38.04","38.02"
"20001","Abaltzisketa","69.75","84.87","65.04","70.83","79.66","75.86","68.33"
"48002","Abanto y Ciérvana-Abanto Zierbena","21.97","21.32","21.75","21.78","22.89","23.21","22.46"
"20002","Aduna","134.78","132.30","147.83","130.25","135.22","125.30","130.38"
"20016","Aia","20.73","20.85","20.34","21.24","24.31","14.78","15.73"
"20003","Aizarnazabal","42.41","34.48","34.13","33.68","39.18","46.76","48.18"
"48911","Ajangiz","146.81","126.60","138.83","123.28","131.22","120.53","94.30"
"20004","Albiztur","38.52","27.87","44.00","45.08","47.97","52.80","50.81"
"20005","Alegia","19.22","18.93","18.05","17.39","16.41","17.01","16.88"
"01001","Alegría-Dulantzi","20.39","19.27","19.14","19.30","19.34","18.44","20.57"
"20006","Alkiza","16.67","14.29","15.79","15.04","15.38","16.00","15.32"
"48912","Alonsotegi","16.45","16.53","16.79","17.17","15.81","15.12","16.33"
"20906","Altzaga","26.23","24.59","29.31","26.32","23.21","14.29","22.22"
"20007","Altzo","31.79","33.11","34.01","34.69","37.76","32.86","35.77"
"20008","Amezketa","25.35","22.56","23.61","24.80","22.72","17.85","17.85"
"48003","Amorebieta-Etxano","53.60","49.38","58.48","58.16","59.53","58.27","56.39"
"48004","Amoroto","43.37","45.18","44.24","46.91","50.31","50.00","46.67"
"01002","Amurrio","29.21","28.94","29.38","30.38","31.83","29.87","29.27"
"20009","Andoain","27.17","26.60","26.76","26.63","28.93","28.08","28.89"
"20010","Anoeta","26.11","25.61","25.55","26.60","27.76","28.47","26.69"
"20011","Antzuola","27.13","26.79","26.73","25.14","24.49","22.10","21.11"
"48005","Arakaldo","30.91","43.64","53.06","69.05","87.80","90.91","104.88"
"20012","Arama","34.57","37.04","40.24","34.12","35.53","32.50","32.10"
"01003","Aramaio","16.61","22.95","14.71","14.09","13.56","11.38","11.00"
"48006","Arantzazu","9.43","9.43","12.03","8.33","8.92","5.70","6.25"
"48093","Areatza","15.15","14.56","12.71","12.22","12.87","15.00","14.71"
"20013","Aretxabaleta","33.66","34.28","34.58","35.93","38.04","37.46","37.85"
"01006","Armiñón","43.88","42.86","43.43","42.71","40.00","42.27","40.00"
"01037","Arraia-Maeztu","21.85","23.70","23.36","24.13","32.30","30.45","33.33"
"48009","Arrankudiaga","36.65","36.41","33.74","39.56","43.45","37.47","39.90"
"20055","Arrasate/Mondragón","89.96","91.56","92.45","90.81","90.10","88.03","85.99"
"48914","Arratzu","23.70","23.12","24.54","23.90","17.68","28.92","5.56"
"01008","Arratzua-Ubarrundia","30.83","33.16","31.88","31.51","29.08","19.79","20.60"
"48010","Arrieta","12.55","10.82","12.39","14.73","15.00","12.67","10.82"
"48011","Arrigorriaga","21.56","21.43","21.21","21.74","22.29","22.63","22.55"
"48023","Artea","51.39","59.75","55.59","60.38","52.12","45.81","50.45"
"48008","Artzentales","14.00","11.67","14.33","10.00","16.39","12.94","12.10"
"01004","Artziniega","20.03","18.86","18.05","17.98","20.57","19.82","18.83"
"01009","Asparrena","44.30","43.41","45.12","46.01","44.73","55.95","52.50"
"20014","Asteasu","44.40","44.94","45.39","43.07","43.01","39.56","40.69"
"20903","Astigarraga","65.51","61.47","61.62","58.40","58.97","64.92","53.39"
"20015","Ataun","28.62","26.77","23.79","25.19","21.08","34.55","32.98"
"48091","Atxondo","32.77","29.88","28.55","29.23","28.43","27.48","26.35"
"48070","Aulesti","7.17","8.24","8.60","8.30","7.86","8.13","6.97"
"01010","Ayala/Aiara","42.56","42.48","44.35","46.77","48.78","44.46","39.43"
"20017","Azkoitia","23.93","23.23","22.13","21.71","21.96","20.08","19.94"
"20018","Azpeitia","38.65","36.81","35.84","37.72","40.04","34.64","35.96"
"01049","Añana","17.19","15.62","14.93","14.06","13.04","10.81","6.58"
"48012","Bakio","21.02","20.45","19.72","17.34","16.14","15.99","16.28"
"20904","Baliarrain","20.00","12.73","20.41","22.92","28.00","25.49","26.53"
"48090","Balmaseda","17.79","17.67","17.21","17.60","17.56","16.44","15.59"
"48013","Barakaldo","35.37","34.46","32.93","32.88","32.30","32.49","31.78"
"48014","Barrika","25.99","25.23","25.76","23.46","22.64","20.68","22.47"
"01013","Barrundia","21.45","21.45","22.05","20.42","23.85","26.99","25.77"
"48015","Basauri","25.16","25.01","24.99","25.44","27.43","26.91","26.70"
"01011","Baños de Ebro/Mañueta","26.61","23.39","21.26","26.40","60.00","52.80","55.38"
"20019","Beasain","43.38","36.66","35.93","34.93","35.08","33.61","33.14"
