"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005"
"48001","Abadiño","10.40","10.47","10.56","10.64","10.61"
"20001","Abaltzisketa","92.02","94.94","47.32","3.29","3.39"
"48002","Abanto y Ciérvana-Abanto Zierbena","14.60","14.72","14.78","14.78","13.63"
"20002","Aduna","37.30","37.41","39.89","29.73","29.89"
"20016","Aia","9.97","5.11","9.17","9.29","9.59"
"20003","Aizarnazabal","16.95","17.94","18.38","9.40","9.77"
"48911","Ajangiz","33.33","4.49","4.49","2.26","2.27"
"20004","Albiztur","3.17","3.21","3.18","3.31","3.41"
"20005","Alegia",NA,NA,NA,"11.86","11.97"
"01001","Alegría-Dulantzi","47.90","49.62","52.70","56.40","59.39"
"20006","Alkiza","14.16","14.01","14.41","15.53","15.62"
"48912","Alonsotegi","10.96","10.93","10.60","14.62","14.72"
"20906","Altzaga","389.94","385.09","394.90","397.44","39.22"
"20007","Altzo","10.05","9.95","10.00","10.55","11.14"
"20008","Amezketa","67.40","67.68","68.16","70.23","6.16"
"48003","Amorebieta-Etxano","6.90","6.95","6.13","8.05","17.36"
"48004","Amoroto","55.56","56.37","56.93","56.23","58.08"
"01002","Amurrio","29.85","29.74","29.92",NA,NA
"20009","Andoain","19.64","19.62","19.96","10.55","10.65"
"20010","Anoeta","5.41","21.61","22.09","19.59","19.70"
"20011","Antzuola","13.88","13.84","13.99","14.62","14.47"
"48005","Arakaldo","35.71","10.53","10.75","10.31","10.64"
"20012","Arama","64.22","70.35","74.47","76.09","80.92"
"01003","Aramaio","3.34","3.34","60.44","60.28","60.40"
"48006","Arantzazu","3.08","9.84","9.77","9.84","0.00"
"48093","Areatza","18.39","9.73","9.91","10.19","10.26"
"20013","Aretxabaleta","18.36","9.27","9.33","9.45","9.58"
"01006","Armiñón","177.78","4.83","5.05","5.03","5.59"
"01037","Arraia-Maeztu","42.37","42.25","42.43","41.78","4.12"
"48009","Arrankudiaga","46.74",NA,NA,"50.71","48.54"
"20055","Arrasate/Mondragón","15.95","16.23","16.29","16.14","16.00"
"48914","Arratzu","13.19","13.33","5.59","11.33","11.40"
"01008","Arratzua-Ubarrundia","65.72","65.15","66.52","68.18","69.61"
"48010","Arrieta","17.92","18.15","18.15","47.10","48.06"
"48011","Arrigorriaga","15.13","12.22","12.26","11.34","11.43"
"48023","Artea","30.26","30.63","31.64","30.84","31.11"
"48008","Artzentales","21.95","22.47","22.54","23.32","23.26"
"01004","Artziniega","34.10","34.10","39.12","40.54","42.31"
"01009","Asparrena","29.76","54.74","21.94","7.60","7.58"
"20014","Asteasu","81.47","81.19","5.38","5.49","5.62"
"20903","Astigarraga","32.70","32.92","44.23","18.47","18.39"
"20015","Ataun","25.15","15.56","15.72","16.26","16.52"
"48091","Atxondo","2.79","2.75","2.75","2.76","2.78"
"48070","Aulesti","72.06","71.74","72.06","8.90","8.90"
"01010","Ayala/Aiara","15.21","15.56","15.87","1.14","1.14"
"20018","Azpeitia","15.73","15.65","15.89","16.01","16.15"
"01049","Añana","45.71","45.45","39.77","5.52","5.49"
"48012","Bakio","28.34","24.64","25.24","26.04","26.96"
"20904","Baliarrain","41.67","90.91","100.00","10.99","10.53"
"48090","Balmaseda","1.90","1.38","1.39","0.14","0.14"
"48013","Barakaldo","7.35","7.41","7.50","6.22","6.27"
"48014","Barrika","26.90","27.61","23.99","12.81","4.36"
"01013","Barrundia","25.27","26.29","27.35","61.12","62.89"
"48015","Basauri","10.25","10.20","10.26","10.17","9.95"
"01011","Baños de Ebro/Mañueta","12.16","12.01","11.20","11.20","10.90"
"20019","Beasain","5.63","5.68",NA,NA,NA
"48092","Bedia","17.60","17.67","17.31","10.18","10.16"
"20020","Beizama","10.93","11.11","11.11","98.90","105.88"
"20021","Belauntza","33.78","10.27","9.40","9.80","9.77"
"48016","Berango","6.22","6.38","6.52","10.99","11.48"
"01014","Berantevilla","114.23","130.14","127.52","127.80","128.96"
"20022","Berastegi","4.76","4.84","4.85","2.99","2.99"
"20074","Bergara","7.04","7.00","7.05","7.76","7.74"
"48017","Bermeo","9.63","10.33","9.68","9.75","9.64"
"01016","Bernedo","34.78","34.78","34.01","12.05","12.30"
"48018","Berriatua","10.90","10.70","10.92","11.36","11.89"
"48019","Berriz","32.16","35.39","35.83","33.41","31.44"
"20023","Berrobi","38.19","35.00","6.79","6.81","51.02"
"20024","Bidania-Goiatz","37.66","62.75","65.04","66.25","68.97"
"48020","Bilbao","4.95","5.65","4.12","3.93","3.39"
"48021","Busturia","150.40","150.06","152.68","151.36","152.77"
"01017","Campezo/Kanpezu","15.10","15.21","15.34","15.37","15.81"
"20029","Deba","8.36","9.43","9.44","9.50","18.82"
"48901","Derio","33.51","33.92","34.27","19.65","18.80"
"48026","Dima","7.62","7.66","7.90","8.88","6.06"
"20069","Donostia / San Sebastián","34.93","21.67","21.80","13.38","13.37"
"48027","Durango","8.67","8.54","50.32","51.03","51.85"
"48028","Ea","277.59","9.94","8.97","9.20","9.48"
"20030","Eibar","2.08","2.08","4.36","4.38","4.18"
"48031","Elantxobe","22.78","22.68","45.66","33.56","33.78"
"01021","Elburgo/Burgelu","49.24","57.30","55.13","26.72","29.17"
"01022","Elciego","14.27","14.34","14.63","7.99","8.58"
"20031","Elduain","42.55","42.02","42.37","22.03","18.60"
"20033","Elgeta","21.32","21.52","21.90","12.37","12.73"
"20032","Elgoibar","14.22","13.55","13.75","10.83","11.04"
"48032","Elorrio","2.62","2.63","2.65","2.54","2.53"
"01023","Elvillar/Bilar","40.87","40.65","42.02","19.66","20.00"
"48902","Erandio","4.32","4.33","4.38","3.92","3.97"
"48033","Ereño","7.75","7.75","35.57",NA,NA
"48034","Ermua","5.31","5.29","5.22","4.55","4.47"
"20067","Errenteria","13.89","10.60","10.67","12.36","12.52"
"20066","Errezil","3.25","1.59","1.60","1.58","1.64"
"01046","Erriberagoitia/Ribera Alta","13.33","15.11","14.18","11.71","13.29"
"48079","Errigoiti","151.23","155.95","154.44","97.85","59.88"
"20034","Eskoriatza","3.95","3.94","3.93","4.04","4.08"
"48029","Etxebarri","25.86","27.26","29.29","25.27","24.72"
"48030","Etxebarria","304.51","30.08","30.05","30.38","30.79"
"48906","Forua","7.91","7.87","8.11","10.36","10.26"
"48035","Fruiz","177.78","23.64","19.61","12.38","12.44"
"20038","Gabiria","16.26","16.88","17.86","18.43","18.65"
"20037","Gaintza","23.44","22.73","22.73","22.06","22.73"
"48036","Galdakao","18.19","18.07","17.55","16.82","15.63"
"48037","Galdames","3.58","256.87","264.45","259.35","264.45"
"48038","Gamiz-Fika","9.80","9.86","10.13","10.13","10.09"
"48039","Garai","68.11","69.18","68.54","71.20","75.27"
"48040","Gatika","26.11","26.30","26.97","19.13","19.73"
"48041","Gautegiz Arteaga","34.52","34.29","34.48","34.44","34.01"
"20907","Gaztelu","6.02","6.33","6.02","5.88","6.58"
"48046","Gernika-Lumo","13.01","12.74","10.95","9.89","8.77"
"20039","Getaria","62.06","63.17","64.22","65.69","65.74"
"48044","Getxo","6.60","6.56","6.15","6.15","6.01"
"48047","Gizaburuaga","19.90","20.41","21.98","22.99","22.35"
"48042","Gordexola","402.30","40.21","41.08","37.17","32.72"
"48043","Gorliz","52.52","50.37","51.45","56.41","57.83"
"48045","Güeñes","4.33","4.57","4.46","4.51","4.22"
"01056","Harana/Valle de Arana","50.68","49.18","38.59","44.73","42.55"
"20040","Hernani","15.56","15.55","15.60","15.38","12.67"
"20041","Hernialde","5.75","5.78","5.83","5.99","5.99"
"20036","Hondarribia","11.42","11.42","25.74","25.64","25.88"
"20042","Ibarra","5.52","1.85","1.86","1.87","1.63"
"48048","Ibarrangelu","17.92","17.86","14.73","1.69","1.74"
"20043","Idiazabal","18.58","18.55","18.99","16.92","17.08"
"48094","Igorre","20.05","18.64","18.98","6.39","6.39"
"20044","Ikaztegieta","21.28","21.51","21.79","19.78","19.87"
"20045","Irun","1.69","3.08","9.85","10.15","9.16"
"20046","Irura","0.63","9.24","9.87","11.02","11.74"
"01027","Iruraiz-Gauna","17.61","18.26","20.58","22.77","23.21"
"01901","Iruña Oka/Iruña de Oca","6.73","6.93","7.19","6.18","6.57"
"48049","Ispaster","4.49","12.08","7.55","1.59","1.62"
"20047","Itsasondo","39.33","40.06","41.20","42.62","43.99"
"48910","Iurreta","13.12","2.61","2.59","1.30","1.28"
"48050","Izurtza","92.59","96.90","96.15","102.04","99.60"
"48022","Karrantza Harana/Valle de Carranza","14.36","14.23","5.30","3.55","3.52"
"48907","Kortezubi","11.93","12.14","12.22","12.41","12.76"
"01019","Kripan","102.56","103.09","108.70","10.87","10.64"
"01020","Kuartango","28.17","28.01","28.01","86.59","85.16"
"01028","Labastida/Bastida","110.13","12.05","8.65","1.36","1.39"
"01030","Lagrán","16.85","16.13","15.79","15.46","15.71"
"01031","Laguardia","19.84","19.87","19.92","20.22","20.20"
"01032","Lanciego/Lantziego","43.10","44.31","43.92","14.56","14.86"
"48051","Lanestosa","7.35","6.97","6.99","3.40","3.58"
"01902","Lantarón","51.20","49.90","52.24","50.83","51.20"
"01033","Lapuebla de Labarca","5.77","5.70","5.49","3.40","3.56"
"48052","Larrabetzu","14.08","14.41","13.59","14.93","15.03"
"20048","Larraul","39.53","40.16","41.84","72.12","56.50"
"20902","Lasarte-Oria","16.86","16.93","18.20","16.54","15.75"
"01036","Laudio/Llodio","13.03","13.10","12.04","10.16","10.72"
"48053","Laukiz","22.54","23.11","2.84","2.01","2.04"
"20049","Lazkao","10.28","10.46","11.35","11.34","11.52"
"20050","Leaburu","30.38","31.09","38.66","39.06","40.00"
"20051","Legazpi","13.99","14.00","14.01","14.15","14.17"
"20052","Legorreta","6.68","6.69","6.91","6.95","7.07"
"01058","Legutio","7.91","7.91","8.10","8.19","8.57"
"20068","Leintz-Gatzaga","19.08","18.80","19.01","4.00","3.89"
"48054","Leioa","11.96","10.97","9.58","9.41","8.66"
"48057","Lekeitio","3.23","7.49","7.48","0.27","0.27"
"48055","Lemoa","23.25","19.63","27.30","28.64","22.72"
"48056","Lemoiz","11.73","11.67","11.64","16.15","13.68"
"01034","Leza","59.32","62.22","44.25","0.00","0.00"
"48081","Lezama","6.40","6.49","6.55","6.64","6.80"
"20053","Lezo","11.36","11.33","11.29","11.40","11.44"
"20054","Lizartza","7.56","3.12","3.18","3.28","3.32"
"48903","Loiu","46.81","51.53","54.96","54.13","53.64"
"48058","Mallabia","44.84","44.99","45.26","45.61","46.70"
"48060","Markina-Xemein","16.16","16.17","16.65","9.84","7.21"
"48061","Maruri-Jatabe","29.02","17.82","18.71","11.81","11.86"
"48059","Mañaria","19.27","20.16","21.10","2.11","2.18"
"20901","Mendaro","27.92","27.79","28.82","13.37","12.43"
"48062","Mendata","12.82","13.09","13.48","13.40","13.37"
"48063","Mendexa","58.00","57.21","60.39","60.83","62.50"
"48064","Meñaka","56.98","59.00","60.24","46.44","47.32"
"01039","Moreda de Álava / Moreda Araba","32.13","26.82","26.22","72.73","72.99"
"48066","Morga","16.71","17.11","17.54","17.72","17.33"
"48068","Mundaka","15.48","15.52","16.10","16.14","15.97"
"48069","Mungia","4.24","4.32","4.42","3.51","3.58"
"48007","Munitibar-Arbatzegi Gerrikaitz-","72.29","72.64","40.51","41.99","42.11"
"48908","Murueta","64.94","16.13","16.18","9.84","6.62"
"48071","Muskiz","30.01","30.49","31.03","25.93","26.32"
"20057","Mutiloa","80.65","85.11","85.11","91.74","100.00"
"20056","Mutriku","3.98","4.02","4.02","5.70","5.63"
"48067","Muxika","0.68","0.68","0.69","0.73","0.75"
"48909","Nabarniz","8.55","8.66","8.89","8.70","8.97"
"01041","Navaridas","4.74","9.57","0.00","0.00","0.00"
