"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005"
"48001","Abadiño","5.61","5.65","5.84","5.74","5.03"
"20001","Abaltzisketa","6.13","6.33","6.31","6.58","6.78"
"48002","Abanto y Ciérvana-Abanto Zierbena","5.86","5.70","4.16","4.16","3.33"
"20002","Aduna","11.66","9.98","7.98","8.11","8.15"
"20016","Aia","12.46","15.32","5.39","5.47","5.64"
"20003","Aizarnazabal","7.06","7.47","7.66","4.70","4.89"
"48911","Ajangiz","6.67","6.74","6.74","6.79","6.80"
"20004","Albiztur","6.35","6.41","3.18","3.31","3.41"
"20005","Alegia","4.00","4.04","2.34","2.37","2.39"
"01001","Alegría-Dulantzi","9.21","9.54","10.13","3.90","4.11"
"20006","Alkiza","8.50","8.40","8.65","9.32","9.38"
"48912","Alonsotegi","7.43","7.41","6.71","6.06","6.10"
"20906","Altzaga","6.29","6.21","12.74","6.41","6.54"
"20007","Altzo","10.05","9.95","10.00","10.55","11.14"
"20008","Amezketa","5.03","4.04","4.07","4.19","4.11"
"48003","Amorebieta-Etxano","4.73","4.43","4.26","4.08","3.92"
"48004","Amoroto","4.83","4.90","4.95","4.89","5.05"
"01002","Amurrio","5.67","5.65","5.88","5.77","5.50"
"20009","Andoain","4.09","4.09","3.33","3.38","3.34"
"20010","Anoeta","4.86","4.86","4.42","4.48",NA
"20011","Antzuola","2.78","2.77","2.80","2.83","2.89"
"48005","Arakaldo","17.86","10.53","10.75","10.31","10.64"
"20012","Arama","13.76","15.08","10.64","10.87","11.56"
"01003","Aramaio","40.75","40.69","18.80","18.75","18.79"
"48006","Arantzazu","12.31","13.11","13.03","9.84","13.61"
"48093","Areatza","7.01","7.07","7.21","5.56","5.60"
"20013","Aretxabaleta","7.01","2.09","2.11","2.13","2.01"
"01006","Armiñón","17.78","38.65","10.10","20.10","16.76"
"01037","Arraia-Maeztu","59.32","59.15","55.16","54.32","53.57"
"48009","Arrankudiaga","17.39","15.40","15.82","16.51","16.99"
"20055","Arrasate/Mondragón","2.91","2.81","2.68","2.67","2.73"
"48914","Arratzu","34.30","34.67","36.31","33.99","34.19"
"01008","Arratzua-Ubarrundia","58.05","57.55","55.43","56.82","58.00"
"48010","Arrieta","14.34","14.52","14.52","1.81","1.85"
"48011","Arrigorriaga","3.48","3.46","3.71","3.73","3.76"
"48023","Artea","17.11","17.31","19.26","19.09","19.26"
"48008","Artzentales","12.35","12.64","11.27","8.75","8.72"
"01004","Artziniega","20.90","19.25","15.31","8.81","9.20"
"01009","Asparrena","40.48","18.86","20.06","20.28","20.21"
"20014","Asteasu","3.39","3.38","4.03","3.43","3.51"
"20903","Astigarraga","3.19","2.99","2.87","2.74","2.83"
"20015","Ataun","5.99","5.98","6.65","6.25","6.35"
"48091","Atxondo","9.07","7.57","6.18","7.60","7.63"
"48070","Aulesti","4.41","4.39","4.41","2.97","2.97"
"01010","Ayala/Aiara","10.61","9.41","7.38","7.21","7.24"
"20017","Azkoitia","3.70","3.73","3.79","3.89","3.95"
"20018","Azpeitia","4.54","4.38","4.45","4.48","3.80"
"01049","Añana","28.57","28.41","28.41","27.62","27.47"
"48012","Bakio","11.74","12.97","13.29","13.70","14.19"
"20904","Baliarrain","8.33","9.09","10.00","10.99","10.53"
"48090","Balmaseda","4.34","4.40","4.32","4.08","4.10"
"48013","Barakaldo","2.15","2.12","2.07","1.87","1.88"
"48014","Barrika","8.74","8.97","9.17","9.25","9.45"
"01013","Barrundia","69.23","66.29","74.91","64.79","66.67"
"48015","Basauri","2.87","2.86","2.82","2.77","2.52"
"01011","Baños de Ebro/Mañueta","15.20","15.02","14.01","16.81","16.35"
"20019","Beasain","3.80","3.61","3.63","3.25","3.31"
"48092","Bedia","10.35","10.40","10.18","1.02","1.02"
"20020","Beizama","10.93","5.56","5.56","5.49","5.88"
"20021","Belauntza","3.38","3.42","9.40","9.80","9.77"
"48016","Berango","6.97","6.53","6.52","6.05","5.66"
"01014","Berantevilla","34.07","25.11","24.61","24.66","24.89"
"20022","Berastegi","3.81","3.87","2.91","2.99","2.99"
"20074","Bergara","2.73","2.72","2.78","2.63","2.63"
"48017","Bermeo","4.82","4.66","4.07","4.10","3.96"
"01016","Bernedo","24.35","53.91","52.72","55.08","56.24"
"48018","Berriatua","8.57","6.88","7.02","7.31","5.95"
"48019","Berriz","4.71","4.71","3.93","4.83","4.92"
"20023","Berrobi","5.21","5.00","3.40","3.41","3.40"
"20024","Bidania-Goiatz","7.53","5.88","6.10","6.21","6.47"
"48020","Bilbao","4.15","4.49","4.59","4.62","4.66"
"48021","Busturia","6.81","6.87","6.99","6.93","7.00"
"01017","Campezo/Kanpezu","39.96","40.25","40.61","39.78","40.93"
"20029","Deba","3.34","3.33","3.33","2.42","1.88"
"48901","Derio","9.12","9.23","9.33","9.05","8.03"
"48026","Dima","12.19","12.26","11.06","9.69","9.52"
"20069","Donostia / San Sebastián","2.54","2.43","2.05","2.13","2.08"
"48027","Durango","4.46","4.46","4.49","4.33","3.62"
"48028","Ea","5.57","5.52","4.48","4.60","4.74"
"20030","Eibar","2.45","2.44","2.29","2.23","2.11"
"48031","Elantxobe","6.83","6.80","6.85","4.47","4.50"
"01021","Elburgo/Burgelu","54.33","64.70","53.23","53.44","58.33"
"01022","Elciego","9.51","9.56","9.76","19.98","21.46"
"20031","Elduain","4.26","4.20","4.24","4.41","4.65"
"20033","Elgeta","3.71","2.81","2.86","1.90","1.96"
"20032","Elgoibar","2.74","3.30","2.62","2.57","2.25"
"48032","Elorrio","6.76","6.78","6.56","5.50","5.48"
"01023","Elvillar/Bilar","13.62","13.55","14.01","28.09","28.57"
"48902","Erandio","3.83","3.79","3.25","3.17","3.17"
"48033","Ereño","15.50","15.50","15.81","15.38","15.56"
"48034","Ermua","2.41","2.40","2.33","1.97","1.96"
"20067","Errenteria","2.74","2.66","2.67","2.40","2.43"
"20066","Errezil","3.25","3.18","3.21","3.16","3.27"
"01046","Erriberagoitia/Ribera Alta","56.00","34.34","39.72","45.39","51.50"
"48079","Errigoiti","7.56","7.80","7.72","7.83","7.98"
"20034","Eskoriatza","3.21","3.20","2.70","2.53","2.55"
"48029","Etxebarri","4.03","4.69","7.26","3.07","3.17"
"48030","Etxebarria","8.53","7.22","7.21","7.29","7.39"
"20035","Ezkio-Itsaso","8.22","6.79",NA,"7.02",NA
"48906","Forua","8.89","8.86","8.11","9.33","9.23"
"48035","Fruiz","15.56","16.55","17.16","4.95","4.98"
"20038","Gabiria","10.16","10.55","6.70","11.52","11.66"
"20037","Gaintza","7.81","7.58","7.58","7.35","7.58"
"48036","Galdakao","3.83","2.77","2.77","2.60","2.42"
"48037","Galdames","15.51","13.14","12.30","12.06","11.07"
"48038","Gamiz-Fika","6.03","6.07","6.24","6.24","6.21"
"48039","Garai","12.38","12.58","9.35","9.71","10.75"
"48040","Gatika","10.83","10.90","9.21","9.56","11.28"
"48041","Gautegiz Arteaga","6.90","6.86","5.75","4.59","4.54"
"20907","Gaztelu","6.02","6.33","6.02","5.88","6.58"
"48046","Gernika-Lumo","4.48","3.88","4.24","3.96","3.88"
"20039","Getaria","6.36","6.09","6.19","5.94","5.94"
"48044","Getxo","3.04","3.02","2.99","2.97","2.84"
"48047","Gizaburuaga","14.93","5.10","5.49","5.75","5.59"
"48042","Gordexola","14.37","14.36","12.91","10.36","10.70"
"48043","Gorliz","8.00","7.59","7.57","7.73","7.53"
"48045","Güeñes","7.88","6.14","6.06","6.29","6.32"
"01056","Harana/Valle de Arana","50.68","49.18","48.23","47.92","45.59"
"20040","Hernani","1.56","1.87","1.87","1.94","1.95"
"20041","Hernialde","8.62","8.67","5.83","5.99","5.99"
"20036","Hondarribia","4.01","3.83","3.86","3.70","3.48"
"20042","Ibarra","4.37","4.38","2.79","3.28","3.26"
"48048","Ibarrangelu","8.14","8.12","8.18","8.43","12.20"
"20043","Idiazabal","5.75","5.30","3.62","3.66",NA
"48094","Igorre","10.85","9.67","9.85","9.34","9.34"
"20044","Ikaztegieta","6.38","6.45","6.54","4.40","4.42"
"20045","Irun","3.46","3.46","3.46","3.48","3.32"
"20046","Irura","6.98","7.26","5.64","5.51","5.87"
"01027","Iruraiz-Gauna","91.98","95.33","96.71","55.90","56.96"
"01901","Iruña Oka/Iruña de Oca","38.35","9.70","10.06","10.82","11.49"
"48049","Ispaster","8.98","9.06","10.57","9.54","9.71"
"20047","Itsasondo","10.59","10.79","6.34","9.84","10.15"
"48910","Iurreta","6.03","5.47","5.19","5.20","4.36"
"48050","Izurtza","11.11","11.63","11.54","8.16","7.97"
"48022","Karrantza Harana/Valle de Carranza","7.54","7.47","7.42","6.39","6.69"
"48907","Kortezubi","9.55","9.71","14.67","7.44","7.65"
"01019","Kripan","20.51","15.46","16.30","32.61","31.91"
"01020","Kuartango","33.80","33.61","56.02","55.87","54.95"
"01028","Labastida/Bastida","13.60","13.39","9.98","27.12","27.89"
"01030","Lagrán","50.56","48.39","47.37","56.70","57.59"
"01031","Laguardia","8.60","8.61","3.98","2.02","2.02"
"01032","Lanciego/Lantziego","11.49","11.82","11.71","21.83","22.29"
"48051","Lanestosa","11.03","10.45","10.49","10.20","10.75"
"01902","Lantarón","40.75","23.42","24.52","21.78","21.94"
"01033","Lapuebla de Labarca","12.70","18.24","17.58","20.41","21.38"
"48052","Larrabetzu","8.35","7.47","8.15","6.31","6.01"
"20048","Larraul","7.91","8.03","4.18","4.81","5.65"
"20902","Lasarte-Oria","2.91","2.92","2.54","1.99","1.99"
"01036","Laudio/Llodio","4.51","5.19","4.87","4.24","4.00"
"48053","Laukiz","5.41","5.55","7.58","6.02","7.15"
"20049","Lazkao","4.86","4.86","4.92","5.00","5.08"
"20050","Leaburu","12.66","12.95","5.15","10.42",NA
"20051","Legazpi","3.79","3.67","3.90","3.36",NA
"20052","Legorreta","6.02","6.02","6.22","5.56","5.66"
"01058","Legutio","31.63","29.21","29.93","32.14","33.62"
"20068","Leintz-Gatzaga","7.63","7.52","7.60","8.00","7.78"
"48054","Leioa","5.55","5.42","5.14","4.89","4.78"
"48057","Lekeitio","5.38","5.35","5.21","5.27","5.06"
