"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","6.78","6.13","6.42","5.93","5.72","7.66","7.41","6.97","4.60","7.97","6.72","6.64","8.55"
"20001","Abaltzisketa","3.06","6.08","15.15","3.06","6.19","9.26","3.12","9.65","12.86","23.33","3.45","3.55","3.56"
"48002","Abanto y Ciérvana-Abanto Zierbena","6.66","6.31","4.94","4.93","5.46","4.84","5.27","6.45","5.72","11.03","8.16","7.76","6.05"
"20002","Aduna","17.02","14.86","17.24","13.19","13.27","24.94","4.82","16.09","13.40","24.39","27.78","20.17","20.47"
"20016","Aia","8.30","7.82","18.15","6.89","5.46","11.47","5.04","12.49","11.94","7.77","14.19","4.63","6.55"
"20003","Aizarnazabal","6.45","10.32","5.17","10.42","9.33","5.55","8.71","15.48","3.10","12.78","9.65","9.93","0.00"
"48911","Ajangiz","15.09","8.68","4.38","0.00","2.18","8.81","4.46","2.25","0.00","4.52","4.55","2.31","2.33"
"20004","Albiztur","3.08","0.00","3.08","9.40","0.00","15.92","0.00","16.23","6.49","10.07","6.76","0.00","13.56"
"20005","Alegia","5.76","6.88","6.29","5.67","6.76","5.67","3.44","7.06","2.94","4.76","3.01","5.44","6.11"
"01001","Alegría-Dulantzi","6.62","5.51","8.63","3.83","4.23","4.35","5.25","6.71","6.29","8.46","10.38","8.57","7.17"
"20006","Alkiza","11.11","10.87","13.26","7.98","2.75","11.27","8.45","5.97","2.99","3.12","16.08","3.38","10.64"
"48912","Alonsotegi","5.60","5.26","4.59","7.76","5.65","3.90","6.36","8.52","4.97","8.94","10.13","5.96","10.98"
"20906","Altzaga","5.75","0.00","12.12","12.27","6.21","6.25","12.50","12.74","6.37","0.00","19.48","6.62","14.18"
"20007","Altzo","4.89","4.96","9.88","7.32","9.80","4.98","2.50","5.13","7.69","0.00","22.28","8.47","11.94"
"20008","Amezketa","5.32","6.28","18.56","5.13","1.03","5.09","10.08","6.19","4.13","4.15","5.14","4.10","5.09"
"48003","Amorebieta-Etxano","7.66","6.81","7.04","7.64","9.33","6.98","8.21","14.85","9.14","5.79","9.85","6.11","7.70"
"48004","Amoroto","11.96","0.00","9.76","0.00","4.89","2.42","0.00","0.00","4.91","0.00","0.00","0.00","2.67"
"01002","Amurrio","4.39","6.15","5.50","5.63","5.27","4.39","6.95","5.12","6.03","5.64","7.18","4.92","3.78"
"20009","Andoain","6.22","6.75","5.40","5.47","5.45","5.38","6.00","6.42","7.47","9.19","8.98","5.97","7.15"
"20010","Anoeta","4.55","2.60","7.97","5.94","5.46","8.69","2.70","6.67","10.56","5.05","11.23","2.25","2.81"
"20011","Antzuola","4.58","3.65","5.48","5.50","4.12","4.60","3.70","7.50","5.16","4.77","4.86","3.01","4.15"
"48005","Arakaldo","6.37","6.62","14.60","7.81","0.00","8.33","0.00","10.53","21.05","0.00","21.74","32.26","0.00"
"20012","Arama","0.00","9.35","9.22","4.78","0.00","9.52","14.35","10.75","5.38","11.17","23.67","12.20","36.36"
"01003","Aramaio","4.64","4.01","12.79","7.99","1.33","5.34","2.00","2.68","1.34","4.69","2.00","2.68","4.03"
"48006","Arantzazu","5.26","5.25","0.00","5.52","0.00","2.94","3.17","0.00","0.00","0.00","3.42","3.52","3.55"
"48093","Areatza","6.64","3.33","8.20","6.52","3.33","6.89","7.04","17.35","9.13","7.43","8.54","8.75","2.93"
"20013","Aretxabaleta","4.87","3.72","5.74","4.79","4.12","4.32","4.93","5.30","8.78","7.52","5.32","3.02","3.03"
"01006","Armiñón","4.18","4.05","12.30","12.82","0.00","4.41","0.00","10.05","5.03","0.00","0.00","0.00","0.00"
"01037","Arraia-Maeztu","11.16","7.01","17.98","2.72","5.47","4.20","1.41","2.81","7.01","5.53","9.58","1.36","6.78"
"48009","Arrankudiaga","12.24","6.16","6.19","8.31","4.22","6.47","7.65","3.46","13.84","11.96","15.99","11.38","10.30"
"20055","Arrasate/Mondragón","4.72","4.44","4.44","4.81","3.91","4.18","4.90","5.62","6.62","6.08","7.17","4.97","4.26"
"48914","Arratzu","7.35","4.98","15.27","5.15","12.85","7.81","5.31","5.62","11.24","5.68","5.73","5.68","2.78"
"01008","Arratzua-Ubarrundia","10.12","6.02","12.15","5.09","7.24","12.88","7.63","4.49","7.86","8.04","1.20","2.50","7.94"
"48010","Arrieta","7.05","3.49","16.10","9.12","0.00","1.82","5.41","10.87","1.81","1.83","3.74","1.92","3.93"
"48011","Arrigorriaga","6.67","4.94","4.04","6.91","5.03","5.39","6.21","7.52","9.54","7.24","11.32","8.00","8.30"
"48023","Artea","6.60","7.77","9.11","9.07","3.83","9.07","7.94","4.26","8.52","7.37","14.77","2.96","3.01"
"48008","Artzentales","13.57","15.15","27.59","8.06","7.99","4.08","4.16","8.60","2.87","13.10","4.39","1.49","9.05"
"01004","Artziniega","7.63","9.32","6.03","6.50","4.86","6.01","5.50","8.66","5.19","5.40","7.67","8.81","4.24"
"01009","Asparrena","6.71","2.42","9.03","5.34","2.37","2.97","3.01","6.93","6.30","5.06","7.52","3.14","1.27"
"20014","Asteasu","7.92","6.56","7.91","8.59","5.99","5.40","7.45","9.51","9.51","7.64","13.48","7.30","11.26"
"20903","Astigarraga","14.87","11.05","10.70","9.12","8.56","15.32","8.73","12.12","19.08","13.68","18.35","14.29","19.35"
"20015","Ataun","5.33","5.33","8.28","5.95","3.58","7.78","1.20","3.07","3.69","5.67","3.22","0.66","1.32"
"48091","Atxondo","3.63","3.61","7.19","5.00","2.81","4.19","0.69","8.95","6.89","5.54","6.96","2.10","5.56"
"48070","Aulesti","3.04","4.57","7.68","7.59","5.93","7.34","1.47","5.91","1.48","2.97","5.96","0.00","3.04"
"01010","Ayala/Aiara","8.85","3.07","13.64","2.39","3.45","3.85","2.86","3.74","5.24","7.60","7.74","5.24","4.73"
"20017","Azkoitia","5.96","5.81","6.54","4.27","4.63","5.45","5.48","5.21","5.48","7.56","7.48","6.91","4.56"
"20018","Azpeitia","6.27","6.02","6.67","7.93","4.50","6.42","3.97","7.16","9.15","8.00","9.35","7.07","6.93"
"01049","Añana","12.66","6.21","18.75","0.00","5.99","5.81","0.00","5.59","5.59","10.99","5.43","5.41","0.00"
"48012","Bakio","9.63","8.46","9.15","6.50","5.44","7.58","7.11","10.79","12.14","10.69","8.22","8.09","7.44"
"20904","Baliarrain","6.85","0.00","0.00","0.00","0.00","8.26","0.00","20.83","0.00","21.51","0.00","10.10","0.00"
"48090","Balmaseda","7.51","5.50","4.47","6.17","6.27","6.42","7.38","10.08","6.30","7.90","8.75","5.07","6.36"
"48013","Barakaldo","6.03","6.32","4.96","6.12","5.67","5.50","5.25","7.71","7.80","7.05","7.62","5.53","5.29"
"48014","Barrika","5.88","15.60","7.81","1.97","4.63","8.66","4.77","5.67","5.67","10.79","11.80","10.69","5.55"
"01013","Barrundia","8.85","8.79","13.04","9.83","4.41","7.71","7.84","8.43","2.41","3.72","10.17","6.52","1.37"
"48015","Basauri","6.17","6.34","4.79","7.26","5.54","5.22","4.70","6.38","4.99","7.39","7.96","5.68","6.14"
"01011","Baños de Ebro/Mañueta","25.81","12.58","30.86","18.75","0.00","9.17","3.02","2.80","14.01","2.76","5.62","2.94","8.80"
"20019","Beasain","5.37","6.76","6.30","7.60","6.24","7.81","7.27","13.92","11.65","6.56","8.47","6.23","7.11"
"48092","Bedia","11.71","4.86","5.84","1.99","8.17","12.40","9.34","9.16","4.07","14.24","12.20","13.25","9.16"
"20020","Beizama","30.12","12.05","5.92","0.00","11.17","5.46","0.00","0.00","27.62","11.36","23.26","5.88","17.96"
"20021","Belauntza","16.33","15.75","15.09","7.27","24.65","27.40","10.20","25.56","28.75","13.03","6.71","27.30","13.56"
"48016","Berango","6.17","7.06","4.61","7.38","4.53","6.49","6.15","5.19","7.70","7.00","6.88","6.81","7.68"
"01014","Berantevilla","8.73","8.47","18.83","8.33","6.16","6.04","4.26","6.71","8.95","13.51","13.33","8.73","8.68"
"20022","Berastegi","9.35","6.61","6.59","3.76","3.77","4.73","1.92","7.87","3.93","7.98","6.01","4.02","4.05"
"20074","Bergara","4.74","4.26","4.93","4.41","4.30","4.18","3.82","5.28","5.41","7.08","5.52","5.64","5.07"
"48017","Bermeo","5.80","5.76","4.79","6.01","4.27","5.86","5.36","7.34","8.35","6.70","7.09","5.79","5.38"
"01016","Bernedo","5.85","14.93","19.78","12.32","1.76","8.77","6.96","1.71","3.42","6.96","7.04","1.81","7.39"
"48018","Berriatua","5.75","10.59","8.05","10.38","3.18","13.38","4.63","7.16","13.52","9.96","6.90","6.31","8.57"
"48019","Berriz","6.75","6.69","4.58","7.43","5.55","5.13","5.12","7.09","5.84","6.57","8.68","5.11","3.81"
"20023","Berrobi","5.18","1.74","7.07","0.00","3.49","5.20","1.70","1.70","11.90","13.61","3.48","1.77","1.76"
