"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"01009","Asparrena","51.24","54.17","52.85","51.91","50.39","61.47","61.74","63.71","66.14","66.12","64.10","63.06","59.80","60.58","59.63","60.19","62.86"
"20014","Asteasu","46.19","45.41","43.81","43.60","44.04","55.29","53.25","56.08","59.04","55.32","53.89","52.00","50.60","52.47","52.29","52.94","55.40"
"20903","Astigarraga","62.91","62.08","60.36","60.00","61.39","61.43","62.03","61.51","61.78","60.65","60.34","60.02","58.40","58.10","57.11","57.08","57.16"
"20015","Ataun","49.57","49.61","48.46","49.21","52.94","76.47","76.19","74.12","75.00","77.27","76.54","77.63","76.54","75.00","74.71","75.58","77.53"
"48091","Atxondo","61.54","56.25","57.29","55.67","56.86","67.37","65.98","63.21","66.09","64.29","64.49","63.81","61.32","59.63","58.62","53.64","56.76"
"48070","Aulesti","51.06","46.15","45.28","43.14","49.02","66.67","67.50","71.43","77.78","78.57","80.95","80.00","76.19","71.11","73.91","71.74","71.43"
"01010","Ayala/Aiara","38.64","38.67","36.76","35.31","36.94","59.76","59.39","56.80","55.93","58.62","59.76","55.92","57.14","52.78","51.02","51.11","53.33"
"20017","Azkoitia","62.77","63.47","62.56","62.48","62.23","65.70","64.89","65.12","68.17","68.25","69.29","69.15","69.00","69.78","70.12","70.28","70.22"
"20018","Azpeitia","70.00","70.38","68.92","67.71","68.42","71.65","71.33","71.55","72.64","72.50","72.56","73.51","73.17","73.56","72.19","72.27","72.90"
"01049","Añana","76.47","72.22","70.59","70.59","64.71","68.75","81.25","82.35","88.24","93.33","88.24","93.33","93.75","88.24","83.33","86.67","86.67"
"48012","Bakio","77.61","77.78","77.44","74.63","73.50","81.42","76.85","72.91","73.71","78.89","79.11","80.54","79.02","78.20","80.30","79.51","80.33"
"20904","Baliarrain","38.46","38.46","41.67","38.46","35.71","55.56","50.00","37.50","37.50","37.50","37.50","33.33","42.86","50.00","50.00","42.86","50.00"
"48090","Balmaseda","77.95","77.86","77.74","76.15","76.36","76.01","74.64","72.16","71.71","74.24","74.82","74.28","72.85","72.48","72.45","73.63","74.41"
"48013","Barakaldo","80.02","79.73","79.76","79.20","78.36","78.44","77.16","76.24","77.06","77.84","78.13","79.05","79.24","79.62","79.78","80.76","81.71"
"48014","Barrika","70.41","71.29","72.73","70.10","69.47","80.22","75.53","76.53","83.00","81.25","79.12","76.25","74.32","70.77","74.63","74.19","72.13"
"01013","Barrundia","37.39","37.74","38.74","33.93","35.71","66.67","63.64","62.07","59.62","63.83","63.04","61.36","61.54","68.57","71.05","72.22","75.00"
"48015","Basauri","78.00","77.76","78.43","77.86","77.58","77.35","76.17","75.42","76.20","77.22","77.30","77.85","77.80","77.67","78.24","78.38","79.35"
"01011","Baños de Ebro/Mañueta","8.86","9.64","9.09","13.79","13.79","22.64","22.03","19.35","15.28","14.29","12.16","12.00","12.33","13.92","12.94","14.29","13.75"
"20019","Beasain","74.00","74.07","72.74","70.71","69.55","73.01","71.44","70.26","72.61","78.92","79.94","80.15","79.68","79.03","79.63","78.46","80.10"
"48092","Bedia","62.73","59.82","53.98","52.17","49.17","55.47","55.15","54.23","57.14","56.93","56.82","53.97","55.47","56.20","58.54","60.00","57.36"
"20020","Beizama","38.71","40.00","33.33","32.14","29.03","68.75","73.33","61.11","57.14","59.09","58.82","52.94","66.67","66.67","69.23","69.23","66.67"
"20021","Belauntza","41.94","41.94","37.88","39.39","46.48","55.07","51.52","50.70","48.61","48.44","45.00","44.07","38.81","41.54","42.86","41.94","40.98"
"48016","Berango","79.64","78.15","77.59","75.76","75.71","77.21","77.75","75.66","75.75","75.58","74.56","73.35","72.52","71.24","70.98","70.91","72.20"
"01014","Berantevilla","34.62","32.05","33.75","35.37","30.59","43.64","47.17","47.37","50.85","48.33","42.59","44.00","45.65","46.51","43.90","50.00","53.12"
"20022","Berastegi","40.86","44.05","40.66","36.96","39.77","58.62","59.68","56.94","55.84","59.15","59.42","62.90","60.66","58.06","59.68","57.81","57.14"
"20074","Bergara","70.96","70.38","70.97","68.14","67.29","73.99","73.35","73.68","75.06","74.62","73.92","74.09","73.07","72.71","73.11","73.00","73.13"
"48017","Bermeo","70.27","70.00","68.77","67.42","67.52","72.06","71.07","68.84","71.04","71.39","71.68","73.45","72.84","73.82","74.40","74.95","77.00"
"01016","Bernedo","40.54","45.07","46.25","46.05","47.30","82.98","83.33","79.17","80.43","82.00","83.33","82.98","82.22","80.00","80.00","83.33","79.55"
"48018","Berriatua","49.61","49.28","45.83","45.65","45.26","55.05","55.00","54.62","58.06","59.17","57.28","57.43","58.42","57.14","55.67","53.92","55.77"
"48019","Berriz","61.31","59.74","58.87","57.33","59.12","62.24","60.71","58.97","60.19","60.25","59.95","59.04","59.61","58.45","57.73","59.15","58.42"
"20023","Berrobi","53.33","51.72","43.75","44.44","48.48","65.38","58.62","51.72","56.25","59.38","51.72","65.22","66.67","66.67","72.73","69.57","69.57"
"20024","Bidania-Goiatz","50.00","51.85","46.03","45.16","45.61","78.12","75.76","72.22","68.57","68.57","68.75","67.57","68.42","67.57","68.42","66.67","67.50"
"48020","Bilbao","87.24","87.06","86.90","86.36","85.45","84.90","84.22","83.55","84.72","85.16","85.44","85.35","85.19","85.17","85.10","85.18","85.24"
"48021","Busturia","67.03","65.96","72.04","70.83","72.92","78.02","78.43","76.00","74.75","74.47","72.41","73.49","75.56","74.70","75.29","73.56","70.93"
"01017","Campezo/Kanpezu","51.24","53.78","54.17","51.61","52.85","67.33","68.37","70.09","70.09","69.16","70.30","68.75","67.62","67.29","68.93","68.57","71.15"
"20029","Deba","61.54","61.15","60.26","60.00","60.46","71.55","70.77","71.04","72.64","72.02","71.16","71.61","70.11","68.82","68.65","70.36","71.74"
"48901","Derio","76.66","77.26","75.92","75.40","75.50","78.64","77.98","76.38","77.30","77.40","76.21","76.74","73.54","72.92","72.28","73.72","73.74"
"48026","Dima","62.38","58.25","56.00","55.67","59.26","67.71","70.53","72.16","77.66","80.00","76.83","77.92","78.38","79.73","81.58","83.56","83.10"
"20069","Donostia / San Sebastián","87.56","87.29","87.05","86.15","85.44","84.87","84.10","83.19","84.96","84.61","84.79","84.88","84.90","84.96","84.97","85.30","85.81"
"48027","Durango","85.97","85.49","85.81","84.49","83.85","83.96","83.68","82.95","85.10","86.02","86.53","85.97","86.03","85.36","84.76","85.16","84.91"
"48028","Ea","66.10","60.00","61.40","62.50","60.34","68.63","64.15","68.75","76.60","76.09","76.00","72.34","73.91","75.56","75.00","77.27","74.51"
"20030","Eibar","81.50","81.43","80.00","79.02","78.39","78.41","77.46","76.82","78.42","78.17","78.06","77.90","76.89","76.47","76.24","76.08","75.45"
"48031","Elantxobe","90.91","95.24","90.00","85.71","76.92","91.30","90.91","90.48","83.33","82.61","83.33","90.91","84.62","85.19","91.67","95.45","95.24"
"01021","Elburgo/Burgelu","45.45","44.23","48.28","46.15","44.64","59.52","59.09","59.52","61.36","62.50","60.61","58.62","61.54","63.64","65.00","68.42","64.71"
"01022","Elciego","36.24","34.19","34.59","35.00","37.66","54.08","49.48","49.49","49.48","46.46","43.53","45.88","45.78","50.00","48.24","50.00","46.99"
"20031","Elduain","61.11","54.55","52.17","56.52","65.00","70.00","68.42","59.09","59.09","57.14","55.56","50.00","62.50","64.29","66.67","61.11","62.50"
"20033","Elgeta","68.82","63.64","62.86","60.95","59.82","61.82","62.61","61.48","61.79","58.59","56.91","55.20","55.56","56.10","53.28","50.85","52.73"
"20032","Elgoibar","64.97","66.03","65.20","64.16","64.25","67.65","67.61","67.79","69.43","69.26","68.59","68.57","68.32","67.64","66.50","65.39","65.81"
"48032","Elorrio","70.44","69.76","68.06","67.96","67.80","70.29","69.26","67.78","70.91","65.90","66.14","71.61","72.47","72.21","73.01","77.20","74.71"
"01023","Elvillar/Bilar","14.12","17.95","18.18","18.18","16.47","33.33","29.55","31.11","28.57","28.26","27.27","21.28","25.49","24.49","23.40","24.44","23.81"
"48902","Erandio","74.86","75.00","74.14","73.58","73.08","73.07","72.13","71.43","73.15","72.40","72.10","71.85","71.42","72.22","72.93","73.09","73.56"
"48033","Ereño","53.33","47.06","42.11","45.00","50.00","73.33","73.33","68.75","75.00","76.92","86.67","87.50","80.00","78.57","80.00","76.92","81.82"
"48034","Ermua","74.66","74.80","73.37","73.23","72.26","71.85","72.17","71.30","71.71","71.81","72.28","73.59","73.06","73.17","74.49","75.17","76.35"
"20067","Errenteria","74.10","74.05","73.09","71.42","70.68","72.69","71.33","69.27","68.52","66.98","66.61","65.72","66.13","66.93","67.98","67.92","70.65"
"20066","Errezil","33.33","32.53","32.29","33.67","36.25","64.86","65.85","66.67","65.31","65.22","62.79","60.47","58.54","56.41","65.79","69.44","69.23"
"01046","Erriberagoitia/Ribera Alta","37.89","37.21","38.37","43.02","43.82","74.55","74.55","69.09","69.81","70.21","75.61","76.92","75.68","72.73","70.00","72.41","70.97"
"48079","Errigoiti","58.06","54.84","54.84","55.88","53.66","66.67","70.97","66.67","75.00","63.64","63.64","80.00","78.95","75.00","81.25","76.47","78.95"
"20034","Eskoriatza","61.54","61.25","60.31","57.41","57.20","61.92","61.99","61.07","61.40","62.96","63.49","65.53","68.12","70.00","69.09","70.05","73.79"
"48029","Etxebarri","77.43","76.40","75.10","74.41","74.62","73.40","72.73","69.57","69.93","71.23","71.96","73.00","69.84","71.50","71.65","72.56","73.13"
"48030","Etxebarria","39.13","36.62","33.33","31.76","34.18","50.00","50.85","50.00","53.03","53.03","51.56","52.63","53.57","54.72","59.18","55.77","59.18"
"20035","Ezkio-Itsaso","46.24","42.42","41.49","38.30","40.22","46.59","43.75","41.94","42.86","47.92","45.45","42.86","42.05","45.56","46.51","47.56","48.10"
"48906","Forua","60.00","58.33","59.02","63.93","61.67","70.00","70.97","70.97","70.15","72.31","73.68","71.67","68.85","64.91","64.29","64.29","66.67"
"48035","Fruiz","66.67","66.67","63.64","65.52","68.00","77.27","80.95","81.25","86.36","86.36","86.36","83.33","81.82","73.68","80.00","80.00","80.95"
"20038","Gabiria","51.02","53.85","43.33","41.67","38.98","61.11","60.53","61.54","63.16","62.16","62.16","62.16","61.11","55.88","58.33","61.76","60.00"
"20037","Gaintza","50.00","38.46","35.71","35.29","40.00","71.43","72.73","70.00","66.67","66.67","60.00","55.56","45.45","50.00","50.00","40.00","30.77"
"48036","Galdakao","78.87","79.00","78.54","77.76","77.37","77.09","76.36","75.71","76.54","77.35","76.87","77.02","76.74","77.07","77.59","77.91","79.04"
"48037","Galdames","45.95","46.15","45.78","43.82","41.46","64.29","67.21","67.74","69.84","69.84","69.49","72.13","72.73","72.00","80.00","74.47","80.00"
"48038","Gamiz-Fika","60.40","62.92","57.61","56.38","56.04","72.06","73.53","69.44","67.12","64.29","65.62","66.18","64.18","61.19","58.73","61.02","60.71"
"48039","Garai","69.57","73.91","64.00","59.09","57.89","86.67","85.71","84.62","84.62","83.33","80.00","80.00","80.00","80.00","80.00","77.78","81.82"
"48040","Gatika","58.46","56.92","55.07","52.55","53.19","61.42","60.63","57.36","58.91","58.47","56.48","56.19","54.08","50.55","51.16","51.32","51.39"
"48041","Gautegiz Arteaga","81.03","81.82","79.03","75.76","71.83","70.59","73.53","69.57","69.57","71.19","70.49","74.55","73.58","78.85","76.92","74.51","75.51"
"20907","Gaztelu","42.11","35.00","36.84","25.00","27.27","60.00","63.64","58.33","75.00","83.33","83.33","87.50","77.78","70.00","70.00","87.50","88.89"
"48046","Gernika-Lumo","76.20","77.21","76.37","76.03","75.39","76.05","75.50","74.38","75.00","78.86","79.14","79.56","79.03","79.46","79.95","79.98","79.84"
"20039","Getaria","59.71","61.01","58.48","56.29","54.39","70.31","69.58","68.75","76.47","76.82","76.39","75.91","72.97","74.30","75.59","75.37","75.24"
"48044","Getxo","90.87","90.49","89.94","89.43","88.52","87.99","87.37","87.13","89.99","90.39","90.36","90.25","90.42","90.23","89.86","90.09","90.08"
"48047","Gizaburuaga","45.65","45.65","43.48","40.91","37.21","34.88","30.95","31.71","38.10","37.50","40.54","39.02","40.00","43.59","45.95","48.48","48.48"
"48042","Gordexola","69.46","68.99","66.67","65.03","70.19","81.20","81.06","81.20","82.81","82.68","81.42","82.24","84.47","81.82","83.16","83.33","80.65"
"48043","Gorliz","80.83","80.59","79.82","79.28","79.18","82.87","79.15","76.68","76.54","79.61","80.69","80.28","79.12","79.47","77.78","77.24","80.00"
"48045","Güeñes","74.23","74.03","74.73","72.49","72.90","77.80","76.72","74.25","75.11","73.88","75.23","77.80","78.17","78.06","78.95","79.50","80.79"
"01056","Harana/Valle de Arana","33.33","32.50","28.57","29.55","29.27","60.00","55.00","51.85","53.85","57.69","55.56","52.00","57.14","54.55","50.00","52.94","52.94"
"20040","Hernani","66.92","66.54","65.99","65.90","66.13","67.76","66.42","65.43","65.92","65.71","65.72","65.47","65.35","64.99","64.96","65.76","67.65"
"20041","Hernialde","31.82","37.50","39.13","39.13","48.00","66.67","63.64","57.14","63.64","59.09","65.00","61.90","58.82","60.00","53.85","64.29","52.94"
"20036","Hondarribia","79.12","78.38","79.10","77.49","77.17","81.85","80.67","80.03","81.49","80.95","81.03","80.94","80.45","80.02","79.88","79.04","80.34"
"20042","Ibarra","60.15","59.11","59.72","58.86","58.94","65.10","63.81","63.49","64.91","64.88","70.77","72.14","69.03","68.79","68.97","66.55","67.65"
"48048","Ibarrangelu","80.00","79.55","78.26","79.59","85.37","86.84","81.58","81.58","83.78","84.21","85.29","90.32","83.33","79.41","77.14","73.33","80.00"
"20043","Idiazabal","61.41","60.22","56.98","56.08","55.96","65.45","65.82","65.99","66.84","65.19","63.52","64.71","66.67","68.71","70.42","70.68","70.45"
"48094","Igorre","72.46","70.91","70.59","68.72","67.68","71.54","70.20","69.78","70.05","72.28","72.36","72.86","74.15","75.36","75.36","75.66","76.39"
