"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005"
"20038","Gabiria","4.73","4.73","4.73","5.10","5.08"
"20037","Gaintza","25.00","25.00","25.00","25.00","25.42"
"48036","Galdakao","17.07","17.00","16.52","15.81","15.19"
"48037","Galdames","1.60","114.97","114.97","114.97","115.28"
"48038","Gamiz-Fika","3.51","3.51","7.69","7.69","7.08"
"48039","Garai","88.00","88.00","88.00","88.00","83.67"
"48040","Gatika","39.42","39.42","32.54","22.22","22.28"
"48041","Gautegiz Arteaga","4.09","4.09","4.09","4.09","4.09"
"20907","Gaztelu","5.26","5.26","5.26","5.26","5.15"
"48046","Gernika-Lumo","14.56","14.22","12.22","10.98","9.61"
"20039","Getaria","34.02","34.02","115.28","115.28","115.04"
"48044","Getxo","11.91","11.91","11.24","11.30","11.12"
"48047","Gizaburuaga","2.34","2.34","2.45","2.45","2.45"
"48042","Gordexola","291.67","29.54","29.66","25.85","22.78"
"48043","Gorliz","29.25","27.53","27.76","29.80","29.79"
"48045","Güeñes","2.96","3.07","2.96","3.75","3.69"
"01056","Harana/Valle de Arana","6.79","6.79","5.41","6.33","6.32"
"20040","Hernani","10.89","10.89","16.83","16.49","13.46"
"20041","Hernialde","14.29","14.29","14.29","14.29","14.39"
"20036","Hondarribia","5.18","5.18","11.56","11.45","11.46"
"20042","Ibarra","16.00","5.33","5.33","5.33","4.66"
"48048","Ibarrangelu","4.49","4.49","3.67","0.41","0.41"
"20043","Idiazabal","13.42","13.42","13.42","11.82","11.82"
"48094","Igorre","15.98","14.85","18.08","4.91","4.90"
"20044","Ikaztegieta","11.49","11.49","11.49","10.34","10.34"
"20045","Irun","2.26","4.12","13.28","13.26","11.57"
"20046","Irura","0.31","5.20","5.20","5.20","5.16"
"01027","Iruraiz-Gauna","1.36","1.36","1.51","1.66","1.66"
"01901","Iruña Oka/Iruña de Oca","0.76","0.76","0.76","0.61","0.61"
"48049","Ispaster","5.77","15.38","9.62","1.92","1.92"
"20047","Itsasondo","21.49","21.49","21.49","21.49","22.38"
"48910","Iurreta","9.09","1.82","1.81","0.92","0.92"
"48050","Izurtza","19.08","19.08","19.08","19.08","19.14"
"48022","Karrantza Harana/Valle de Carranza","16.81","16.81","6.36","4.22","4.06"
"48907","Kortezubi","12.82","12.82","12.82","12.82","12.92"
"01019","Kripan","13.51","13.51","13.42","1.35","1.35"
"01020","Kuartango","1.42","1.42","1.42","4.40","4.40"
"01028","Labastida/Bastida","19.98","2.22","1.60","0.25","0.25"
"01030","Lagrán","1.18","1.18","1.18","1.18","1.17"
"01031","Laguardia","3.29","3.29","3.29","3.30","3.30"
"01032","Lanciego/Lantziego","11.72","11.72","11.72","3.91","3.90"
"48051","Lanestosa","1.34","1.34","1.34","0.67","0.67"
"01902","Lantarón","2.46","2.46","2.46","2.47","2.47"
"01033","Lapuebla de Labarca","1.13","1.13","1.13","0.68","0.68"
"48052","Larrabetzu","16.67","16.67","15.43","16.05","15.44"
"20048","Larraul","26.32","26.32","27.03","40.54","27.32"
"20902","Lasarte-Oria","29.83","29.83","31.91","28.84","27.46"
"01036","Laudio/Llodio","14.93","14.93","13.68","11.78","12.48"
"48053","Laukiz","4.43","4.43","0.53","0.35","0.35"
"20049","Lazkao","6.34","6.46","6.42","6.32","6.32"
"20050","Leaburu","20.34","20.34","26.32","26.79","26.55"
"20051","Legazpi","10.40","9.99","9.99","9.99","9.88"
"20052","Legorreta","3.56","3.56","3.55","3.33","3.55"
"01058","Legutio","0.42","0.42","0.42","0.42","0.42"
"20068","Leintz-Gatzaga","21.74","21.74","21.74","4.35","4.35"
"48054","Leioa","13.52","12.33","10.41","10.26","8.45"
"48057","Lekeitio","4.03","9.40","9.98","0.36","0.36"
"48055","Lemoa","9.59","7.93","17.21","17.21","12.92"
"48056","Lemoiz","1.52","1.52","1.52","2.03","1.62"
"01034","Leza","9.03","9.33","6.67","0.00","0.00"
"48081","Lezama","3.53","3.49","11.68","11.68","11.67"
"20053","Lezo","8.95","8.95","8.98","8.98","8.87"
"20054","Lizartza","3.31","1.32","2.33","2.27","2.32"
"48903","Loiu","7.62","7.61","7.07","7.04","7.04"
"48058","Mallabia","12.93","12.93","12.93","12.93","12.47"
"48060","Markina-Xemein","20.89","20.89","20.89","12.37","8.26"
"48061","Maruri-Jatabe","15.66","9.64","9.64","6.02","6.02"
"48059","Mañaria","10.10","10.10","10.10","1.01","1.01"
"20901","Mendaro","29.78","33.33","33.33","11.92","10.88"
"48062","Mendata","5.95","6.02","6.10","6.10","6.13"
"48063","Mendexa","16.56","16.56","16.56","16.56","16.58"
"48064","Meñaka","86.96","86.96","86.96","65.22","65.08"
"01039","Moreda de Álava / Moreda Araba","4.88","4.27","4.19","12.05","12.05"
"48066","Morga","6.14","6.14","6.14","6.14","6.13"
"48068","Mundaka","9.46","9.46","9.46","9.46","9.54"
"48069","Mungia","1.37","1.37","1.36","1.13","1.13"
"48007","Munitibar-Arbatzegi Gerrikaitz-","49.18","49.18","26.23","26.23","26.23"
"48908","Murueta","9.26","2.31","2.31","1.39","0.93"
"48071","Muskiz","9.62","9.62","9.62","7.88","7.88"
"20057","Mutiloa","47.62","47.62","47.62","47.62","59.17"
"20056","Mutriku","5.19","5.19","6.02","8.43","8.50"
"48067","Muxika","0.57","0.57","0.57","0.57","0.57"
"48909","Nabarniz","2.70","2.70","2.70","2.70","2.69"
"01041","Navaridas","1.39","2.78","0.00","0.00","0.00"
"20063","Oiartzun","8.76","8.76","11.77","10.81","6.75"
