"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"48001","Abadiño","6.75","7.05","6.13","7.09","5.93","6.28","6.49","6.16","10.31","11.25","8.75"
"20001","Abaltzisketa","2.03","3.52","4.73","6.19","7.03","4.13","7.20","10.37","16.00","9.31","4.56"
"48002","Abanto y Ciérvana-Abanto Zierbena","7.10","7.61","6.51","7.88","6.85","7.77","7.05","10.04","9.25","13.45","8.17"
"20002","Aduna","15.54","14.77","10.35","10.37","9.64","10.30","16.28","20.00","16.81","18.85","13.45"
"20016","Aia","7.62","9.28","6.95","11.08","8.70","7.75","6.78","12.01","12.53","19.23","8.47"
"20003","Aizarnazabal","9.89","7.58","4.92","9.60","8.17","14.72","7.42","18.06","13.62","9.43","8.62"
"48911","Ajangiz","0.54","0.77","1.82","0.00","0.56","1.64","0.96","1.29","0.26","0.29","0.92"
"20004","Albiztur","14.71","3.45","9.38","2.70","12.82","4.08","2.04","11.93","8.24","22.64","19.19"
"20005","Alegia","23.45","12.94","21.76","8.68","9.30","20.79","12.82","9.44","7.00","5.23","9.58"
"01001","Alegría-Dulantzi","4.09","4.04","5.64","5.52","6.65","9.82","6.54","13.72","11.10","11.18","6.99"
"20006","Alkiza","0.00","0.00","8.96","6.76","5.41","12.07","8.47","5.88","11.27","12.38","9.28"
"48912","Alonsotegi","5.09","3.58","7.85","3.63","2.47","1.80","4.92","5.28","8.72","11.28","4.46"
"20906","Altzaga","25.00","0.00","11.76","12.50","0.00","20.00","0.00","25.00","7.69","5.00","0.00"
"20007","Altzo","9.68","20.00","10.14","13.48","3.19","1.10","7.23","25.58","12.39","20.75","12.33"
"20008","Amezketa","21.57","21.79","25.00","27.50","27.27","16.67","17.39","15.52","30.77","20.25","15.00"
"48003","Amorebieta-Etxano","5.16","4.96","5.57","5.50","6.05","6.82","5.80","5.62","5.91","8.49","4.76"
"48004","Amoroto","12.36","6.67","7.81","12.50","11.11","10.00","10.53","8.10","5.37","23.61","12.13"
"01002","Amurrio","2.74","2.69","3.28","3.55","3.36","6.06","6.50","6.27","7.03","7.21","5.32"
"20009","Andoain","9.59","8.62","8.83","13.72","8.50","7.77","8.59","10.53","11.69","9.27","6.95"
"20010","Anoeta","24.87","10.18","12.80","14.88","9.11","12.57","9.91","19.55","12.50","11.99","9.33"
"20011","Antzuola","11.90","10.28","4.73","6.43","4.94","2.70","7.87","4.37","8.72","5.35","5.19"
"48005","Arakaldo","14.71","13.79","5.88","16.28","7.14","20.97","14.04","6.20","14.84","26.47","15.20"
"20012","Arama","24.80","7.91","8.82","8.93","14.29","27.85","13.25","14.17","23.13","23.44","21.21"
"01003","Aramaio","7.65","4.46","3.37","3.26","2.13","3.17","5.50","9.09","11.30","5.05","8.77"
"48006","Arantzazu","10.53","22.86","6.00","9.71","12.90","17.65","26.67","34.29","26.92","39.83","10.47"
"48093","Areatza","11.43","4.62","6.47","8.53","3.59","11.02","4.86","11.31","14.29","9.49","9.71"
"20013","Aretxabaleta","9.61","9.95","7.70","8.91","4.99","6.50","7.38","6.87","8.33","5.86","4.94"
"01006","Armiñón","1.41","0.37","2.04","1.04","1.60","11.32","0.00","6.49","5.94","4.06","8.51"
"01037","Arraia-Maeztu","3.97","3.16","4.41","1.90","2.82","6.81","6.06","3.29","9.04","9.46","9.91"
"48009","Arrankudiaga","8.95","11.41","12.87","14.93","8.89","8.23","9.05","12.17","12.36","14.89","12.74"
"20055","Arrasate/Mondragón","6.66","8.60","5.18","4.45","4.63","5.74","5.95","4.67","4.63","4.59","2.71"
"48914","Arratzu","0.00","0.00","8.33","7.14","4.00","0.00","12.50","0.00",NA,NA,"5.56"
"01008","Arratzua-Ubarrundia","5.06","3.96","3.40","4.41","3.66","4.87","2.46","8.59","6.52","5.79","9.89"
"48010","Arrieta","19.57","17.39","8.60","34.15","14.13","9.03","7.81","5.59","10.00","17.04","10.74"
"48011","Arrigorriaga","9.37","7.87","6.40","7.65","5.91","6.79","7.57","7.46","8.53","9.79","7.43"
"48023","Artea","16.61","14.80","6.12","7.04","5.08","8.35","9.80","8.68","4.80","3.14","2.05"
"48008","Artzentales","2.99","0.83","1.11","0.50","2.91","12.44","6.25","17.14","12.59","14.15","5.83"
"01004","Artziniega","7.75","14.23","4.44","8.98","6.52","12.72","12.58","11.81","11.55","8.78","4.35"
"01009","Asparrena","3.18","2.51","1.27","9.89","1.97","2.62","3.12","4.20","5.24","8.84","4.81"
"20014","Asteasu","15.10","15.84","9.95","10.87","7.98","10.57","13.60","21.27","15.71","16.61","14.05"
"20903","Astigarraga","6.21","5.96","5.41","6.66","4.84","5.76","4.52","5.88","7.91","10.06","6.70"
"20015","Ataun","18.92","12.12","6.73","14.29","4.71","10.61","8.21","11.65","12.05","8.00","11.11"
"48091","Atxondo","2.26","1.97","1.99","2.67","3.20","4.10","4.68","3.66","6.86","6.09","7.22"
"48070","Aulesti","11.27","2.00","10.64","6.25","5.88","7.78","4.88","14.71","12.33","7.25","12.99"
"01010","Ayala/Aiara","3.73","4.82","4.71","5.45","6.12","6.11","5.92","7.06","4.73","7.23","11.56"
"20017","Azkoitia","8.21","8.40","7.38","7.92","8.15","8.57","10.41","14.32","12.99","12.77","9.85"
"20018","Azpeitia","10.33","9.70","7.82","9.43","8.94","10.30","12.71","15.31","18.24","13.82","11.53"
"01049","Añana","11.11","2.29","1.22","14.71","0.00","13.79","15.79","5.26",NA,"7.69","4.76"
"48012","Bakio","3.26","1.96","1.98","2.22","2.12","3.78","6.02","7.07","4.23","12.65","6.39"
"20904","Baliarrain","2.94","8.33","0.00","5.26","10.00","16.13","2.50","7.32",NA,NA,"2.70"
"48090","Balmaseda","8.80","7.64","6.73","7.40","6.30","6.85","8.12","8.83","5.31","9.04","6.59"
"48013","Barakaldo","6.76","6.79","6.25","6.02","6.39","5.63","6.56","8.56","8.77","10.49","7.14"
"48014","Barrika","4.19","5.42","5.00","4.32","3.57","5.51","6.53","11.70","5.84","3.19","3.24"
"01013","Barrundia","5.13","4.86","5.95","5.00","5.15","8.26","9.33","13.51","12.50","18.42","10.71"
"48015","Basauri","8.58","9.92","8.83","8.44","7.87","10.78","9.33","12.06","12.75","13.36","9.01"
"01011","Baños de Ebro/Mañueta","0.38","0.43","0.13","0.00","0.47","0.00","0.00","0.44","1.41","6.56","0.53"
"20019","Beasain","15.41","14.64","12.52","15.55","12.23","22.21","10.25","13.20","10.97","14.78","9.74"
"48092","Bedia","9.06","8.85","9.09","9.09","11.91","5.13","6.96","4.83","6.68","6.90","4.37"
"20020","Beizama","1.49","7.14","10.71","12.50","4.00","7.50","3.23","0.00","8.82","15.09","1.28"
"20021","Belauntza","23.94","24.72","21.05","21.18","19.15","41.13","13.75","31.70","24.49","39.04","36.71"
"48016","Berango","4.85","4.54","4.74","3.95","4.36","3.00","3.74","6.69","5.56","6.67","5.21"
"01014","Berantevilla","2.57","3.42","4.08","5.58","4.44","9.23","15.08","7.13","11.37","18.33","13.31"
"20022","Berastegi","38.10","4.65","16.18","12.86","8.00","6.17","4.55","18.75","4.17","10.53","7.50"
"20074","Bergara","7.24","9.01","4.80","5.61","3.29","3.27","4.81","5.36","6.19","7.70","6.02"
"48017","Bermeo","8.51","9.78","8.97","6.07","6.43","8.48","8.51","8.86","9.58","10.10","8.11"
"01016","Bernedo","2.50","6.62","5.17","1.33","4.52","11.98","17.71","18.97","8.57","22.46","6.10"
"48018","Berriatua","2.43","4.28","1.70","3.26","3.80","1.86","1.13","1.64","1.19","1.79","0.51"
"48019","Berriz","6.41","6.78","6.80","7.84","5.66","4.88","7.59","4.96","8.56","10.17","8.09"
"20023","Berrobi","18.87","1.67","13.21","15.22","10.64","5.36","8.33","4.29","4.17","20.00","5.13"
"20024","Bidania-Goiatz","2.78","59.26","8.82","21.05","20.00","29.41","28.57","14.29","11.86","22.22","18.00"
"48020","Bilbao","7.13","7.17","6.55","6.05","5.64","6.28","7.47","8.10","8.29","8.25","6.60"
