"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48001","Abadiño","3.36","3.60","3.58","3.12","4.59","3.06","3.41","0.00","4.62","3.25","3.40","1.50"
"20001","Abaltzisketa","0.00","14.29","0.00","7.69","10.00","7.69","7.69","5.88","6.67","6.67","10.00","0.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","3.12","3.35","3.53","3.51","3.60","3.50","3.40","3.61","2.78","2.74","2.38","3.11"
"20002","Aduna","4.55","3.85","3.85","3.70","4.17","4.76","5.00","5.88","10.00","8.33","8.33","8.33"
"20016","Aia","2.60","2.22","2.06","4.95","4.04","3.49","4.82","2.70","4.17","3.12","2.04","4.35"
"20003","Aizarnazabal","4.88","4.55","4.26","5.26","4.88","4.65","6.06","7.69","4.55","5.00","5.00","7.69"
"48911","Ajangiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20004","Albiztur","13.33","11.11","14.29","11.76","15.38","11.76","14.29","7.14","8.33","11.11","11.11","12.50"
"20005","Alegia","7.14","3.39","5.71","5.56","4.11","4.23","3.23","1.54","3.28","1.79","2.00","2.00"
"01001","Alegría-Dulantzi","4.67","5.41","4.69","3.88","4.73","5.44","4.40","5.04","6.03","5.22","4.72","2.15"
"20006","Alkiza","11.76","10.00","9.52","12.50","15.38","10.00","10.53","9.09","4.55","4.55","5.26","8.33"
"48912","Alonsotegi","3.70","5.19","4.60","4.49","4.60","4.44","4.35","4.49","3.49","4.05","1.59","2.38"
"20906","Altzaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","90.91","0.00","0.00","0.00","0.00"
"20007","Altzo","15.38","18.18","7.69","11.76","13.33","9.52","9.52","8.33","12.50","5.88","5.88","5.00"
"20008","Amezketa","9.52","7.14","5.88","6.67","6.67","7.14","5.56","5.56","2.63","2.70","3.03","5.88"
"48003","Amorebieta-Etxano","5.07","5.34","4.73","5.07","5.05","5.32","5.58","5.21","5.59","4.89","4.74","4.07"
"48004","Amoroto","5.88","0.00","14.29","11.11","10.00","11.11","12.50","14.29","8.33","6.67","5.26","7.14"
"01002","Amurrio","4.63","4.80","4.84","5.30","5.13","4.89","4.41","3.89","4.29","4.90","5.00","3.02"
"20009","Andoain","4.14","4.19","4.58","3.94","4.63","4.16","4.25","4.22","3.42","3.16","3.37","1.71"
"20010","Anoeta","4.23","4.76","5.97","5.80","5.71","5.26","5.41","4.23","4.84","5.17","5.08","1.69"
"20011","Antzuola","4.65","4.21","3.60","3.64","3.67","4.00","4.26","4.40","5.26","4.48","3.08","1.72"
"48005","Arakaldo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20012","Arama","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01003","Aramaio","4.55","7.69","6.98","6.25","6.38","4.65","4.44","4.65","1.96","1.92","2.27","2.38"
"48006","Arantzazu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48093","Areatza","8.82","9.09","7.69","8.33","5.41","4.88","3.12","3.03","3.03","3.03","3.45","3.45"
"20013","Aretxabaleta","4.85","5.04","5.12","5.33","5.33","4.82","4.94","5.65","5.02","5.41","5.39","4.69"
"01006","Armiñón","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01037","Arraia-Maeztu","10.00","9.09","7.69","8.70","11.11","14.29","12.50","23.08","11.11","12.50","13.33","7.69"
"48009","Arrankudiaga","4.17","8.33","5.56","5.41","5.71","2.44","2.94","2.86","4.00","4.35","6.67","7.14"
"20055","Arrasate/Mondragón","5.19","5.19","6.16","6.23","5.51","5.36","5.10","6.17","5.09","4.95","4.79","3.71"
"48914","Arratzu","22.22","25.00","30.00","44.44","30.77","40.00","30.00","33.33","16.67","10.00","20.00","14.29"
"01008","Arratzua-Ubarrundia","12.00","10.00","10.71","10.71","12.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
