"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005"
"48001","Abadiño","11.49","11.57","12.92","7.14","6.56"
"20001","Abaltzisketa","6.13","6.33","6.31","6.58","6.78"
"48002","Abanto y Ciérvana-Abanto Zierbena","6.38","5.18","3.02","3.12","3.02"
"20002","Aduna","9.32","9.98","5.32","5.41","5.43"
"20016","Aia","12.46","12.77","5.39","5.47","5.64"
"20003","Aizarnazabal","7.06","7.47","7.66","7.84","8.14"
"48911","Ajangiz","8.89","8.99","8.99","9.05","9.07"
"20004","Albiztur","6.35","6.41","6.37","6.62","6.83"
"20005","Alegia","4.00","4.04","2.34","2.37","2.39"
"01001","Alegría-Dulantzi","7.00","7.25","6.08","3.04","3.20"
"20006","Alkiza","8.50","8.40","11.53","9.32","9.38"
"48912","Alonsotegi","9.90","9.88","9.89","8.20","7.18"
"20906","Altzaga","6.29","6.21","12.74","6.41","6.54"
"20007","Altzo","10.05","9.95","10.00","10.55","11.14"
"20008","Amezketa","5.03","4.04","4.07","4.19","4.11"
"48003","Amorebieta-Etxano","4.12","4.04","3.86","3.62","3.56"
"48004","Amoroto","4.83","4.90","4.95","4.89","5.05"
"01002","Amurrio","6.97","6.94","5.68","5.97","5.71"
"20009","Andoain","4.30","4.29","3.40","3.45","3.41"
"20010","Anoeta","4.86","4.86","4.42",NA,NA
"20011","Antzuola","2.78","2.77","2.80","2.83","2.89"
"48005","Arakaldo","35.71","31.58","32.26","30.93","31.91"
"20012","Arama","13.76","15.08","10.64","10.87","11.56"
"01003","Aramaio","10.69","10.67","7.39","8.04","8.05"
"48006","Arantzazu","24.62","26.23","9.77","19.67","13.61"
"48093","Areatza","14.89","16.80","11.71","12.04","5.60"
"20013","Aretxabaleta","6.12","2.39","2.11","2.13","2.16"
"01006","Armiñón","17.78","24.15","5.05","10.05","11.17"
"01037","Arraia-Maeztu","32.49","32.39","32.53","19.50","19.23"
"48009","Arrankudiaga","14.13","14.30","12.43","11.79","12.14"
"20055","Arrasate/Mondragón","2.86","2.67","2.59","2.62","2.69"
"48914","Arratzu","29.02","29.33","30.73","25.50","8.55"
"01008","Arratzua-Ubarrundia","23.00","22.80","23.28","23.86","24.36"
"48010","Arrieta","12.54","12.70","7.26","5.43","5.55"
"48011","Arrigorriaga","3.32","2.81","2.82","2.59","2.61"
"48023","Artea","26.32","26.63","30.26","16.15","10.37"
"48008","Artzentales","8.23","8.43","8.45","8.75","8.72"
"01004","Artziniega","14.85","12.65","10.77","10.58","11.04"
"01009","Asparrena","18.45","12.17","15.67","15.84","15.79"
"20014","Asteasu","3.39","3.38","3.36","3.43","3.51"
"20903","Astigarraga","3.19","2.99","2.87","2.74","2.83"
"20015","Ataun","5.39","5.39","5.44","5.63","5.72"
