"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009"
"20030","Eibar","50.44","49.14","48.95","50.32","53.14","54.28","55.32"
"48031","Elantxobe","31.52","29.70","31.52","32.14","36.90","35.23","34.76"
"01021","Elburgo/Burgelu","62.21","62.21","56.30","59.70","58.58","58.43","55.12"
"01022","Elciego","38.95","40.04","39.16","45.96","63.68","66.00","73.36"
"20031","Elduain","64.89","63.83","61.70","62.37","66.67","62.11","62.11"
"20033","Elgeta","55.08","55.08","54.71","54.02","53.29","53.75","55.97"
"20032","Elgoibar","54.68","54.31","53.94","54.66","57.12","57.08","58.22"
"48032","Elorrio","54.66","54.79","55.27","57.37","60.76","62.74","62.90"
"01023","Elvillar/Bilar","47.10","49.03","43.95","50.62","57.49","64.20","79.63"
"48902","Erandio","50.38","48.67","48.45","49.63","53.03","54.59","54.25"
"48033","Ereño","41.96","39.29","42.20","45.13","44.92","41.03","46.02"
"48034","Ermua","51.81","50.41","51.21","50.48","53.81","55.22","55.93"
"20067","Errenteria","50.33","49.35","48.91","49.88","53.81","55.84","57.25"
"20066","Errezil","54.98","53.78","53.33","56.98","56.63","56.73","57.45"
"01046","Erriberagoitia/Ribera Alta","42.97","41.08","41.78","40.71","39.95","39.69","38.64"
"48079","Errigoiti","35.25","33.61","32.94","35.00","36.12","34.22","39.26"
"20034","Eskoriatza","53.49","52.50","52.62","54.76","56.90","57.44","56.74"
"48029","Etxebarri","50.63","48.03","46.05","46.19","46.75","45.28","46.05"
"48030","Etxebarria","81.29","83.63","86.47","88.39","95.45","92.00","94.90"
"20035","Ezkio-Itsaso","48.09","47.71","46.33","46.01","46.83","46.69","48.15"
"48906","Forua","44.10","46.46","43.55","44.64","47.83","49.09","45.75"
"48035","Fruiz","44.95","44.95","44.05","44.39","40.72","42.93","40.74"
"20038","Gabiria","54.79","54.79","50.68","44.50","47.22","52.47","49.55"
"20037","Gaintza","36.92","41.54","51.61","51.56","58.06","50.00","51.61"
"48036","Galdakao","52.49","51.61","50.67","52.55","56.46","57.49","57.62"
"48037","Galdames","38.83","38.83","40.00","38.48","41.27","40.51","39.65"
"48038","Gamiz-Fika","46.70","46.02","46.27","46.69","46.05","48.70","45.80"
"48039","Garai","53.85","50.00","47.06","41.13","38.19","33.79","31.39"
"48040","Gatika","50.58","47.82","48.32","50.52","48.83","49.47","48.56"
"48041","Gautegiz Arteaga","42.11","41.55","43.55","41.69","40.81","41.99","40.05"
"20907","Gaztelu","30.38","30.38","29.49","51.28","51.25","43.53","51.25"
"48046","Gernika-Lumo","52.16","50.96","49.90","51.09","53.79","55.45","54.83"
"20039","Getaria","51.05","49.62","51.20","51.94","52.30","53.87","52.40"
"48044","Getxo","47.91","47.70","47.13","48.51","50.92","51.66","52.06"
"48047","Gizaburuaga","41.11","41.11","41.11","44.32","46.99","44.83","47.06"
"48042","Gordexola","46.23","46.23","44.40","46.11","49.18","49.87","48.99"
"48043","Gorliz","45.63","44.72","43.68","43.78","45.63","46.80","45.53"
"48045","Güeñes","48.77","48.05","46.89","49.21","51.83","52.79","52.46"
"01056","Harana/Valle de Arana","34.62","38.46","36.88","38.13","37.33","38.99","37.80"
"20040","Hernani","53.17","52.78","51.91","53.26","56.52","57.44","58.07"
"20041","Hernialde","51.82","49.64","47.40","51.61","49.38","51.57","49.03"
"20036","Hondarribia","46.97","46.31","45.54","45.99","48.45","47.95","48.55"
"20042","Ibarra","57.29","56.78","55.81","56.66","60.24","60.11","62.42"
"48048","Ibarrangelu","36.93","37.28","36.14","35.82","37.01","37.23","36.56"
"20043","Idiazabal","56.26","56.59","56.46","54.74","56.44","55.10","55.39"
"48094","Igorre","57.72","56.61","56.10","59.24","62.55","61.84","61.70"
"20044","Ikaztegieta","53.77","53.30","53.14","50.49","52.97","54.19","52.17"
"20045","Irun","48.14","47.16","46.74","47.48","50.04","51.31","52.43"
"20046","Irura","59.76","57.03","54.40","54.55","56.01","52.95","50.08"
"01027","Iruraiz-Gauna","52.56","55.13","57.02","55.93","56.10","53.53","56.47"
"01901","Iruña Oka/Iruña de Oca","53.01","50.42","51.66","50.20","52.53","53.12","51.00"
"48049","Ispaster","39.41","40.72","39.94","40.45","40.58","43.97","43.85"
"20047","Itsasondo","53.03","51.14","51.53","50.98","52.85","52.43","48.53"
"48910","Iurreta","49.69","48.93","48.72","49.19","51.52","51.38","51.72"
"48050","Izurtza","50.81","50.81","44.14","38.61","44.37","47.65","59.54"
"48022","Karrantza Harana/Valle de Carranza","38.30","39.72","38.88","40.05","43.83","46.31","46.25"
"48907","Kortezubi","47.89","45.79","42.71","40.43","45.25","43.62","40.98"
"01019","Kripan","45.68","41.98","42.68","44.05","52.38","49.41","59.04"
"01020","Kuartango","40.64","39.57","41.21","45.11","42.55","42.86","44.26"
"01028","Labastida/Bastida","35.97","35.97","34.72","36.79","41.67","40.45","41.25"
"01030","Lagrán","19.77","22.09","23.75","29.27","31.82","30.85","30.77"
"01031","Laguardia","51.21","51.97","50.00","51.85","61.37","60.55","68.15"
"01032","Lanciego/Lantziego","38.39","38.06","38.83","40.07","47.12","52.52","56.36"
"48051","Lanestosa","23.62","22.83","23.20","19.84","25.98","29.84","24.80"
