"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","38.94",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","4.63",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","42.47",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","9.69",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","3.58",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","3.69",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","2.87",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","3.35",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","2.82",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","5.05",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","7.88",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","10.83",NA,NA,NA,NA
"48500","Gernika-Bermeo","5.80",NA,NA,NA,NA
"20500","Goierri","4.31",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","35.97",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","6.63",NA,NA,NA,NA
"48600","Markina-Ondarroa","5.12",NA,NA,NA,NA
"48700","Plentzia-Mungia","6.94",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","4.45",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","5.57",NA,NA,NA,NA
