"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","2.13","1.95","1.93","2.09","1.90","1.73","2.08","1.80","2.38","2.39","2.43","2.49","2.34","2.01"
"01200","Arabako Lautada / Llanada Alavesa","6.76","6.79","6.98","7.24","7.33","7.59","7.98","8.46","8.74","8.75","8.36","8.36","8.22","8.13"
"01300","Arabako Mendialdea / Montaña Alavesa","1.01","1.01","1.00","1.30","1.57","1.26","1.26","1.26","0.95","0.63","0.63","0.63","0.95","0.95"
"48100","Arratia Nerbioi / Arratia-Nervión","4.49","4.28","4.23","4.31","4.52","4.94","4.90","5.18","5.28","5.24","5.28","5.34","5.31","5.03"
"20200","Bidasoa Beherea / Bajo Bidasoa","8.71","9.11","9.29","9.38","9.66","10.17","11.13","11.43","11.91","11.72","11.28","10.63","10.66","10.06"
"48200","Bilbo Handia / Gran Bilbao","7.61","7.81","7.94","8.18","8.48","8.88","9.24","9.70","9.71","9.61","9.05","8.66","8.77","8.27"
"20100","Deba Beherea / Bajo Deba","7.14","7.26","7.38","7.68","8.10","8.54","9.26","9.56","9.69","9.92","9.42","8.75","9.22","8.53"
"20300","Debagoiena / Alto Deba","6.70","6.94","6.93","6.95","7.29","7.61","8.08","8.61","8.92","8.89","8.45","7.91","8.15","7.51"
"20400","Donostialdea / Donostia-San Sebastián","8.54","8.76","8.89","9.07","9.27","9.63","10.13","10.55","11.04","11.11","10.35","9.73","9.87","9.46"
"48300","Durangaldea / Duranguesado","6.85","6.97","7.20","7.52","7.88","7.96","8.19","8.53","8.50","8.24","7.86","7.72","7.97","7.51"
"48400","Enkartazioak / Encartaciones","6.43","6.50","6.48","6.57","6.94","7.03","7.43","7.65","7.51","7.35","6.96","6.08","6.00","5.91"
"01400","Errioxa Arabarra / Rioja Alavesa","3.20","2.85","3.01","3.01","3.07","3.24","3.34","3.19","3.22","3.07","3.10","2.88","2.65","2.32"
"48500","Gernika-Bermeo","7.88","7.79","7.90","8.02","8.39","8.76","9.20","9.70","9.80","9.55","9.24","8.87","9.24","8.71"
"20500","Goierri","6.92","7.17","7.33","7.51","7.57","7.82","8.16","8.64","9.15","9.39","8.50","8.44","8.96","8.37"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","3.80","4.50","6.12","6.57","6.98","7.89","7.68","8.24","8.94","9.62","10.19","10.60","10.97","10.86"
"01600","Kantauri Arabarra / Cantábrica Alavesa","6.36","6.30","6.17","6.22","6.56","6.70","6.97","7.40","7.58","7.75","7.57","7.11","7.44","6.72"
"48600","Markina-Ondarroa","7.22","7.30","7.26","7.37","7.61","7.95","8.06","8.43","8.83","8.56","7.70","7.23","7.74","7.31"
"48700","Plentzia-Mungia","4.90","4.86","4.65","5.08","5.54","5.89","6.05","6.50","6.70","6.28","6.02","5.71","5.85","5.70"
"20600","Tolosaldea / Tolosa","7.37","7.41","7.29","7.48","7.88","7.92","8.46","9.21","9.16","9.17","8.63","8.52","8.81","8.23"
"20700","Urola-Kostaldea / Urola Costa","8.06","8.34","8.21","8.57","9.02","9.06","9.44","9.94","10.29","10.27","9.71","9.34","9.68","9.08"
