"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011"
"01100","Arabako Ibarrak / Valles Alaveses","14.31","12.10","10.30","9.89","11.38"
"01200","Arabako Lautada / Llanada Alavesa","11.72","10.88","10.53","10.11","10.55"
"01300","Arabako Mendialdea / Montaña Alavesa","16.23","13.40","11.40","11.51","13.22"
"48100","Arratia Nerbioi / Arratia-Nervión","12.38","12.09","11.82","11.47","12.40"
"20200","Bidasoa Beherea / Bajo Bidasoa","12.24","12.28","12.17","11.66","11.79"
"48200","Bilbo Handia / Gran Bilbao","10.93","10.76","10.56","10.21","10.39"
"20100","Deba Beherea / Bajo Deba","10.53","10.40","9.93","9.52","9.69"
"20300","Debagoiena / Alto Deba","12.66","12.28","11.78","11.50","11.23"
"20400","Donostialdea / Donostia-San Sebastián","11.88","11.72","11.46","10.97","10.98"
"48300","Durangaldea / Duranguesado","13.07","12.65","12.28","11.72","12.11"
"48400","Enkartazioak / Encartaciones","11.46","11.22","11.23","10.86","12.52"
"01400","Errioxa Arabarra / Rioja Alavesa","24.08","22.31","22.56","20.06","49.52"
"48500","Gernika-Bermeo","12.85","12.92","13.26","13.01","14.09"
"20500","Goierri","10.21","10.25","9.80","9.58","9.88"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","11.70","9.46","8.60","8.07","9.18"
"01600","Kantauri Arabarra / Cantábrica Alavesa","10.89","10.25","10.83","10.35","10.72"
"48600","Markina-Ondarroa","17.01","16.76","16.74","15.75","17.73"
"48700","Plentzia-Mungia","9.16","9.04","8.99","8.75","9.28"
"20600","Tolosaldea / Tolosa","11.37","11.29","11.09","10.51","11.52"
"20700","Urola-Kostaldea / Urola Costa","11.47","11.42","10.79","10.30","11.05"
