"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","-4.43","-0.35","-0.70","-1.56","1.04","-3.47","-0.54","3.48",NA,NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","0.24","-1.13","-1.49","-2.41","-1.18","-4.85","-0.46","2.25",NA,NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","-4.72","-2.33","2.60","-4.76","0.31","-4.41","-0.31","-0.32",NA,NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","1.38","-1.26","-2.43","-3.99","-1.60","-2.13","-0.56","3.83",NA,NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","-0.98","-0.98","-3.13","-4.66","-6.07","-7.66","-2.27","2.13",NA,NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","0.17","-0.40","-3.06","-3.16","-2.13","-5.34","-0.39","2.32",NA,NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","-0.84","-1.60","-1.19","-3.98","-3.65","-3.83","-1.86","-0.84",NA,NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","-1.08","-2.71","-1.02","-3.94","-1.80","-4.28","-0.92","1.64",NA,NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","0.03","-1.78","-2.34","-4.22","-4.28","-6.27","-2.78","0.68",NA,NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","-1.16","-0.90","-2.70","-2.35","-1.44","-3.47","0.86","4.20",NA,NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","0.19","-1.24","-0.68","-2.95","-0.75","-3.73","0.06","3.02",NA,NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","-3.11","-4.70","7.35","-4.05","-1.40","-3.87","-4.78","1.52",NA,NA,NA,NA,NA
"48500","Gernika-Bermeo","-0.09","-1.77","-3.03","-3.92","-2.04","-2.12","-0.68","4.07",NA,NA,NA,NA,NA
"20500","Goierri","-0.81","-2.21","-1.51","-3.02","-3.36","-5.38","-2.07","6.20",NA,NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","-7.49","-2.89","0.92","-2.74","-1.49","-1.28","-2.27","-0.12",NA,NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","-2.03","-0.38","-0.78","-2.08","-1.07","-3.85","-0.56","1.13",NA,NA,NA,NA,NA
"48600","Markina-Ondarroa","-0.73","-1.19","-0.46","-3.51","-2.33","-3.20","-0.52","1.97",NA,NA,NA,NA,NA
"48700","Plentzia-Mungia","-0.18","-0.12","-2.33","-2.53","-1.53","-1.77","0.91","3.56",NA,NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","-1.90","-3.24","-0.89","-5.09","-4.45","-4.40","-1.40","0.28",NA,NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","-0.69","-1.21","-1.12","-3.71","-3.56","-3.16","-0.83","2.00",NA,NA,NA,NA,NA
