"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","27.10","22.70","33.33","33.33","34.19","42.57","37.93","43.03","0.00",NA,NA
"01200","Arabako Lautada / Llanada Alavesa","29.36","29.47","29.18","35.43","35.99","39.13","38.27","44.20","0.00",NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","14.29","27.78","25.00","26.32","37.50","33.33","39.68","44.16","0.00",NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","18.52","16.88","23.15","25.07","27.06","31.17","30.98","37.77","0.00",NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","24.24","24.11","26.68","28.19","32.27","32.69","35.96","40.23","0.00",NA,NA
"48200","Bilbo Handia / Gran Bilbao","27.85","27.69","27.21","31.62","34.86","37.53","39.29","44.69","0.00",NA,NA
"20100","Deba Beherea / Bajo Deba","22.55","28.52","25.84","30.93","34.12","36.80","33.43","37.06","0.00",NA,NA
"20300","Debagoiena / Alto Deba","23.36","20.66","28.05","30.88","28.03","36.78","34.98","35.09","0.00",NA,NA
"20400","Donostialdea / Donostia-San Sebastián","25.97","25.67","27.52","32.22","34.81","36.97","39.00","42.29","0.00",NA,NA
"48300","Durangaldea / Duranguesado","24.05","25.57","26.48","28.21","30.29","31.42","35.06","36.89","0.00",NA,NA
"48400","Enkartazioak / Encartaciones","17.43","21.15","24.37","21.31","19.14","31.96","32.50","36.36","0.00",NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","25.36","28.65","25.74","31.91","27.70","39.30","35.77","39.31","0.00",NA,NA
"48500","Gernika-Bermeo","19.45","20.69","21.49","25.56","26.65","26.32","29.87","31.45","0.00",NA,NA
"20500","Goierri","27.18","27.73","27.95","34.29","35.68","38.25","32.83","38.61","0.00",NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","26.71","33.19","34.43","33.20","42.91","48.73","49.80","51.80","0.00",NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","24.50","26.87","27.07","30.64","31.35","36.07","35.18","41.02","0.00",NA,NA
"48600","Markina-Ondarroa","19.69","25.23","27.62","20.20","19.12","24.71","18.01","21.53","0.00",NA,NA
"48700","Plentzia-Mungia","25.28","25.22","23.89","26.67","26.67","35.15","33.30","35.03","0.00",NA,NA
"20600","Tolosaldea / Tolosa","28.47","26.63","31.72","30.41","34.12","34.56","34.19","35.24","0.00",NA,NA
"20700","Urola-Kostaldea / Urola Costa","25.88","27.52","30.39","29.81","29.42","35.99","38.35","40.16","0.00",NA,NA
