"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"01100","Arabako Ibarrak / Valles Alaveses","15583.93","14617.66","13465.34","14455.66","11201.32","11639.60","10521.16","13065.97",NA,NA,NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","2767.93","2817.63","2844.01","2964.41","3216.65","3062.51","2757.20","3681.68",NA,NA,NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","1760.34","1872.65","1733.10","3057.61","3079.71","3475.31","3631.41","4661.22",NA,NA,NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","2106.08","2155.63","2057.99","2450.08","2498.21","2656.24","2566.44","3001.12",NA,NA,NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","863.79","836.65","778.37","844.72","874.16","876.74","870.22","1042.56",NA,NA,NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","3467.62","3366.91","2850.56","2616.21","3439.40","3696.07","2916.95","4291.92",NA,NA,NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","2408.47","2425.21","2400.11","2611.83","2812.99","2777.08","2543.65","3454.20",NA,NA,NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","8031.80","7921.64","7887.42","8462.36","8571.83","8394.01","9431.38","13635.50",NA,NA,NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","2915.34","2910.83","2907.16","3062.14","3117.61","3173.43","3004.09","3058.88",NA,NA,NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","10905.95","6750.79","8110.97","8517.52","8854.81","8795.77","8069.99","10182.28",NA,NA,NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","3411.47","3595.83","3791.73","4217.28","4256.81","4953.49","6289.78","7431.83",NA,NA,NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","5127.46","4739.59","4411.20","4621.95","4580.48","4424.29","4314.55","4775.53",NA,NA,NA,NA,NA,NA
"48500","Gernika-Bermeo","1300.95","1257.63","1195.29","1306.81","1918.87","1950.11","1769.20","2155.25",NA,NA,NA,NA,NA,NA
"20500","Goierri","19753.20","19500.06","18418.95","19353.67","19798.94","19323.81","15064.38","21720.96",NA,NA,NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","10108.38","10344.29","10444.98","11223.66","13179.07","12474.80","11594.53","16404.41",NA,NA,NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","15526.58","16190.47","14746.42","16165.56","16483.69","15055.50","12701.54","19043.59",NA,NA,NA,NA,NA,NA
"48600","Markina-Ondarroa","3123.90","2937.84","2766.61","2941.35","3002.80","2885.11","2537.02","2991.23",NA,NA,NA,NA,NA,NA
"48700","Plentzia-Mungia","924.75","933.22","921.54","1095.45","1128.06","1166.33","1166.61","1375.26",NA,NA,NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","6185.06","6282.08","6601.56","6842.02","7050.19","7102.96","7640.01","8525.43",NA,NA,NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","3624.53","3671.21","4494.60","5235.93","8188.26","12459.60","14390.19","14935.49",NA,NA,NA,NA,NA,NA
