"Lurralde kodea","Lurralde","2015","2014","2013","2012"
"01100","Arabako Ibarrak / Valles Alaveses","13.89","15.06","15.33","15.52"
"01200","Arabako Lautada / Llanada Alavesa","0.75","0.78","0.77","0.76"
"01300","Arabako Mendialdea / Montaña Alavesa","16.44","17.62","17.82","18.12"
"48100","Arratia Nerbioi / Arratia-Nervión","2.59","2.62","2.69","2.67"
"20200","Bidasoa Beherea / Bajo Bidasoa","0.62","0.66","0.66","0.65"
"48200","Bilbo Handia / Gran Bilbao","0.25","0.25","0.24","0.23"
"20100","Deba Beherea / Bajo Deba","1.14","1.20","1.23","1.27"
"20300","Debagoiena / Alto Deba","0.63","0.60","0.54","0.54"
"20400","Donostialdea / Donostia-San Sebastián","0.49","0.49","0.49","0.47"
"48300","Durangaldea / Duranguesado","0.90","0.93","0.91","0.90"
"48400","Enkartazioak / Encartaciones","4.48","4.66","4.64","4.56"
"01400","Errioxa Arabarra / Rioja Alavesa","29.20","29.66","30.24","30.29"
"48500","Gernika-Bermeo","3.32","3.50","3.69","3.52"
"20500","Goierri","1.18","1.22","1.28","1.28"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","5.02","5.06","5.22","5.29"
"01600","Kantauri Arabarra / Cantábrica Alavesa","2.09","2.09","2.13","2.13"
"48600","Markina-Ondarroa","5.38","5.41","5.63","6.10"
"48700","Plentzia-Mungia","1.68","1.65","1.63","1.67"
"20600","Tolosaldea / Tolosa","1.91","1.92","1.87","1.91"
"20700","Urola-Kostaldea / Urola Costa","2.15","2.15","2.18","2.13"
