"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","7.06","7.83","8.86","8.68","8.89","7.07","5.61","5.61","3.68","2.85",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","10.80","11.96","13.11","12.93","12.85","10.63","9.83","9.16","7.19","5.08",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","7.10","6.76","7.26","8.57","9.09","7.85","6.48","5.57","3.39","3.26",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","7.64","8.71","9.63","9.80","9.98","8.62","8.03","7.66","5.94","4.05",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","9.41","10.86","11.86","11.73","12.20","10.92","10.38","9.86","8.27","6.62",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","11.13","12.19","13.31","13.13","13.23","11.36","10.51","9.48","7.43","5.68",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","9.68","10.76","11.65","10.90","11.22","9.83","9.02","9.18","6.98","4.73",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","7.73","8.47","9.39","9.00","9.05","7.57","7.24","8.11","6.70","4.36",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","7.97","8.89","9.83","10.13","10.30","8.80","8.38","7.96","6.26","5.00",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","8.14","8.95","10.35","10.33","10.54","8.72","8.14","8.81","6.37","3.55",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","12.30","13.54","14.36","13.83","13.92","11.42","9.59","8.67","6.81","5.30",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","11.20","11.90","12.94","12.05","11.41","9.45","7.78","6.98","5.43","3.07",NA,NA,NA,NA
"48500","Gernika-Bermeo","9.28","9.98","10.68","10.64","10.59","8.98","8.04","7.50","6.33","4.28",NA,NA,NA,NA
"20500","Goierri","7.50","7.78","9.06","9.08","9.49","8.22","8.00","7.62","5.34","3.49",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","5.05","5.84","6.00","6.44","6.59","5.69","5.72","5.02","4.68","2.56",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","11.33","12.13","13.41","12.56","12.33","10.30","8.71","8.75","6.78","4.92",NA,NA,NA,NA
"48600","Markina-Ondarroa","7.03","7.99","8.68","8.43","9.46","7.62","7.16","7.34","6.59","3.62",NA,NA,NA,NA
"48700","Plentzia-Mungia","8.43","8.62","9.36","9.39","9.18","8.16","8.00","7.48","5.85","4.51",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","8.38","9.44","10.50","10.10","10.59","8.94","8.64","7.97","6.16","4.88",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","7.48","8.79","9.79","9.93","9.94","8.24","8.02","7.75","5.28","4.14",NA,NA,NA,NA
