"Lurralde kodea","Lurralde","2005","2004","2003","2002"
"01100","Arabako Ibarrak / Valles Alaveses","0.00",NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","0.00",NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","0.00",NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","0.00",NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","0.00",NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","0.00",NA,NA,NA
"20100","Deba Beherea / Bajo Deba","0.00",NA,NA,NA
"20300","Debagoiena / Alto Deba","0.00",NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","0.00",NA,NA,NA
"48300","Durangaldea / Duranguesado","0.00",NA,NA,NA
"48400","Enkartazioak / Encartaciones","0.00",NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","0.00",NA,NA,NA
"48500","Gernika-Bermeo","0.00",NA,NA,NA
"20500","Goierri","0.00",NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","0.00",NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","0.00",NA,NA,NA
"48600","Markina-Ondarroa","0.00",NA,NA,NA
"48700","Plentzia-Mungia","0.00",NA,NA,NA
"20600","Tolosaldea / Tolosa","0.00",NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","0.00",NA,NA,NA
