"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009"
"01100","Arabako Ibarrak / Valles Alaveses","44.29","42.55","41.28","40.89","37.12","37.79","36.25"
"01200","Arabako Lautada / Llanada Alavesa","51.74","50.38","49.51","49.57","49.70","49.15","48.77"
"01300","Arabako Mendialdea / Montaña Alavesa","34.63","34.46","32.88","32.51","33.44","33.41","35.28"
"48100","Arratia Nerbioi / Arratia-Nervión","24.13","23.98","23.73","24.41","24.79","23.71","24.72"
"20200","Bidasoa Beherea / Bajo Bidasoa","29.40","29.13","28.72","29.07","29.63","29.20","30.70"
"48200","Bilbo Handia / Gran Bilbao","45.58","44.57","43.30","43.59","42.88","41.76","41.61"
"20100","Deba Beherea / Bajo Deba","36.29","35.51","34.78","34.84","34.96","33.52","33.89"
"20300","Debagoiena / Alto Deba","54.76","55.12","55.45","55.10","55.56","54.46","53.60"
"20400","Donostialdea / Donostia-San Sebastián","57.01","55.45","54.15","53.90","53.51","52.54","52.09"
"48300","Durangaldea / Duranguesado","55.57","53.47","55.03","54.29","55.08","54.30","53.80"
"48400","Enkartazioak / Encartaciones","20.02","19.93","19.44","19.96","21.48","20.86","18.19"
"01400","Errioxa Arabarra / Rioja Alavesa","45.55","43.34","44.08","44.31","48.96","47.22","46.32"
"48500","Gernika-Bermeo","25.73","24.86","24.14","24.45","25.45","25.52","25.41"
"20500","Goierri","32.44","30.86","30.00","29.85","30.66","28.79","28.22"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","43.85","44.92","45.20","49.15","48.36","48.40","50.18"
"01600","Kantauri Arabarra / Cantábrica Alavesa","28.36","27.75","28.15","29.43","30.78","28.78","28.00"
"48600","Markina-Ondarroa","29.89","29.49","28.04","27.68","28.54","27.12","27.21"
"48700","Plentzia-Mungia","28.76","27.94","27.68","27.60","26.20","24.84","21.11"
"20600","Tolosaldea / Tolosa","32.50","31.57","31.35","32.18","36.15","35.62","35.14"
"20700","Urola-Kostaldea / Urola Costa","30.54","29.79","28.96","29.50","30.07","27.55","27.98"
