"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","1.74",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","0.67",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","0.00",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","2.57",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","1.68",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","0.97",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","3.45",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","2.59",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","1.20",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","1.24",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","3.18",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","1.76",NA,NA,NA,NA
"48500","Gernika-Bermeo","3.91",NA,NA,NA,NA
"20500","Goierri","2.80",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","1.18",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","2.63",NA,NA,NA,NA
"48600","Markina-Ondarroa","6.40",NA,NA,NA,NA
"48700","Plentzia-Mungia","3.53",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","6.54",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","3.31",NA,NA,NA,NA
