"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011"
"01100","Arabako Ibarrak / Valles Alaveses","16.28","11.05","11.78","13.66","13.37"
"01200","Arabako Lautada / Llanada Alavesa","23.12","20.84","19.97","19.39","22.38"
"01300","Arabako Mendialdea / Montaña Alavesa","22.16","22.75","22.44","19.08","22.54"
"48100","Arratia Nerbioi / Arratia-Nervión","16.39","14.76","13.93","15.48","20.52"
"20200","Bidasoa Beherea / Bajo Bidasoa","18.65","16.01","15.11","15.97","19.52"
"48200","Bilbo Handia / Gran Bilbao","16.29","14.86","13.96","14.79","18.89"
"20100","Deba Beherea / Bajo Deba","20.86","17.78","16.21","16.58","19.26"
"20300","Debagoiena / Alto Deba","22.54","17.84","17.43","15.10","20.42"
"20400","Donostialdea / Donostia-San Sebastián","19.58","16.89","15.61","16.15","19.67"
"48300","Durangaldea / Duranguesado","20.60","17.08","15.37","14.44","19.80"
"48400","Enkartazioak / Encartaciones","15.97","15.31","14.12","16.40","20.49"
"01400","Errioxa Arabarra / Rioja Alavesa","14.75","12.76","12.57","17.80","47.17"
"48500","Gernika-Bermeo","15.01","13.35","12.00","12.45","16.55"
"20500","Goierri","20.04","18.64","16.80","16.60","22.45"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","22.50","18.95","16.11","17.26","20.00"
"01600","Kantauri Arabarra / Cantábrica Alavesa","18.86","16.17","15.45","16.96","21.44"
"48600","Markina-Ondarroa","16.82","15.89","13.35","12.52","17.04"
"48700","Plentzia-Mungia","14.26","12.18","11.72","13.02","14.62"
"20600","Tolosaldea / Tolosa","24.82","21.83","19.55","20.62","25.46"
"20700","Urola-Kostaldea / Urola Costa","20.84","17.42","17.06","18.67","21.02"
