"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","21.03","17.18","21.62","21.90","23.93","17.57","13.79","13.33","0.00",NA,NA
"01200","Arabako Lautada / Llanada Alavesa","23.79","23.28","22.78","19.33","15.48","15.03","16.07","14.17","0.00",NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","37.14","36.11","39.29","21.05","15.62","9.52","14.29","7.79","0.00",NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","35.95","30.43","28.52","23.89","21.96","18.44","19.27","16.58","0.00",NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","27.38","25.26","25.49","25.42","20.30","20.01","19.07","17.44","0.00",NA,NA
"48200","Bilbo Handia / Gran Bilbao","23.35","23.45","23.62","20.84","17.26","16.84","16.21","13.40","0.00",NA,NA
"20100","Deba Beherea / Bajo Deba","28.45","26.10","28.76","21.51","18.56","17.60","17.56","16.78","0.00",NA,NA
"20300","Debagoiena / Alto Deba","32.89","31.57","25.19","23.81","23.15","22.00","19.90","19.17","0.00",NA,NA
"20400","Donostialdea / Donostia-San Sebastián","26.48","24.73","23.91","21.08","18.06","17.21","15.32","15.17","0.00",NA,NA
"48300","Durangaldea / Duranguesado","26.54","25.98","26.43","21.72","20.52","19.82","17.81","17.12","0.00",NA,NA
"48400","Enkartazioak / Encartaciones","29.50","29.67","30.38","31.80","17.94","21.13","21.11","18.69","0.00",NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","24.33","19.01","23.08","17.51","20.61","20.59","16.06","13.90","0.00",NA,NA
"48500","Gernika-Bermeo","29.66","32.49","29.27","27.99","23.74","24.51","23.09","23.22","0.00",NA,NA
"20500","Goierri","25.91","22.89","24.09","20.85","19.85","15.69","15.94","17.80","0.00",NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","26.38","20.17","19.81","19.37","15.88","11.39","13.94","12.16","0.00",NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","25.73","26.69","18.97","18.61","13.99","15.23","12.44","14.74","0.00",NA,NA
"48600","Markina-Ondarroa","34.12","30.77","33.33","30.64","38.24","27.53","33.60","32.39","0.00",NA,NA
"48700","Plentzia-Mungia","24.33","23.61","25.82","23.70","23.73","17.31","19.63","16.86","0.00",NA,NA
"20600","Tolosaldea / Tolosa","25.04","26.52","21.70","23.50","17.85","19.17","18.01","15.60","0.00",NA,NA
"20700","Urola-Kostaldea / Urola Costa","26.14","26.86","24.68","21.66","18.91","17.92","17.44","17.25","0.00",NA,NA
