"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","583.30","692.07","612.77","601.08","489.00","460.42","408.17","604.35","572.24",NA,NA
"01200","Arabako Lautada / Llanada Alavesa","451.93","383.27","337.28","326.23","352.39","387.16","334.18","430.35","460.95",NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","262.80","181.91","152.05","177.93","185.83","217.39","184.16","223.03","200.63",NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","344.70","269.55","245.80","253.16","285.88","346.65","352.96","366.23","410.55",NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","280.28","253.74","238.32","218.03","221.74","229.49","217.04","272.72","326.77",NA,NA
"48200","Bilbo Handia / Gran Bilbao","399.23","356.96","321.46","326.94","352.64","378.05","315.44","405.60","431.86",NA,NA
"20100","Deba Beherea / Bajo Deba","262.24","221.38","194.35","177.89","190.34","199.90","168.51","205.86","221.47",NA,NA
"20300","Debagoiena / Alto Deba","280.07","230.79","227.54","220.78","266.46","283.91","211.06","313.75","339.96",NA,NA
"20400","Donostialdea / Donostia-San Sebastián","440.11","381.97","346.42","351.12","374.72","401.33","362.08","450.94","433.11",NA,NA
"48300","Durangaldea / Duranguesado","552.46","440.60","386.20","353.75","396.27","404.31","281.70","443.47","528.90",NA,NA
"48400","Enkartazioak / Encartaciones","302.74","265.51","228.61","222.36","260.89","272.30","231.86","246.58","251.23",NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","1680.90","1656.01","1419.91","1235.52","1128.35","1492.44","896.15","909.86","762.07",NA,NA
"48500","Gernika-Bermeo","240.16","218.24","181.24","188.19","201.97","204.94","181.82","205.65","227.10",NA,NA
"20500","Goierri","218.03","195.55","159.78","149.45","170.70","203.33","163.17","216.31","236.70",NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","323.07","321.16","297.49","337.63","330.93","384.63","294.95","534.48","714.66",NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","554.34","462.35","360.47","358.71","397.19","405.02","340.14","435.39","434.93",NA,NA
"48600","Markina-Ondarroa","306.29","257.39","237.23","249.14","259.36","315.30","303.91","302.68","361.46",NA,NA
"48700","Plentzia-Mungia","254.92","218.29","205.30","209.26","218.62","226.68","203.24","240.16","269.55",NA,NA
"20600","Tolosaldea / Tolosa","379.77","349.47","305.02","276.09","323.31","421.69","338.59","342.66","415.43",NA,NA
"20700","Urola-Kostaldea / Urola Costa","284.17","248.63","225.14","217.34","212.63","227.24","201.26","222.05","227.50",NA,NA
