"Lurralde kodea","Lurralde","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"01100","Arabako Ibarrak / Valles Alaveses","1311.36","1401.10","1358.43","1360.11","1269.96","1276.20","1360.19","1328.67","1393.20","1273.73","1054.98","1050.05","1001.59"
"01200","Arabako Lautada / Llanada Alavesa","1264.83","1299.51","1314.92","1416.61","1333.74","1344.43","1465.15","1361.42","1284.55","1180.89","1035.90","954.55","918.03"
"01300","Arabako Mendialdea / Montaña Alavesa","1080.73","1103.77","1031.82","1029.38","998.46","973.28","1010.86","929.96","825.92","809.45","747.92","639.88","620.70"
"48100","Arratia Nerbioi / Arratia-Nervión","1179.40","1149.25","1133.69","1243.55","1070.45","1196.14","1365.77","1301.31","1160.54","969.49","892.99","829.52","781.56"
"20200","Bidasoa Beherea / Bajo Bidasoa","1106.93","1046.69","1038.31","1007.53","1109.28","995.23","1089.45","1095.64","1024.41","932.91","893.64","843.90","791.23"
"48200","Bilbo Handia / Gran Bilbao","1227.31","1156.37","1168.69","1219.37","1192.92","1248.35","1379.59","1339.51","1187.32","992.41","949.12","876.32","887.70"
"20100","Deba Beherea / Bajo Deba","1085.99","1094.42","1054.27","1017.17","1095.61","1001.66","1076.42","1126.49","1062.10","980.13","963.21","950.85","873.50"
"20300","Debagoiena / Alto Deba","1328.93","1271.73","1240.45","1201.01","1283.48","1212.73","1296.77","1333.87","1236.37","1111.34","1104.51","987.90","900.31"
"20400","Donostialdea / Donostia-San Sebastián","1348.48","1287.45","1297.14","1242.29","1336.68","1226.70","1281.94","1302.23","1171.72","1071.15","1054.98","1035.02","932.20"
"48300","Durangaldea / Duranguesado","1149.06","1085.97","1119.16","1149.58","1148.02","1180.47","1321.05","1249.14","1159.90","968.50","894.72","851.82","866.05"
"48400","Enkartazioak / Encartaciones","1146.00","1023.06","1023.36","1168.80","1022.38","1170.94","1310.15","1293.17","1125.43","985.66","931.13","764.50","790.78"
"01400","Errioxa Arabarra / Rioja Alavesa","1158.97","1187.61","1139.46","1240.23","1257.07","1199.84","1335.01","1307.18","1235.33","1141.31","1127.01","1112.45","1050.61"
"48500","Gernika-Bermeo","1086.95","1009.73","1075.86","1123.64","1058.97","1160.60","1254.09","1253.19","1062.53","1031.45","910.78","935.64","797.46"
"20500","Goierri","1189.07","1127.24","1107.07","1068.91","1085.49","1088.80","1112.03","1129.28","1107.97","1012.93","961.49","930.70","857.95"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","1262.52","1269.96","1214.84","1284.85","1247.95","1267.72","1365.68","1323.82","1311.30","1151.17","1094.21","1084.55","934.26"
"01600","Kantauri Arabarra / Cantábrica Alavesa","1156.44","1200.33","1105.22","1214.32","1143.09","1229.35","1323.31","1353.24","1193.41","1125.51","1064.09","1092.06","897.39"
"48600","Markina-Ondarroa","1089.97","1046.56","1087.19","1122.04","1021.22","1135.56","1311.79","1239.13","1109.65","931.88","897.42","804.44","765.35"
"48700","Plentzia-Mungia","1081.56","1042.36","1086.16","1235.94","1137.21","1073.36","1206.33","1204.75","1112.32","911.52","1014.71","851.74","796.63"
"20600","Tolosaldea / Tolosa","1190.92","1132.06","1114.95","1104.14","1141.94","1104.37","1228.04","1189.55","1170.53","1068.33","984.65","945.15","880.73"
"20700","Urola-Kostaldea / Urola Costa","1223.98","1168.13","1146.62","1158.07","1197.83","1127.60","1167.86","1218.03","1141.62","1058.24","1008.62","965.23","865.91"
