"Lurralde kodea","Lurralde","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","6.97","8.74","8.65","8.67","8.69","8.99","9.09","9.20","9.50","9.62","9.89"
"01200","Arabako Lautada / Llanada Alavesa","7.69","8.76","9.31","9.85","9.99","10.46","10.22","9.75","9.07","8.75","8.87"
"01300","Arabako Mendialdea / Montaña Alavesa","26.39","25.61","25.15","25.25","25.17","25.13","25.20","25.28","25.38","22.08","22.25"
"48100","Arratia Nerbioi / Arratia-Nervión","9.63","10.47","10.52","10.60","10.72","10.79","10.91","11.11","11.71","11.83","11.95"
"20200","Bidasoa Beherea / Bajo Bidasoa","4.74","4.88","5.41","5.81","5.81","5.81","5.70","5.61","5.37","5.30","5.23"
"48200","Bilbo Handia / Gran Bilbao","7.10","8.17","8.62","8.87","9.11","9.37","9.01","8.45","8.03","7.99","7.87"
"20100","Deba Beherea / Bajo Deba","8.26","8.81","9.20","9.43","9.27","9.29","9.13","9.01","8.69","8.68","8.84"
"20300","Debagoiena / Alto Deba","7.64","8.15","8.34","8.40","8.41","8.72","8.59","8.11","8.11","8.10","8.08"
"20400","Donostialdea / Donostia-San Sebastián","8.06","8.37","8.69","8.92","9.01","9.06","8.78","8.30","8.04","8.00","8.01"
"48300","Durangaldea / Duranguesado","6.93","8.34","9.08","9.38","9.31","9.13","8.79","8.58","8.55","8.19","8.35"
"48400","Enkartazioak / Encartaciones","7.44","8.36","8.38","8.50","8.58","8.97","9.05","9.15","9.23","8.94","9.64"
"01400","Errioxa Arabarra / Rioja Alavesa","23.05","24.79","24.50","25.44","27.29","25.69","25.70","25.26","24.94","26.19","26.88"
"48500","Gernika-Bermeo","6.90","7.50","7.50","7.77","7.60","7.85","8.10","8.16","7.76","7.58","7.64"
"20500","Goierri","7.48","7.92","8.21","8.23","8.09","8.42","8.33","8.22","8.32","8.07","7.65"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","9.27","9.17","9.08","9.23","9.40","10.74","10.95","11.10","11.55","11.73","12.07"
"01600","Kantauri Arabarra / Cantábrica Alavesa","6.94","8.68","9.26","9.31","9.93","10.57","9.75","9.50","9.28","9.31","9.67"
"48600","Markina-Ondarroa","6.86","8.33","8.28","8.29","8.28","8.62","8.67","8.75","8.79","8.82","8.81"
"48700","Plentzia-Mungia","4.80","5.54","5.95","6.41","6.68","7.18","7.33","6.30","6.43","6.38","6.75"
"20600","Tolosaldea / Tolosa","6.17","6.60","7.07","7.14","8.02","7.85","8.15","7.59","7.63","7.48","7.49"
"20700","Urola-Kostaldea / Urola Costa","7.80","8.13","8.30","8.35","8.27","8.18","8.02","7.84","7.78","7.86","7.93"
