"Lurralde kodea","Lurralde","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","0.61","0.61","0.59","0.58","0.57","0.56","0.55",NA,NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","0.45","0.45","0.45","0.46","0.46","0.46","0.46",NA,NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","0.57","0.55","0.54","0.54","0.53","0.52","0.51",NA,NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","0.46","0.46","0.47","0.47","0.47","0.46","0.46",NA,NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","0.44","0.44","0.45","0.44","0.44","0.44","0.43",NA,NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","0.42","0.42","0.42","0.42","0.42","0.42","0.42",NA,NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","0.43","0.43","0.43","0.44","0.43","0.43","0.44",NA,NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","0.46","0.46","0.47","0.47","0.47","0.47","0.47",NA,NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","0.41","0.41","0.42","0.42","0.42","0.42","0.42",NA,NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","0.46","0.45","0.46","0.46","0.46","0.45","0.45",NA,NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","0.47","0.47","0.47","0.47","0.47","0.47","0.46",NA,NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","0.51","0.50","0.50","0.49","0.49","0.48","0.48",NA,NA,NA,NA,NA
"48500","Gernika-Bermeo","0.45","0.44","0.45","0.45","0.45","0.44","0.44",NA,NA,NA,NA,NA
"20500","Goierri","0.45","0.45","0.46","0.45","0.45","0.45","0.45",NA,NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","0.58","0.57","0.55","0.55","0.55","0.55","0.54",NA,NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","0.47","0.47","0.48","0.47","0.47","0.47","0.47",NA,NA,NA,NA,NA
"48600","Markina-Ondarroa","0.42","0.42","0.42","0.42","0.42","0.42","0.42",NA,NA,NA,NA,NA
"48700","Plentzia-Mungia","0.51","0.51","0.51","0.51","0.51","0.51","0.51",NA,NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","0.44","0.43","0.44","0.44","0.44","0.43","0.44",NA,NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","0.41","0.41","0.41","0.41","0.41","0.41","0.41",NA,NA,NA,NA,NA
