"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","-1.04","5.48","2.24","-4.74","8.23","15.83","-7.40","3.33","3.92","2.99",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","1.60","-0.11","1.55","-3.05","-2.64","-2.06","-3.30","1.07","2.91","3.95",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","-7.82","7.80","1.28","-0.07","8.66","-2.78","-0.15","5.54","5.78","-0.91",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","-3.90","-0.34","-3.19","-1.96","-0.78","-3.65","-5.63","-1.49","0.11","5.70",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","0.96","0.01","-1.23","-1.05","-0.80","-3.73","-6.49","-2.63","3.15","4.93",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","0.65","-0.90","-1.11","-2.46","-3.19","-2.07","-5.34","2.14","2.91","4.71",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","0.97","-0.60","0.37","-1.96","0.66","-1.78","-5.63","-0.94","1.02","1.89",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","-0.57","-4.68","2.05","1.93","-3.43","-1.07","-3.50","-1.90","-1.31","1.25",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","1.90","0.32","-0.75","-1.98","-2.38","-2.51","-3.96","1.11","1.67","6.19",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","3.72","-1.92","-0.40","-0.40","0.90","0.12","-7.91","0.56","4.10","2.40",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","-1.49","0.03","-4.12","-2.01","-1.05","5.03","-2.76","-1.67","3.66","4.50",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","5.83","1.18","-2.41","2.66","13.08","-1.09","-4.65","-1.03","2.64","5.26",NA,NA,NA,NA
"48500","Gernika-Bermeo","1.69","0.32","-2.37","-2.23","6.60","-1.33","-6.84","-0.50","4.56","0.82",NA,NA,NA,NA
"20500","Goierri","-0.22","1.57","-0.30","-1.82","0.34","-1.56","-8.13","1.11","4.64","4.68",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","0.44","-5.08","-3.69","-4.28","-1.52","-2.92","-7.98","-0.75","-2.63","-0.10",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","1.45","-3.94","-2.92","-1.90","2.26","-0.09","-5.89","2.00","-2.75","5.70",NA,NA,NA,NA
"48600","Markina-Ondarroa","1.22","2.16","-2.30","1.37","7.44","0.99","-6.93","-1.97","2.65","3.06",NA,NA,NA,NA
"48700","Plentzia-Mungia","8.85","-7.83","2.69","-2.56","-0.26","-0.95","0.55","2.16","3.61","6.16",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","1.44","-0.54","-0.96","-2.21","1.52","-2.34","-4.64","2.51","3.50","5.06",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","1.90","0.28","-1.51","-2.79","2.12","-3.29","-3.93","-0.74","3.16","5.59",NA,NA,NA,NA
