"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","228.47","251.18","209.14","210.85","198.79","206.42","218.67","315.53",NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","137.83","126.99","117.21","117.62","128.92","132.72","133.24","173.34",NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","128.03","88.79","76.02","77.70","85.98","136.74","101.76","124.92",NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","98.20","86.56","73.53","77.61","86.93","96.13","109.28","141.45",NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","89.74","83.93","77.69","78.84","82.42","82.84","86.23","109.25",NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","121.82","113.07","103.69","103.21","114.60","116.05","113.74","140.94",NA,NA,NA
"20100","Deba Beherea / Bajo Deba","96.51","86.88","74.85","73.33","80.28","82.12","82.93","98.89",NA,NA,NA
"20300","Debagoiena / Alto Deba","106.59","94.18","93.23","95.05","107.21","99.63","88.95","125.82",NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","135.88","123.89","115.01","115.33","124.19","125.03","127.98","160.11",NA,NA,NA
"48300","Durangaldea / Duranguesado","134.13","123.18","105.93","105.92","121.07","119.61","101.51","152.48",NA,NA,NA
"48400","Enkartazioak / Encartaciones","71.68","65.97","57.80","60.50","83.77","82.03","80.38","86.56",NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","677.97","696.14","626.24","557.47","573.16","582.51","559.32","614.41",NA,NA,NA
"48500","Gernika-Bermeo","87.53","83.73","68.98","69.24","72.20","76.46","82.78","91.09",NA,NA,NA
"20500","Goierri","89.27","83.45","71.36","70.78","77.86","87.16","86.26","118.83",NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","122.33","123.96","124.83","158.21","162.55","163.68","149.58","223.20",NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","108.79","103.20","95.69","101.28","117.01","126.82","121.57","162.54",NA,NA,NA
"48600","Markina-Ondarroa","117.33","101.51","96.04","95.46","98.70","101.82","92.28","114.01",NA,NA,NA
"48700","Plentzia-Mungia","84.69","78.35","77.89","76.83","78.81","80.91","87.89","107.64",NA,NA,NA
"20600","Tolosaldea / Tolosa","111.31","99.00","93.78","94.74","106.42","102.12","97.88","136.08",NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","105.17","97.58","85.65","85.82","84.73","85.30","90.08","109.96",NA,NA,NA
