"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","28.50","39.26","37.84","33.33","23.93","35.14","32.76","35.76","0.00",NA,NA
"01200","Arabako Lautada / Llanada Alavesa","51.45","51.90","50.15","48.17","45.89","44.51","49.95","46.52","0.00",NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","51.43","58.33","53.57","26.32","40.62","61.90","57.14","58.44","0.00",NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","38.34","39.64","36.91","40.41","29.02","40.00","40.00","37.11","0.00",NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","49.98","49.70","49.79","46.32","43.15","46.42","45.96","47.24","0.00",NA,NA
"48200","Bilbo Handia / Gran Bilbao","52.06","53.70","55.54","51.82","46.95","48.34","49.46","49.69","0.00",NA,NA
"20100","Deba Beherea / Bajo Deba","47.89","51.57","51.35","45.47","42.47","53.25","38.99","36.81","0.00",NA,NA
"20300","Debagoiena / Alto Deba","53.12","51.82","56.62","49.39","41.42","51.92","52.41","49.90","0.00",NA,NA
"20400","Donostialdea / Donostia-San Sebastián","53.63","54.44","55.46","51.58","48.54","49.82","49.66","50.26","0.00",NA,NA
"48300","Durangaldea / Duranguesado","40.45","41.86","43.70","41.23","39.23","44.11","49.16","37.70","0.00",NA,NA
"48400","Enkartazioak / Encartaciones","61.69","49.45","57.59","52.46","65.55","45.36","52.78","47.73","0.00",NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","31.96","44.01","38.46","29.96","36.49","33.42","39.78","30.04","0.00",NA,NA
"48500","Gernika-Bermeo","47.17","37.00","40.78","45.03","39.11","38.58","43.58","38.21","0.00",NA,NA
"20500","Goierri","50.04","51.00","51.14","43.81","38.94","35.44","45.35","39.36","0.00",NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","38.44","35.71","40.57","35.97","34.12","46.20","45.02","38.74","0.00",NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","43.49","41.46","36.28","42.86","34.73","32.94","35.55","33.08","0.00",NA,NA
"48600","Markina-Ondarroa","39.90","49.85","43.17","42.42","36.47","43.53","46.24","38.83","0.00",NA,NA
"48700","Plentzia-Mungia","49.35","50.18","52.67","46.79","34.93","42.31","45.09","43.91","0.00",NA,NA
"20600","Tolosaldea / Tolosa","43.62","49.02","49.06","38.13","37.82","40.51","43.50","37.92","0.00",NA,NA
"20700","Urola-Kostaldea / Urola Costa","47.14","46.36","49.35","43.74","39.58","39.68","47.74","40.16","0.00",NA,NA
