"Lurralde kodea","Lurralde","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","92.59","100.00","62.86","74.29","80.00","80.00","60.00","68.57","56.00"
"01200","Arabako Lautada / Llanada Alavesa","91.89","83.47","82.04","85.75","87.24","93.85","95.40","95.56","91.25"
"01300","Arabako Mendialdea / Montaña Alavesa","100.00","78.95","80.95","76.19","100.00","100.00","100.00","44.44","66.67"
"48100","Arratia Nerbioi / Arratia-Nervión","45.12","46.34","30.91","26.36","87.06","17.65","30.00","30.00","26.67"
"20200","Bidasoa Beherea / Bajo Bidasoa","82.88","85.52","86.55","80.32","82.33","68.58","69.84","84.50","90.48"
"48200","Bilbo Handia / Gran Bilbao","90.87","89.91","82.18","74.96","76.60","84.47","88.69","83.59","79.67"
"20100","Deba Beherea / Bajo Deba","95.24","91.94","84.82","89.22","83.46","79.53","94.68","92.71","100.00"
"20300","Debagoiena / Alto Deba","90.18","78.28","95.34","91.01","90.59","95.42","89.33","89.52","92.00"
"20400","Donostialdea / Donostia-San Sebastián","92.45","91.55","91.41","93.09","92.19","95.45","94.71","93.89","95.96"
"48300","Durangaldea / Duranguesado","83.80","84.92","72.06","81.03","71.51","67.60","99.18","84.89","78.99"
"48400","Enkartazioak / Encartaciones","51.89","55.66","45.37","60.27","70.42","67.53","68.42","66.20","60.00"
"01400","Errioxa Arabarra / Rioja Alavesa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48500","Gernika-Bermeo","84.62","76.04","73.63","66.30","82.89","92.47","81.01","84.81","70.93"
"20500","Goierri","94.57","92.58","86.14","80.42","95.79","92.75","86.17","88.83","100.00"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","90.00","96.77","87.10","80.77","100.00","100.00","100.00","80.00","80.00"
"01600","Kantauri Arabarra / Cantábrica Alavesa","88.06","93.85","96.36","81.82","83.64","92.73","94.55","72.73","60.00"
"48600","Markina-Ondarroa","53.19","51.06","53.19","42.55","44.68","74.07","77.78","100.00","100.00"
"48700","Plentzia-Mungia","100.00","91.67","86.67","86.67","73.33","95.56","77.78","84.44","71.11"
"20600","Tolosaldea / Tolosa","74.58","72.73","78.36","82.71","70.40","87.91","61.76","79.01","68.24"
"20700","Urola-Kostaldea / Urola Costa","93.43","82.06","80.95","79.50","82.74","82.29","82.25","81.48","95.18"
