"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"01100","Arabako Ibarrak / Valles Alaveses","0.78","0.78","0.67","0.67","0.67","0.67","0.68","0.68",NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","1.40","1.40","1.40","1.40","1.36","1.37","1.37","1.39",NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","0.31","0.31","0.31","0.31","0.31","0.31","0.31","0.32",NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","0.81","0.81","0.81","0.80","0.80","0.80","0.80","0.72",NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","2.90","1.67","1.67","1.66","1.65","1.65","2.54","2.53",NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","4.33","4.05","4.04","3.94","3.78","3.60","3.55","3.54",NA,NA,NA
"20100","Deba Beherea / Bajo Deba","1.07","1.07","1.07","1.04","1.04","1.04","1.13","1.13",NA,NA,NA
"20300","Debagoiena / Alto Deba","0.62","0.62","0.62","0.62","0.52","0.52","0.57","0.65",NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","2.26","2.43","2.43","2.31","2.30","2.02","1.63","1.65",NA,NA,NA
"48300","Durangaldea / Duranguesado","1.33","1.30","1.30","1.30","1.27","1.17","1.15","1.15",NA,NA,NA
"48400","Enkartazioak / Encartaciones","0.76","0.77","0.75","0.71","0.71","0.71","0.71","0.70",NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","0.43","0.43","0.43","0.42","0.41","0.39","0.40","0.40",NA,NA,NA
"48500","Gernika-Bermeo","1.06","0.98","0.66","0.66","0.66","0.64","0.64","0.65",NA,NA,NA
"20500","Goierri","0.77","0.75","0.75","0.75","0.78","0.71","0.79","0.79",NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","0.67","0.66","0.65","0.65","0.63","0.64","0.64","0.64",NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","0.56","0.56","0.56","0.56","0.55","0.54","0.55","0.54",NA,NA,NA
"48600","Markina-Ondarroa","0.83","0.83","0.83","0.79","0.79","0.79","0.79","0.79",NA,NA,NA
"48700","Plentzia-Mungia","1.55","1.46","1.46","1.46","1.45","1.42","1.48","1.44",NA,NA,NA
"20600","Tolosaldea / Tolosa","0.68","0.67","0.66","0.64","0.63","0.61","0.61","0.78",NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","0.70","0.69","0.69","0.67","0.67","0.66","0.81","0.81",NA,NA,NA
