"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"01100","Arabako Ibarrak / Valles Alaveses","5.83","5.84","5.82","6.04","6.00","5.97","5.96","5.91","5.68","5.48","5.36","5.32"
"01200","Arabako Lautada / Llanada Alavesa","39.51","39.30","39.21","33.70","33.99","33.72","33.00","32.40","31.76","30.39","30.27","29.58"
"01300","Arabako Mendialdea / Montaña Alavesa","8.36","8.34","8.44","9.12","9.08","8.99","8.70","8.57","8.45","8.22","8.13","8.00"
"48100","Arratia Nerbioi / Arratia-Nervión","15.07","14.50","14.62","15.23","15.38","16.03","14.88","14.77","13.15","13.53","14.41","23.23"
"20200","Bidasoa Beherea / Bajo Bidasoa","44.50","44.20","45.49","48.68","43.28","42.85","42.84","42.36","42.13","41.53","41.11","60.31"
"48200","Bilbo Handia / Gran Bilbao","83.68","83.77","81.44","78.54","77.15","76.88","76.77","76.95","76.44","76.04","71.50","75.36"
"20100","Deba Beherea / Bajo Deba","91.57","91.54","94.02","86.14","84.25","84.19","82.55","80.75","97.28","95.66","95.29","96.49"
"20300","Debagoiena / Alto Deba","50.36","50.32","52.43","54.58","50.35","49.74","50.26","49.57","47.83","46.87","69.74","69.06"
"20400","Donostialdea / Donostia-San Sebastián","63.47","62.59","62.99","63.75","61.70","63.59","62.29","63.88","67.68","66.90","65.37","67.19"
"48300","Durangaldea / Duranguesado","41.42","41.21","41.30","38.81","38.52","37.43","37.10","35.06","36.01","35.87","37.38","45.81"
"48400","Enkartazioak / Encartaciones","14.80","14.41","14.53","12.13","12.08","12.14","12.11","12.12","11.84","11.87","11.87","11.65"
"01400","Errioxa Arabarra / Rioja Alavesa","16.13","16.12","15.94","14.24","14.94","14.97","14.60","14.26","13.98","13.87","13.77","13.21"
"48500","Gernika-Bermeo","27.30","27.89","28.08","27.77","27.91","27.96","27.98","27.94","27.23","26.43","26.14","31.15"
"20500","Goierri","61.33","61.17","61.83","58.81","59.75","59.23","53.70","57.18","55.18","52.77","55.73","56.21"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","6.56","6.27","6.36","6.04","5.96","5.78","5.74","5.69","5.48","4.74","4.58","4.57"
"01600","Kantauri Arabarra / Cantábrica Alavesa","24.25","24.22","24.11","23.74","26.48","26.37","26.99","26.86","22.66","22.13","21.75","22.99"
"48600","Markina-Ondarroa","44.12","43.79","38.87","38.68","38.30","38.15","37.75","39.61","38.90","38.68","38.26","45.03"
"48700","Plentzia-Mungia","15.30","15.22","14.04","14.67","14.49","14.26","14.23","14.10","13.70","13.31","13.00","14.12"
"20600","Tolosaldea / Tolosa","56.17","56.16","57.58","54.59","52.47","52.37","56.17","57.67","57.63","57.76","58.74","59.22"
"20700","Urola-Kostaldea / Urola Costa","64.46","64.45","63.78","60.63","58.14","57.67","56.91","60.16","62.28","65.00","65.53","66.93"
