"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011"
"01100","Arabako Ibarrak / Valles Alaveses","14.97","16.37","16.10","16.39","14.55"
"01200","Arabako Lautada / Llanada Alavesa","23.10","23.39","23.34","23.03","22.27"
"01300","Arabako Mendialdea / Montaña Alavesa","13.17","13.40","14.13","12.60","12.63"
"48100","Arratia Nerbioi / Arratia-Nervión","24.58","24.23","23.75","22.97","22.20"
"20200","Bidasoa Beherea / Bajo Bidasoa","20.97","21.25","21.07","20.77","20.23"
"48200","Bilbo Handia / Gran Bilbao","27.43","27.48","27.49","27.12","26.23"
"20100","Deba Beherea / Bajo Deba","21.25","20.97","20.81","20.60","20.12"
"20300","Debagoiena / Alto Deba","23.64","23.75","23.55","23.30","22.77"
"20400","Donostialdea / Donostia-San Sebastián","27.23","27.13","27.22","27.04","26.27"
"48300","Durangaldea / Duranguesado","21.74","21.34","21.17","20.81","20.11"
"48400","Enkartazioak / Encartaciones","18.74","19.08","18.61","17.54","16.71"
"01400","Errioxa Arabarra / Rioja Alavesa","14.16","14.06","14.13","12.55","8.85"
"48500","Gernika-Bermeo","29.13","29.21","29.11","28.10","27.17"
"20500","Goierri","21.57","21.30","21.33","20.95","20.05"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","28.32","28.85","30.23","29.72","28.99"
"01600","Kantauri Arabarra / Cantábrica Alavesa","20.76","21.04","20.21","19.91","19.31"
"48600","Markina-Ondarroa","27.47","27.38","27.32","27.03","25.93"
"48700","Plentzia-Mungia","33.15","33.27","33.29","32.33","31.45"
"20600","Tolosaldea / Tolosa","22.23","21.61","21.27","20.77","20.23"
"20700","Urola-Kostaldea / Urola Costa","24.94","24.79","24.48","24.00","23.30"
