"Lurralde kodea","Lurralde","2015","2014","2013","2011","2010","2006","2001","1996","1991"
"01100","Arabako Ibarrak / Valles Alaveses","58.10","57.20","56.40","56.00","56.60","54.37","56.06","50.84","64.65"
"01200","Arabako Lautada / Llanada Alavesa","32.00","31.10","30.40","30.20","30.10","29.16","27.91","25.02","23.37"
"01300","Arabako Mendialdea / Montaña Alavesa","46.30","45.40","44.70","44.50","43.50","40.83","42.08","31.36","44.99"
"48100","Arratia Nerbioi / Arratia-Nervión","43.30","42.30","41.40","41.60","41.00","39.24","38.44","35.93","40.14"
"20200","Bidasoa Beherea / Bajo Bidasoa","40.00","39.20","38.20","37.80","36.70","34.35","33.31","30.78","28.35"
"48200","Bilbo Handia / Gran Bilbao","44.60","43.80","42.90","42.20","41.30","39.07","36.73","33.30","30.87"
"20100","Deba Beherea / Bajo Deba","45.20","44.10","43.20","42.50","42.40","40.77","39.09","35.16","35.91"
"20300","Debagoiena / Alto Deba","38.50","37.50","36.80","36.20","36.40","34.97","31.67","28.51","30.43"
"20400","Donostialdea / Donostia-San Sebastián","44.60","43.90","43.10","42.40","41.80","39.74","37.58","35.02","34.60"
"48300","Durangaldea / Duranguesado","37.60","36.80","36.00","35.60","35.50","33.25","31.50","28.86","28.10"
"48400","Enkartazioak / Encartaciones","47.10","46.20","45.60","44.80","44.60","43.58","41.90","38.74","40.94"
"01400","Errioxa Arabarra / Rioja Alavesa","51.10","50.20","49.50","48.90","48.60","46.23","43.91","41.27","40.13"
"48500","Gernika-Bermeo","46.40","45.50","44.50","44.40","44.70","43.12","40.75","37.40","34.22"
"20500","Goierri","42.30","41.50","40.70","40.00","39.50","37.49","35.69","32.90","33.61"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","39.90","39.00","38.30","38.10","38.60","37.12","35.83","36.48","37.38"
"01600","Kantauri Arabarra / Cantábrica Alavesa","38.90","37.90","36.90","36.20","37.50","35.59","34.31","29.92","28.69"
"48600","Markina-Ondarroa","45.50","44.50","43.60","42.70","41.50","40.11","37.59","34.81","36.24"
"48700","Plentzia-Mungia","35.80","35.00","34.20","33.70","32.80","31.21","28.67","27.12","27.25"
"20600","Tolosaldea / Tolosa","43.20","42.40","41.80","41.00","41.40","39.44","37.22","35.25","37.08"
"20700","Urola-Kostaldea / Urola Costa","37.50","36.50","35.70","35.00","34.20","31.80","28.98","27.83","30.43"
