"Lurralde kodea","Lurralde","2008","2007","2006"
"01100","Arabako Ibarrak / Valles Alaveses","2.08",NA,NA
"01200","Arabako Lautada / Llanada Alavesa","0.66",NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","0.00",NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","0.90",NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","0.21",NA,NA
"48200","Bilbo Handia / Gran Bilbao","0.56",NA,NA
"20100","Deba Beherea / Bajo Deba","0.71",NA,NA
"20300","Debagoiena / Alto Deba","1.10",NA,NA
"20400","Donostialdea / Donostia-San Sebastián","0.37",NA,NA
"48300","Durangaldea / Duranguesado","0.96",NA,NA
"48400","Enkartazioak / Encartaciones","0.47",NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","1.11",NA,NA
"48500","Gernika-Bermeo","0.54",NA,NA
"20500","Goierri","0.64",NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","2.42",NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","1.03",NA,NA
"48600","Markina-Ondarroa","0.54",NA,NA
"48700","Plentzia-Mungia","0.63",NA,NA
"20600","Tolosaldea / Tolosa","0.70",NA,NA
"20700","Urola-Kostaldea / Urola Costa","0.54",NA,NA
