"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","10.99","10.46","10.86","10.47","11.47","9.52","10.76","0.00","11.39","11.96","11.22","11.28","11.70","12.05"
"01200","Arabako Lautada / Llanada Alavesa","5.92","5.88","6.05","6.13","6.16","6.34","6.43","0.00","6.59","6.54","5.88","6.30","6.28","6.38"
"01300","Arabako Mendialdea / Montaña Alavesa","11.79","12.13","13.63","13.00","12.05","12.28","12.29","0.00","10.69","10.43","10.45","10.44","9.82","10.50"
"48100","Arratia Nerbioi / Arratia-Nervión","6.96","7.22","7.37","7.45","7.77","7.77","7.63","7.98","7.99","8.00","7.52","8.19","8.05","8.08"
"20200","Bidasoa Beherea / Bajo Bidasoa","6.14","6.31","6.29","6.22","6.47","6.51","6.64","6.85","6.91","7.05","6.69","6.44","6.60","6.70"
"48200","Bilbo Handia / Gran Bilbao","6.51","6.58","6.60","6.61","6.75","6.85","6.91","7.17","7.20","7.16","6.79","6.92","7.00","6.96"
"20100","Deba Beherea / Bajo Deba","5.70","5.79","5.67","5.90","6.03","5.95","6.10","6.45","6.53","6.57","6.25","6.32","6.38","6.40"
"20300","Debagoiena / Alto Deba","5.18","5.25","5.21","5.34","5.43","5.42","5.57","5.70","5.65","5.68","5.39","5.49","5.69","5.66"
"20400","Donostialdea / Donostia-San Sebastián","6.56","6.53","6.51","6.56","6.60","6.70","6.81","6.97","7.02","7.04","6.46","6.80","6.92","6.93"
"48300","Durangaldea / Duranguesado","5.73","5.67","5.78","5.64","5.80","5.93","6.02","6.07","6.06","6.01","5.74","6.04","6.21","6.27"
"48400","Enkartazioak / Encartaciones","6.81","6.93","7.04","6.73","6.88","7.00","7.18","7.69","7.59","7.58","7.74","7.83","7.73","7.28"
"01400","Errioxa Arabarra / Rioja Alavesa","11.48","11.92","12.14","12.40","12.59","11.39","10.90","0.00","10.46","10.02","9.04","9.02","9.48","9.65"
"48500","Gernika-Bermeo","7.14","7.10","7.26","7.24","7.35","7.21","7.30","7.59","7.74","7.54","7.41","7.67","7.72","7.72"
"20500","Goierri","5.47","5.63","5.65","5.69","5.73","5.79","5.93","6.10","6.21","6.32","5.74","6.23","6.24","6.35"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","7.15","7.61","8.43","8.53","8.78","7.89","8.38","0.00","9.16","9.38","9.31","9.83","9.52","9.23"
"01600","Kantauri Arabarra / Cantábrica Alavesa","5.51","5.31","5.42","5.32","5.18","5.48","5.60","5.93","6.01","5.91","5.67","5.88","6.24","6.38"
"48600","Markina-Ondarroa","7.80","7.91","8.03","7.86","8.31","8.21","8.40","8.62","8.57","8.41","7.89","8.34","8.36","8.19"
"48700","Plentzia-Mungia","6.08","6.23","6.37","6.43","6.65","6.91","7.23","7.52","7.71","7.75","7.52","7.60","7.67","8.00"
"20600","Tolosaldea / Tolosa","5.59","5.55","5.69","5.91","5.98","6.02","6.12","6.60","6.59","6.57","6.19","6.70","6.74","6.78"
"20700","Urola-Kostaldea / Urola Costa","6.66","6.53","6.37","6.48","6.62","6.48","6.94","7.06","7.09","7.34","6.86","7.05","7.27","7.25"
