"Lurralde kodea","Lurralde","2009","2008","2007"
"01100","Arabako Ibarrak / Valles Alaveses","0.00",NA,NA
"01200","Arabako Lautada / Llanada Alavesa","26.00",NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","0.00",NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","0.00",NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","13.00",NA,NA
"48200","Bilbo Handia / Gran Bilbao","96.00",NA,NA
"20100","Deba Beherea / Bajo Deba","3.00",NA,NA
"20300","Debagoiena / Alto Deba","3.00",NA,NA
"20400","Donostialdea / Donostia-San Sebastián","48.00",NA,NA
"48300","Durangaldea / Duranguesado","3.00",NA,NA
"48400","Enkartazioak / Encartaciones","2.00",NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","0.00",NA,NA
"48500","Gernika-Bermeo","2.00",NA,NA
"20500","Goierri","6.00",NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","14.00",NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","1.00",NA,NA
"48600","Markina-Ondarroa","2.00",NA,NA
"48700","Plentzia-Mungia","1.00",NA,NA
"20600","Tolosaldea / Tolosa","2.00",NA,NA
"20700","Urola-Kostaldea / Urola Costa","3.00",NA,NA
