"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009"
"01100","Arabako Ibarrak / Valles Alaveses","32.69","31.55","31.09","31.67","32.66","31.95","31.72"
"01200","Arabako Lautada / Llanada Alavesa","48.58","47.66","47.27","48.07","49.18","49.56","49.75"
"01300","Arabako Mendialdea / Montaña Alavesa","38.75","38.60","37.30","37.52","38.34","38.45","39.09"
"48100","Arratia Nerbioi / Arratia-Nervión","46.84","45.70","44.88","45.51","47.03","46.20","46.31"
"20200","Bidasoa Beherea / Bajo Bidasoa","44.50","43.52","42.92","43.07","44.46","44.52","44.86"
"48200","Bilbo Handia / Gran Bilbao","44.23","43.41","42.72","43.43","44.43","44.47","44.65"
"20100","Deba Beherea / Bajo Deba","46.72","45.60","44.86","45.43","47.18","46.87","47.15"
"20300","Debagoiena / Alto Deba","49.39","48.54","49.01","49.50","51.52","51.67","51.60"
"20400","Donostialdea / Donostia-San Sebastián","47.75","46.72","46.11","46.52","47.72","47.77","48.36"
"48300","Durangaldea / Duranguesado","49.40","48.08","47.46","47.96","49.81","49.75","49.10"
"48400","Enkartazioak / Encartaciones","41.18","40.51","39.53","40.11","41.82","42.58","42.60"
"01400","Errioxa Arabarra / Rioja Alavesa","36.56","35.85","35.26","37.44","46.73","46.13","49.50"
"48500","Gernika-Bermeo","42.92","42.05","41.27","41.80","43.37","42.74","42.30"
"20500","Goierri","49.48","48.32","47.82","47.69","49.73","48.55","48.52"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","49.26","48.45","47.96","47.61","47.52","46.45","45.91"
"01600","Kantauri Arabarra / Cantábrica Alavesa","46.65","45.90","46.18","47.05","48.79","48.39","48.38"
"48600","Markina-Ondarroa","44.95","44.31","42.95","42.87","44.82","43.78","43.62"
"48700","Plentzia-Mungia","47.70","46.27","45.71","45.89","46.15","45.96","45.46"
"20600","Tolosaldea / Tolosa","50.99","49.55","49.03","49.31","51.31","51.14","51.62"
"20700","Urola-Kostaldea / Urola Costa","48.11","46.58","46.22","47.03","48.67","47.91","48.02"
