"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","6.97","6.95","7.70","8.46","31.59","41.98","59.36","65.97","88.96","71.56",NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","15.88","23.31","35.99","48.69","65.53","72.99","72.96","74.17","74.41","52.73",NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","5.17","9.88","20.84","28.33","35.92","51.72","56.80","49.34","52.31","47.98",NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","5.17","16.84","19.07","22.52","27.92","33.83","36.67","38.53","42.82","36.72",NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","12.73","14.58","12.09","15.33","15.38","14.17","11.55","16.07","18.36","16.99",NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","7.40","7.37","6.96","7.50","10.74","12.31","16.04","19.79","21.96","22.25",NA,NA,NA
"20100","Deba Beherea / Bajo Deba","6.54","6.86","8.87","12.57","12.53","20.99","30.86","33.47","32.42","30.73",NA,NA,NA
"20300","Debagoiena / Alto Deba","4.45","8.97","11.54","15.08","29.33","41.84","44.22","44.91","48.02","32.50",NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","8.30","10.90","12.23","14.18","16.74","19.44","21.02","22.93","24.76","22.15",NA,NA,NA
"48300","Durangaldea / Duranguesado","12.70","15.00","17.31","22.24","25.42","25.88","29.13","36.27","37.42","37.27",NA,NA,NA
"48400","Enkartazioak / Encartaciones","7.71","8.41","11.07","17.03","34.74","40.27","49.99","54.70","53.78","34.16",NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","5.38","7.84","10.92","25.55","29.87","40.11","48.03","61.14","61.61","68.70",NA,NA,NA
"48500","Gernika-Bermeo","6.48","6.59","7.26","10.15","24.65","40.04","43.44","48.14","52.48","25.62",NA,NA,NA
"20500","Goierri","9.39","9.73","12.60","15.96","20.39","28.24","36.48","40.89","42.16","32.19",NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","5.97","13.61","16.25","18.67","34.50","65.12","67.34","82.56","94.52","81.18",NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","6.06","6.88","7.74","8.91","25.91","31.38","40.14","46.74","54.28","41.94",NA,NA,NA
"48600","Markina-Ondarroa","2.12","2.08","1.39","6.32","16.10","24.05","27.90","35.80","37.16","25.05",NA,NA,NA
"48700","Plentzia-Mungia","17.78","20.15","19.62","25.44","33.45","39.21","39.88","48.78","55.90","50.76",NA,NA,NA
"20600","Tolosaldea / Tolosa","9.25","8.05","15.52","26.86","32.11","33.88","41.21","37.38","30.53","31.33",NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","10.15","12.27","15.64","17.11","20.56","26.73","27.19","26.87","32.94","30.99",NA,NA,NA
