"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"01100","Arabako Ibarrak / Valles Alaveses","0.80","0.80","0.70","0.70","0.70","0.70","0.70","0.70",NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","2.04","2.04","2.04","2.04","1.94","1.94","2.08","1.96",NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","0.31","0.31","0.31","0.31","0.31","0.31","0.31","0.32",NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","0.85","0.85","0.84","0.83","0.83","0.83","0.83","0.75",NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","4.50","3.48","3.67","3.67","3.67","3.68","4.61","4.59",NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","6.52","6.19","5.51","5.41","5.24","5.04","6.89","5.60",NA,NA,NA
"20100","Deba Beherea / Bajo Deba","1.18","1.18","1.18","1.16","1.16","1.15","1.26","1.26",NA,NA,NA
"20300","Debagoiena / Alto Deba","0.75","0.75","0.75","0.71","0.61","0.61","0.66","0.65",NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","2.83","3.00","3.00","2.86","2.85","2.49","2.11","2.13",NA,NA,NA
"48300","Durangaldea / Duranguesado","1.59","1.56","1.56","1.56","1.52","1.23","1.20","1.20",NA,NA,NA
"48400","Enkartazioak / Encartaciones","0.80","0.82","0.79","0.75","0.75","0.75","0.75","0.74",NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","0.43","0.43","0.43","0.41","0.41","0.39","0.40","0.40",NA,NA,NA
"48500","Gernika-Bermeo","1.14","1.07","0.73","0.73","0.73","0.71","0.74","0.74",NA,NA,NA
"20500","Goierri","0.87","0.85","0.85","0.84","0.87","0.81","0.90","0.90",NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","0.78","0.77","0.76","0.76","0.66","0.67","0.67","0.67",NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","0.61","0.61","0.61","0.60","0.60","0.59","0.59","0.59",NA,NA,NA
"48600","Markina-Ondarroa","0.88","0.88","0.88","0.91","0.91","0.91","0.92","0.83",NA,NA,NA
"48700","Plentzia-Mungia","1.62","1.53","1.53","1.53","1.52","1.49","1.55","1.52",NA,NA,NA
"20600","Tolosaldea / Tolosa","0.79","0.77","0.77","0.74","0.73","0.70","0.70","0.87",NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","0.82","0.82","0.81","0.78","0.78","0.77","0.96","0.96",NA,NA,NA
