"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","68.14","67.02","67.30","68.62","64.42","59.28","55.71","55.84","54.86","54.42","51.67","54.76","60.16","71.30"
"01200","Arabako Lautada / Llanada Alavesa","93.46","92.40","91.72","92.23","91.66","91.41","88.87","88.49","87.21","86.32","86.76","87.69","86.68","83.73"
"01300","Arabako Mendialdea / Montaña Alavesa","83.76","81.67","84.89","83.33","81.96","82.29","82.70","80.10","78.69","78.26","79.38","80.12","76.74","74.73"
"48100","Arratia Nerbioi / Arratia-Nervión","92.68","92.57","91.86","92.51","92.15","92.03","91.88","91.03","90.38","91.32","92.77","91.96","92.06","89.72"
"20200","Bidasoa Beherea / Bajo Bidasoa","82.15","81.59","80.70","80.42","80.93","80.30","78.88","77.38","74.48","71.95","71.55","68.74","64.99","62.76"
"48200","Bilbo Handia / Gran Bilbao","92.69","92.77","92.50","92.21","92.43","92.25","91.79","91.53","91.33","90.80","90.03","89.06","87.88","85.10"
"20100","Deba Beherea / Bajo Deba","92.81","92.33","91.63","90.70","89.10","87.86","87.02","85.67","85.11","85.28","85.70","85.27","85.43","81.30"
"20300","Debagoiena / Alto Deba","84.52","84.01","83.12","80.38","78.90","76.80","74.65","73.20","73.70","76.41","75.90","77.64","77.98","75.18"
"20400","Donostialdea / Donostia-San Sebastián","83.50","82.27","81.68","80.60","80.75","80.13","79.68","78.41","76.88","74.36","73.81","72.41","69.68","64.79"
"48300","Durangaldea / Duranguesado","91.24","91.10","90.58","90.41","90.32","88.99","88.22","87.63","86.05","85.47","84.48","85.31","83.87","81.16"
"48400","Enkartazioak / Encartaciones","88.33","88.17","86.85","87.36","86.19","83.20","80.84","80.33","78.56","77.37","77.80","79.52","78.95","76.96"
"01400","Errioxa Arabarra / Rioja Alavesa","74.20","74.60","76.09","77.49","76.90","75.75","74.46","72.68","67.79","67.74","65.58","73.88","72.13","63.64"
"48500","Gernika-Bermeo","94.22","94.02","94.14","93.58","93.73","93.19","93.30","92.51","92.51","92.79","91.85","91.61","90.54","86.33"
"20500","Goierri","91.11","90.03","88.72","87.58","86.60","86.08","84.52","83.49","83.25","80.29","80.27","80.27","77.63","76.30"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","74.33","73.08","74.82","74.00","77.63","72.34","71.09","71.15","70.31","70.06","70.25","70.52","66.83","52.83"
"01600","Kantauri Arabarra / Cantábrica Alavesa","91.40","90.23","88.75","88.92","89.56","88.73","88.13","86.33","86.44","86.76","85.80","85.21","87.34","83.89"
"48600","Markina-Ondarroa","91.09","90.66","88.77","88.66","88.43","87.41","85.25","84.33","83.90","83.31","81.75","81.94","81.41","72.59"
"48700","Plentzia-Mungia","78.06","78.29","79.24","81.19","80.18","79.99","78.90","78.56","76.58","77.57","76.61","76.06","73.55","66.50"
"20600","Tolosaldea / Tolosa","87.38","85.64","83.50","81.32","80.11","79.09","78.71","77.42","75.26","75.19","77.65","78.29","77.72","74.35"
"20700","Urola-Kostaldea / Urola Costa","89.32","88.50","87.36","86.85","86.39","85.55","84.28","83.53","82.95","81.70","81.96","81.66","79.95","78.93"
