"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","71.17","67.69","66.26","65.69","58.57","59.82","60.04","64.40","0.00","0.00","0.00","0.00","0.00"
"01200","Arabako Lautada / Llanada Alavesa","54.77","53.31","52.61","53.47","55.07","55.42","55.55","56.01","0.00","0.00","0.00","0.00","0.00"
"01300","Arabako Mendialdea / Montaña Alavesa","33.40","33.51","32.41","32.62","35.08","36.34","37.73","37.20","0.00","0.00","0.00","0.00","0.00"
"48100","Arratia Nerbioi / Arratia-Nervión","34.96","35.72","35.54","37.02","39.00","39.92","40.34","42.48","0.00","0.00","0.00","0.00","0.00"
"20200","Bidasoa Beherea / Bajo Bidasoa","34.50","34.04","33.69","34.54","36.00","36.11","37.77","38.37","0.00","0.00","0.00","0.00","0.00"
"48200","Bilbo Handia / Gran Bilbao","48.53","47.52","46.51","47.23","48.22","48.18","48.52","48.46","0.00","0.00","0.00","0.00","0.00"
"20100","Deba Beherea / Bajo Deba","41.78","40.81","40.18","40.56","41.58","41.10","42.07","43.07","0.00","0.00","0.00","0.00","0.00"
"20300","Debagoiena / Alto Deba","61.10","61.02","61.85","61.48","62.84","61.84","61.60","62.25","0.00","0.00","0.00","0.00","0.00"
"20400","Donostialdea / Donostia-San Sebastián","57.94","56.57","55.56","55.80","56.94","57.26","57.41","57.03","0.00","0.00","0.00","0.00","0.00"
"48300","Durangaldea / Duranguesado","59.50","57.06","57.51","57.71","59.37","59.52","59.19","61.73","0.00","0.00","0.00","0.00","0.00"
"48400","Enkartazioak / Encartaciones","22.90","22.72","22.58","23.46","25.27","26.66","24.43","24.60","0.00","0.00","0.00","0.00","0.00"
"01400","Errioxa Arabarra / Rioja Alavesa","68.75","65.33","64.74","66.23","75.70","74.96","77.60","70.23","0.00","0.00","0.00","0.00","0.00"
"48500","Gernika-Bermeo","29.23","28.49","27.69","28.24","29.90","30.58","30.67","29.79","0.00","0.00","0.00","0.00","0.00"
"20500","Goierri","44.89","43.49","43.11","42.84","44.21","43.52","44.09","45.12","0.00","0.00","0.00","0.00","0.00"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","59.97","59.88","59.60","65.37","67.10","69.37","71.84","76.58","0.00","0.00","0.00","0.00","0.00"
"01600","Kantauri Arabarra / Cantábrica Alavesa","41.07","41.25","42.70","44.40","46.41","46.39","45.58","46.74","0.00","0.00","0.00","0.00","0.00"
"48600","Markina-Ondarroa","34.94","33.98","32.99","32.80","34.15","33.68","33.29","32.60","0.00","0.00","0.00","0.00","0.00"
"48700","Plentzia-Mungia","31.68","31.11","31.39","31.75","31.93","31.42","30.10","31.53","0.00","0.00","0.00","0.00","0.00"
"20600","Tolosaldea / Tolosa","40.82","39.58","39.56","40.61","44.90","44.67","44.92","45.84","0.00","0.00","0.00","0.00","0.00"
"20700","Urola-Kostaldea / Urola Costa","38.66","37.73","37.18","38.54","40.43","39.21","39.45","41.96","0.00","0.00","0.00","0.00","0.00"
