"Lurralde kodea","Lurralde","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","85.53","90.91","69.12","97.06","75.00","77.27","85.90","78.57","87.18"
"01200","Arabako Lautada / Llanada Alavesa","94.50","91.33","92.82","94.24","85.71","87.15","87.07","85.04","83.34"
"01300","Arabako Mendialdea / Montaña Alavesa","94.23","88.46","94.23","44.23","64.29","65.22","39.13","19.57","100.00"
"48100","Arratia Nerbioi / Arratia-Nervión","91.47","87.69","83.51","81.09","92.23","80.91","88.08","91.54","95.83"
"20200","Bidasoa Beherea / Bajo Bidasoa","95.48","95.82","97.55","97.81","96.61","96.22","91.60","91.98","79.09"
"48200","Bilbo Handia / Gran Bilbao","82.45","84.49","83.56","83.89","82.07","84.86","92.36","93.06","93.38"
"20100","Deba Beherea / Bajo Deba","92.65","96.12","97.82","93.00","92.63","95.72","99.54","94.63","97.28"
"20300","Debagoiena / Alto Deba","90.45","87.44","84.79","87.88","92.83","91.06","91.44","95.70","95.79"
"20400","Donostialdea / Donostia-San Sebastián","94.23","92.68","93.42","95.85","95.93","97.23","94.21","93.88","95.07"
"48300","Durangaldea / Duranguesado","84.51","84.00","78.62","88.47","90.51","89.44","82.34","98.38","99.28"
"48400","Enkartazioak / Encartaciones","89.78","92.16","88.09","92.06","95.96","95.43","95.00","98.21","95.91"
"01400","Errioxa Arabarra / Rioja Alavesa","93.22","86.44","80.82","77.40","66.47","80.00","83.12","78.24","85.29"
"48500","Gernika-Bermeo","79.12","81.22","91.42","81.47","87.64","86.82","90.93","92.18","84.89"
"20500","Goierri","88.87","90.56","90.93","85.69","76.99","92.73","95.30","91.98","95.57"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","78.84","73.18","100.00","100.00","99.01","97.00","96.67","97.80","95.60"
"01600","Kantauri Arabarra / Cantábrica Alavesa","88.47","90.75","86.64","86.99","89.46","91.35","94.03","89.34","85.94"
"48600","Markina-Ondarroa","69.54","70.70","84.65","90.10","94.95","93.94","93.94","96.15","97.80"
"48700","Plentzia-Mungia","85.99","81.10","87.38","87.99","86.67","88.55","91.10","96.45","91.93"
"20600","Tolosaldea / Tolosa","91.38","91.88","94.44","95.20","93.86","93.71","85.85","95.74","96.47"
"20700","Urola-Kostaldea / Urola Costa","89.08","89.39","88.83","93.32","93.32","97.56","98.11","96.84","94.70"
