"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","14.72","14.49","14.93","14.53","14.27","13.95","13.72","14.29","14.39","14.80","14.74","14.55","14.29","14.45"
"01200","Arabako Lautada / Llanada Alavesa","10.99","10.81","10.80","10.74","10.59","10.35","10.16","9.89","9.67","9.46","9.20","8.92","8.76","8.57"
"01300","Arabako Mendialdea / Montaña Alavesa","17.49","17.10","17.48","17.60","17.68","17.94","17.94","18.82","19.58","19.66","18.92","19.10","19.13","18.65"
"48100","Arratia Nerbioi / Arratia-Nervión","12.50","12.56","12.55","12.62","12.83","12.72","12.51","12.49","12.51","12.34","12.17","12.29","12.28","12.11"
"20200","Bidasoa Beherea / Bajo Bidasoa","12.05","11.78","11.72","11.62","11.49","11.23","10.94","10.70","10.45","10.23","9.98","9.72","9.56","9.39"
"48200","Bilbo Handia / Gran Bilbao","14.21","14.04","14.08","13.89","13.69","13.32","13.02","12.64","12.24","11.81","11.39","10.98","10.62","10.19"
"20100","Deba Beherea / Bajo Deba","14.51","14.50","14.74","14.90","15.02","14.81","14.63","14.14","13.91","13.51","13.16","12.68","12.24","11.76"
"20300","Debagoiena / Alto Deba","13.64","13.41","13.44","13.27","13.24","12.94","12.66","12.17","11.73","11.38","11.01","10.68","10.36","9.82"
"20400","Donostialdea / Donostia-San Sebastián","13.17","13.06","13.08","13.05","12.91","12.69","12.43","12.14","11.84","11.53","11.28","10.98","10.68","10.41"
"48300","Durangaldea / Duranguesado","11.40","11.13","11.20","11.06","10.89","10.50","10.31","10.02","9.73","9.48","9.19","8.86","8.55","8.24"
"48400","Enkartazioak / Encartaciones","13.59","13.84","14.19","14.13","14.16","14.15","13.89","13.83","13.57","13.27","13.26","13.30","13.05","12.98"
"01400","Errioxa Arabarra / Rioja Alavesa","12.99","13.35","13.42","13.43","13.44","13.34","13.45","13.25","12.94","12.94","12.60","12.98","12.73","12.70"
"48500","Gernika-Bermeo","14.17","14.13","14.19","14.15","14.23","14.28","14.21","13.89","13.68","13.34","13.26","13.08","12.79","12.57"
"20500","Goierri","13.29","13.22","13.13","13.10","12.71","12.39","12.02","11.69","11.46","11.12","10.96","10.49","10.18","9.78"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","9.28","9.25","8.98","8.94","9.19","8.96","9.35","9.59","9.84","9.90","9.77","9.22","9.56","9.89"
"01600","Kantauri Arabarra / Cantábrica Alavesa","12.75","12.37","12.20","12.05","11.66","11.22","10.77","10.51","10.18","9.75","9.30","8.79","8.64","8.28"
"48600","Markina-Ondarroa","14.73","14.44","14.77","14.70","14.39","14.18","13.85","13.59","13.17","13.04","12.82","12.41","12.20","11.96"
"48700","Plentzia-Mungia","8.68","8.65","8.68","8.65","8.70","8.62","8.56","8.54","8.43","8.25","8.19","8.16","8.10","7.86"
"20600","Tolosaldea / Tolosa","11.36","11.27","11.29","11.28","11.28","11.24","11.10","11.07","11.07","11.01","10.70","10.44","10.21","10.08"
"20700","Urola-Kostaldea / Urola Costa","10.57","10.59","10.62","10.61","10.58","10.49","10.38","10.26","10.00","9.85","9.63","9.36","9.24","9.04"
