"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","9.11","9.36","9.68","9.36","9.70","9.56","9.32","9.54","9.72","9.63","9.48","9.29","8.68","8.50"
"01200","Arabako Lautada / Llanada Alavesa","7.64","7.36","7.29","7.16","6.94","6.79","6.57","6.33","6.07","5.82","5.55","5.34","5.17","4.93"
"01300","Arabako Mendialdea / Montaña Alavesa","12.68","13.22","13.48","13.66","13.50","13.20","12.67","12.65","12.42","12.56","12.18","11.96","12.09","11.78"
"48100","Arratia Nerbioi / Arratia-Nervión","8.23","8.11","8.35","8.30","8.47","8.55","8.51","8.47","8.31","8.24","8.10","7.94","7.73","7.55"
"20200","Bidasoa Beherea / Bajo Bidasoa","7.62","7.33","7.34","7.19","7.02","6.81","6.52","6.34","6.13","5.84","5.58","5.38","5.19","5.12"
"48200","Bilbo Handia / Gran Bilbao","9.01","8.88","8.93","8.81","8.66","8.46","8.25","7.98","7.68","7.34","6.98","6.67","6.33","5.97"
"20100","Deba Beherea / Bajo Deba","9.18","9.21","9.30","9.27","9.28","9.13","9.04","8.80","8.56","8.29","7.97","7.72","7.49","7.18"
"20300","Debagoiena / Alto Deba","8.86","8.77","8.75","8.55","8.46","8.12","7.92","7.64","7.42","7.20","6.77","6.51","6.09","5.86"
"20400","Donostialdea / Donostia-San Sebastián","8.18","7.99","8.00","7.89","7.74","7.52","7.33","7.09","6.88","6.63","6.36","6.09","5.80","5.54"
"48300","Durangaldea / Duranguesado","7.80","7.59","7.60","7.38","7.25","7.01","6.72","6.46","6.16","5.87","5.66","5.57","5.35","5.06"
"48400","Enkartazioak / Encartaciones","8.55","8.50","8.60","8.80","8.85","8.62","8.55","8.37","8.15","8.00","7.95","7.72","7.60","7.43"
"01400","Errioxa Arabarra / Rioja Alavesa","8.92","9.01","9.45","9.59","9.93","9.65","9.48","9.15","8.88","8.78","8.89","8.63","8.51","8.51"
"48500","Gernika-Bermeo","9.14","9.04","9.22","9.24","9.24","8.99","8.78","8.52","8.36","8.16","8.18","7.88","7.68","7.45"
"20500","Goierri","8.78","8.67","8.72","8.59","8.43","8.21","7.86","7.57","7.26","6.90","6.68","6.46","6.18","5.86"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","6.46","6.50","6.70","6.69","6.75","6.40","6.23","6.18","6.21","6.40","6.20","6.19","6.16","5.94"
"01600","Kantauri Arabarra / Cantábrica Alavesa","8.95","8.66","8.59","8.44","8.26","7.94","7.55","7.28","7.01","6.79","6.36","6.07","5.68","5.39"
"48600","Markina-Ondarroa","9.64","9.67","9.66","9.62","9.62","9.45","9.12","8.69","8.51","8.32","8.06","7.48","7.15","6.90"
"48700","Plentzia-Mungia","5.98","5.88","5.95","5.96","5.93","5.88","5.69","5.66","5.50","5.33","5.15","4.98","4.83","4.75"
"20600","Tolosaldea / Tolosa","7.42","7.25","7.33","7.37","7.31","7.21","7.00","6.79","6.56","6.50","6.24","5.99","5.77","5.60"
"20700","Urola-Kostaldea / Urola Costa","7.13","7.04","7.07","7.07","7.04","6.93","6.68","6.36","6.19","6.06","5.83","5.66","5.52","5.37"
