"Lurralde kodea","Lurralde","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","22.33","20.26","29.02","28.90","29.31","28.62","28.95","29.14","21.11"
"01200","Arabako Lautada / Llanada Alavesa","8.67","8.37","8.62","8.21","8.49","8.63","8.55","9.18","9.31"
"01300","Arabako Mendialdea / Montaña Alavesa","22.43","22.27","25.06","24.68","9.28","9.17","9.29","20.59","20.45"
"48100","Arratia Nerbioi / Arratia-Nervión","18.47","18.70","25.37","25.46","19.64","19.77","4.65","4.65","3.45"
"20200","Bidasoa Beherea / Bajo Bidasoa","11.30","11.65","11.98","12.27","11.76","12.03","9.76","7.13","7.15"
"48200","Bilbo Handia / Gran Bilbao","7.33","7.12","7.74","7.87","7.22","6.27","5.34","5.59","5.17"
"20100","Deba Beherea / Bajo Deba","6.84","7.11","6.81","6.89","6.94","6.95","4.10","4.47","4.28"
"20300","Debagoiena / Alto Deba","9.72","9.99","8.20","8.65","7.63","7.26","7.32","7.19","5.23"
"20400","Donostialdea / Donostia-San Sebastián","10.95","11.72","11.50","11.02","10.87","10.72","8.47","8.81","7.31"
"48300","Durangaldea / Duranguesado","6.72","6.90","8.83","7.23","7.82","7.97","4.40","4.50","4.53"
"48400","Enkartazioak / Encartaciones","12.29","12.50","12.71","7.18","7.21","7.19","7.18","7.17","4.74"
"01400","Errioxa Arabarra / Rioja Alavesa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48500","Gernika-Bermeo","3.22","3.75","3.81","3.87","3.90","3.91","3.89","3.91","3.91"
"20500","Goierri","13.91","13.97","15.33","13.29","12.66","11.19","11.13","11.34","5.96"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","37.76","24.16","24.74","20.90","15.90","15.91","12.17","8.29","8.30"
"01600","Kantauri Arabarra / Cantábrica Alavesa","9.79","9.71","8.49","8.67","8.85","9.06","9.23","9.41","9.58"
"48600","Markina-Ondarroa","5.51","5.56","5.60","5.67","5.74","2.16","2.18","0.00","0.00"
"48700","Plentzia-Mungia","3.10","3.20","3.29","3.38","3.47","3.54","3.58","3.65","3.66"
"20600","Tolosaldea / Tolosa","16.18","16.41","13.64","13.90","14.33","10.14","11.65","9.09","9.60"
"20700","Urola-Kostaldea / Urola Costa","13.30","15.54","14.81","14.54","14.95","15.09","13.15","10.23","5.60"
