"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","4.89",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","14.73",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","3.21",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","22.70",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","3.54",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","11.47",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","8.12",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","12.98",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","36.06",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","11.61",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","27.62",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","6.38",NA,NA,NA,NA
"48500","Gernika-Bermeo","20.81",NA,NA,NA,NA
"20500","Goierri","12.44",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","2.91",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","11.33",NA,NA,NA,NA
"48600","Markina-Ondarroa","22.66",NA,NA,NA,NA
"48700","Plentzia-Mungia","8.95",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","15.93",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","12.19",NA,NA,NA,NA
