"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","31.91","31.25","33.58","31.11","28.63","24.95","25.28","26.45","27.31",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","19.80","19.98","19.63","20.07","19.59","20.48","21.30","20.85","20.97",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","15.00","13.59","12.54","10.97","11.57","13.07","12.82","13.30","11.07",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","16.44","16.82","16.57","16.97","17.09","17.85","19.29","20.53","20.99",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","9.06","9.50","9.76","9.72","10.12","10.16","10.09","9.98","10.19",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","11.27","11.11","11.30","11.07","10.81","10.93","11.65","11.75","11.53",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","12.19","12.05","12.18","12.35","12.18","12.06","12.77","13.13","12.82",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","28.05","29.68","28.75","27.63","27.29","27.58","29.37","30.77","31.68",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","10.03","10.11","10.17","10.26","9.93","9.95","10.70","10.56","10.42",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","16.80","16.51","16.79","16.69","15.70","16.34","17.52","18.02","17.13",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","6.79","7.35","8.54","7.92","8.50","8.12","7.82","7.57","7.80",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","7.04","6.61","6.72","6.63","6.51","6.52","6.62","6.22","6.13",NA,NA,NA,NA
"48500","Gernika-Bermeo","13.10","12.48","12.86","13.63","13.01","13.42","15.13","16.67","15.88",NA,NA,NA,NA
"20500","Goierri","24.90","24.06","23.75","23.75","23.31","23.32","24.75","23.63","23.55",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","16.19","15.80","15.88","16.57","16.56","17.14","19.35","19.64","19.82",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","26.79","28.55","30.69","30.17","28.56","28.74","30.23","29.49","29.22",NA,NA,NA,NA
"48600","Markina-Ondarroa","17.03","15.62","16.19","15.82","15.88","15.07","16.90","17.23","17.46",NA,NA,NA,NA
"48700","Plentzia-Mungia","12.71","14.29","14.36","14.31","14.51","14.09","14.88","15.50","14.99",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","13.08","12.90","12.57","12.95","12.47","12.44","13.65","13.41","13.01",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","12.15","12.04","12.45","12.55","12.59","12.81","13.60","14.60","14.51",NA,NA,NA,NA
