"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007"
"01100","Arabako Ibarrak / Valles Alaveses","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.77",NA
"01200","Arabako Lautada / Llanada Alavesa","3.69","3.38","1.80","9.43","13.55","13.56","6.59","7.51",NA
"01300","Arabako Mendialdea / Montaña Alavesa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",NA
"48100","Arratia Nerbioi / Arratia-Nervión","0.00","0.00","0.00","0.00","8.33","8.07","19.11","23.75",NA
"20200","Bidasoa Beherea / Bajo Bidasoa","3.34","4.40","3.01","1.11","0.00","0.00","1.53","1.58",NA
"48200","Bilbo Handia / Gran Bilbao","2.39","2.41","3.58","3.13","2.75","2.45","1.42","2.64",NA
"20100","Deba Beherea / Bajo Deba","5.63","4.17","8.45","8.76","14.34","10.59","6.75","3.26",NA
"20300","Debagoiena / Alto Deba","10.61","9.35","7.97","0.00","8.43","11.58","11.29","4.50",NA
"20400","Donostialdea / Donostia-San Sebastián","1.76","1.39","2.60","2.20","2.74","1.35","1.20","1.83",NA
"48300","Durangaldea / Duranguesado","2.16","2.10","9.73","11.70","15.50","9.34","5.66","2.86",NA
"48400","Enkartazioak / Encartaciones","0.00","0.00","0.00","0.00","0.00","10.65","10.43","10.79",NA
"01400","Errioxa Arabarra / Rioja Alavesa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",NA
"48500","Gernika-Bermeo","0.00","4.41","4.20","4.33","2.40","9.07","8.60","6.19",NA
"20500","Goierri","1.90","4.46","4.89","3.16","0.74","2.24","2.16","2.20",NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","15.09","15.24","42.98","27.69","23.08","7.69","13.15","12.02",NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","0.00","0.00","0.00","2.11","15.27","23.54","20.97","9.05",NA
"48600","Markina-Ondarroa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",NA
"48700","Plentzia-Mungia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",NA
"20600","Tolosaldea / Tolosa","1.95","2.01","2.02","2.88","2.60","3.97","1.56","1.51",NA
"20700","Urola-Kostaldea / Urola Costa","0.00","1.33","1.25","1.26","0.00","0.00","0.00","0.00",NA
