"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","14.77",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","3.48",NA,NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","16.04",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","6.39",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","3.81",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","2.77",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","3.64",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","3.96",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","2.93",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","4.65",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","5.34",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","6.95",NA,NA,NA,NA
"48500","Gernika-Bermeo","4.95",NA,NA,NA,NA
"20500","Goierri","4.50",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","11.40",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","5.26",NA,NA,NA,NA
"48600","Markina-Ondarroa","5.83",NA,NA,NA,NA
"48700","Plentzia-Mungia","6.46",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","5.27",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","5.14",NA,NA,NA,NA
