"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"01100","Arabako Ibarrak / Valles Alaveses","46.72","47.33","47.18","46.85","46.96","66.19","67.56","66.82","70.21","69.98","69.71","70.35","70.51","70.18","70.48","72.05","71.94"
"01200","Arabako Lautada / Llanada Alavesa","80.38","80.29","79.69","78.87","78.28","79.11","78.35","77.21","78.50","78.60","78.91","79.57","79.71","79.59","79.58","79.90","80.53"
"01300","Arabako Mendialdea / Montaña Alavesa","43.57","45.36","45.27","45.20","45.85","70.11","70.16","68.77","68.91","69.63","69.38","69.44","70.12","69.14","69.80","70.39","71.31"
"48100","Arratia Nerbioi / Arratia-Nervión","67.25","64.91","64.62","63.07","63.42","70.48","69.99","69.74","72.57","73.18","73.47","73.80","73.16","74.41","75.30","75.76","75.63"
"20200","Bidasoa Beherea / Bajo Bidasoa","78.15","77.91","77.70","77.04","76.28","77.57","76.52","74.98","76.06","75.91","76.37","76.01","76.03","76.10","76.47","76.97","77.92"
"48200","Bilbo Handia / Gran Bilbao","83.24","83.07","82.78","82.19","81.50","81.25","80.59","79.78","80.93","81.34","81.39","81.62","81.48","81.61","81.79","82.07","82.55"
"20100","Deba Beherea / Bajo Deba","72.14","71.73","70.71","69.86","69.97","73.70","73.01","72.46","73.96","73.75","73.38","73.15","72.46","72.03","71.66","71.67","71.44"
"20300","Debagoiena / Alto Deba","72.45","71.85","70.29","67.83","67.75","72.80","72.37","71.20","73.66","73.28","73.17","72.86","72.48","72.53","72.26","72.00","72.27"
"20400","Donostialdea / Donostia-San Sebastián","81.20","80.79","80.26","79.42","79.04","79.45","78.57","77.45","78.51","78.00","78.00","78.00","78.00","77.98","77.94","78.31","79.21"
"48300","Durangaldea / Duranguesado","72.52","71.86","71.24","69.86","69.61","71.08","70.73","69.66","71.20","72.35","72.38","72.72","72.78","72.24","72.28","72.96","72.62"
"48400","Enkartazioak / Encartaciones","66.52","65.51","65.17","63.53","64.82","75.22","74.74","73.24","73.85","74.82","75.26","76.09","75.43","75.02","74.86","75.32","76.35"
"01400","Errioxa Arabarra / Rioja Alavesa","36.44","36.16","35.48","34.38","35.95","49.44","47.59","46.26","45.74","43.66","41.95","40.90","41.27","40.40","39.81","40.25","39.98"
"48500","Gernika-Bermeo","71.66","71.69","70.89","69.83","69.69","74.37","73.82","72.24","73.58","75.54","75.68","76.77","76.28","76.57","76.84","77.10","77.95"
"20500","Goierri","69.32","69.55","67.86","66.35","66.18","71.11","70.31","68.73","70.20","74.28","74.05","74.17","73.58","73.44","74.06","73.86","74.21"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","56.08","56.90","56.14","55.81","57.91","67.46","66.67","66.13","66.91","67.32","67.44","67.57","67.77","68.26","64.39","64.52","63.76"
"01600","Kantauri Arabarra / Cantábrica Alavesa","68.72","68.32","66.92","65.97","66.78","74.82","74.50","73.65","73.99","74.79","74.68","74.30","74.65","74.18","74.16","74.12","74.74"
"48600","Markina-Ondarroa","69.21","69.46","68.56","66.65","68.36","75.25","74.65","75.37","76.39","77.20","77.59","77.70","78.10","77.92","77.37","77.60","77.57"
"48700","Plentzia-Mungia","77.17","76.35","75.59","73.94","74.15","78.31","77.41","76.59","77.64","77.32","77.89","77.79","77.58","76.78","77.21","77.76","78.46"
"20600","Tolosaldea / Tolosa","66.65","66.01","64.60","63.15","64.29","70.83","69.87","69.81","71.34","70.92","70.66","71.25","70.26","69.93","69.71","69.71","70.18"
"20700","Urola-Kostaldea / Urola Costa","69.50","69.18","67.73","66.77","66.75","71.65","71.22","70.69","72.84","72.90","72.99","72.92","72.11","72.15","72.10","72.46","72.86"
