"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","2.55","2.76","2.93","2.85","2.46","2.23","1.90","1.92","2.05","2.65","2.83"
"01200","Arabako Lautada / Llanada Alavesa","3.28","3.02","2.88","2.77","2.73","2.92","2.52","2.48","2.53","2.52","2.51"
"01300","Arabako Mendialdea / Montaña Alavesa","2.05","2.05","2.00","2.29","2.16","1.59","1.81","1.79","1.94","1.96","1.61"
"48100","Arratia Nerbioi / Arratia-Nervión","3.51","3.11","3.34","3.26","3.29","3.61","3.24","2.59","2.78","2.89","2.54"
"20200","Bidasoa Beherea / Bajo Bidasoa","3.12","3.02","3.07","2.77","2.69","2.77","2.52","2.50","2.65","2.69","2.62"
"48200","Bilbo Handia / Gran Bilbao","3.28","3.16","3.10","3.17","3.08","3.26","2.77","2.88","2.90","2.81","2.76"
"20100","Deba Beherea / Bajo Deba","2.72","2.55","2.60","2.43","2.37","2.43","2.03","2.08","2.07","2.07","2.01"
"20300","Debagoiena / Alto Deba","2.63","2.45","2.44","2.32","2.49","2.85","2.37","2.49","2.38","2.35","2.45"
"20400","Donostialdea / Donostia-San Sebastián","3.24","3.08","3.01","3.04","3.02","3.21","2.83","2.82","2.73","2.69","2.71"
"48300","Durangaldea / Duranguesado","4.12","3.58","3.65","3.34","3.27","3.38","2.78","2.91","3.12","3.03","2.96"
"48400","Enkartazioak / Encartaciones","4.22","4.02","3.95","3.68","3.11","3.32","2.90","2.85","2.46","2.54","2.42"
"01400","Errioxa Arabarra / Rioja Alavesa","2.48","2.38","2.27","2.22","1.97","2.56","1.61","1.48","1.49","1.43","1.47"
"48500","Gernika-Bermeo","2.74","2.61","2.63","2.72","2.80","2.68","2.20","2.26","2.34","2.31","2.26"
"20500","Goierri","2.44","2.34","2.24","2.11","2.19","2.33","1.90","1.82","1.91","1.90","2.01"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","2.64","2.59","2.38","2.13","2.04","2.35","1.99","2.39","2.65","2.50","2.10"
"01600","Kantauri Arabarra / Cantábrica Alavesa","5.10","4.48","3.77","3.54","3.39","3.19","2.80","2.68","2.68","2.70","2.82"
"48600","Markina-Ondarroa","2.61","2.54","2.47","2.61","2.63","3.10","3.29","2.65","2.86","2.94","2.96"
"48700","Plentzia-Mungia","3.01","2.79","2.64","2.72","2.77","2.80","2.33","2.23","2.31","2.29","2.13"
"20600","Tolosaldea / Tolosa","3.41","3.53","3.25","2.91","3.04","4.13","3.47","2.52","3.06","3.16","3.17"
"20700","Urola-Kostaldea / Urola Costa","2.70","2.55","2.63","2.53","2.51","2.66","2.24","2.02","1.99","2.01","2.00"
